id,addType,nation,propertyId,propertyWay,propertyValue,skillId,rate,
1101,1,1,1,1,300,,625,
1102,1,1,2,1,300,,625,
1103,1,1,3,1,300,,625,
1104,1,1,4,1,300,,5,
1105,1,1,5,1,300,,625,
1106,1,1,6,1,600,,625,
1107,1,1,7,1,300,,625,
1108,1,1,8,1,300,,625,
1109,1,1,9,1,300,,625,
1110,1,1,10,1,300,,625,
1111,1,1,11,1,300,,625,
1112,1,1,12,1,300,,625,
1113,1,1,14,1,300,,625,
1114,1,1,15,1,300,,625,
1115,1,1,16,1,300,,625,
1116,1,1,13,1,300,,625,
1117,1,1,17,1,300,,625,
1118,1,1,18,1,300,,625,
1119,1,1,19,1,300,,625,
1201,1,2,1,1,300,,625,
1202,1,2,2,1,300,,625,
1203,1,2,3,1,300,,625,
1204,1,2,4,1,300,,5,
1205,1,2,7,1,300,,625,
1206,1,2,9,1,300,,625,
1207,1,2,11,1,300,,625,
1208,1,2,14,1,300,,625,
1209,1,2,15,1,300,,625,
1210,1,2,16,1,300,,625,
1211,1,2,17,1,300,,625,
1212,1,2,18,1,300,,625,
1213,1,2,19,1,300,,625,
1214,1,2,5,1,300,,625,
1215,1,2,6,1,600,,625,
1216,1,2,8,1,300,,625,
1217,1,2,10,1,300,,625,
1218,1,2,12,1,300,,625,
1219,1,2,13,1,300,,625,
1301,1,3,1,1,300,,625,
1302,1,3,2,1,300,,625,
1303,1,3,3,1,300,,625,
1304,1,3,4,1,300,,5,
1305,1,3,5,1,300,,625,
1306,1,3,6,1,600,,625,
1307,1,3,7,1,300,,625,
1308,1,3,8,1,300,,625,
1309,1,3,9,1,300,,625,
1310,1,3,10,1,300,,625,
1311,1,3,11,1,300,,625,
1312,1,3,13,1,300,,625,
1313,1,3,14,1,300,,625,
1314,1,3,15,1,300,,625,
1315,1,3,16,1,300,,625,
1316,1,3,12,1,300,,625,
1317,1,3,17,1,300,,625,
1318,1,3,18,1,300,,625,
1319,1,3,19,1,300,,625,
1401,1,4,1,1,300,,625,
1402,1,4,2,1,300,,625,
1403,1,4,3,1,300,,625,
1404,1,4,4,1,300,,5,
1405,1,4,7,1,300,,625,
1406,1,4,9,1,300,,625,
1407,1,4,11,1,300,,625,
1408,1,4,14,1,300,,625,
1409,1,4,15,1,300,,625,
1410,1,4,16,1,300,,625,
1411,1,4,17,1,300,,625,
1412,1,4,18,1,300,,625,
1413,1,4,13,1,300,,625,
1414,1,4,5,1,300,,625,
1415,1,4,6,1,600,,625,
1416,1,4,8,1,300,,625,
1417,1,4,10,1,300,,625,
1418,1,4,12,1,300,,625,
1419,1,4,19,1,300,,625,
2101,2,1,,,,211601,714,
2102,2,1,,,,210801,714,
2103,2,1,,,,211701,714,
2104,2,1,,,,210701,714,
2105,2,1,,,,210201,714,
2106,2,1,,,,211801,714,
2107,2,1,,,,211901,714,
2108,2,1,,,,210601,714,
2109,2,1,,,,211001,714,
2110,2,1,,,,211101,714,
2111,2,1,,,,210401,714,
2112,2,1,,,,212001,714,
2113,2,1,,,,212101,714,
2114,2,1,,,,210101,714,
2115,2,1,,,,210301,714,
2116,2,1,,,,210501,714,
2117,2,1,,,,210901,714,
2118,2,1,,,,211201,714,
2119,2,1,,,,211301,714,
2120,2,1,,,,211401,714,
2121,2,1,,,,211501,714,
2201,2,2,,,,210101,714,
2202,2,2,,,,210201,714,
2203,2,2,,,,210301,714,
2204,2,2,,,,210401,714,
2205,2,2,,,,210501,714,
2206,2,2,,,,210601,714,
2207,2,2,,,,210701,714,
2208,2,2,,,,210801,714,
2209,2,2,,,,210901,714,
2210,2,2,,,,211001,714,
2211,2,2,,,,211101,714,
2212,2,2,,,,211201,714,
2213,2,2,,,,211301,714,
2214,2,2,,,,211401,714,
2215,2,2,,,,211501,714,
2216,2,2,,,,211601,714,
2217,2,2,,,,211701,714,
2218,2,2,,,,211801,714,
2219,2,2,,,,211901,714,
2220,2,2,,,,212001,714,
2221,2,2,,,,212101,714,
2301,2,3,,,,211601,714,
2302,2,3,,,,210801,714,
2303,2,3,,,,211701,714,
2304,2,3,,,,210701,714,
2305,2,3,,,,210201,714,
2306,2,3,,,,211801,714,
2307,2,3,,,,211901,714,
2308,2,3,,,,210601,714,
2309,2,3,,,,211001,714,
2310,2,3,,,,211101,714,
2311,2,3,,,,210401,714,
2312,2,3,,,,212001,714,
2313,2,3,,,,212101,714,
2314,2,3,,,,210101,714,
2315,2,3,,,,210301,714,
2316,2,3,,,,210501,714,
2317,2,3,,,,210901,714,
2318,2,3,,,,211201,714,
2319,2,3,,,,211301,714,
2320,2,3,,,,211401,714,
2321,2,3,,,,211501,714,
2401,2,4,,,,210101,714,
2402,2,4,,,,210201,714,
2403,2,4,,,,210301,714,
2404,2,4,,,,210401,714,
2405,2,4,,,,210501,714,
2406,2,4,,,,210601,714,
2407,2,4,,,,210701,714,
2408,2,4,,,,210801,714,
2409,2,4,,,,210901,714,
2410,2,4,,,,211001,714,
2411,2,4,,,,211101,714,
2412,2,4,,,,211201,714,
2413,2,4,,,,211301,714,
2414,2,4,,,,211401,714,
2415,2,4,,,,211501,714,
2416,2,4,,,,211601,714,
2417,2,4,,,,211701,714,
2418,2,4,,,,211801,714,
2419,2,4,,,,211901,714,
2420,2,4,,,,212001,714,
2421,2,4,,,,212101,714,
