id,pointsGap,addPoints,reducePoints,
1,6800,6,1,
2,7000,7,2,
3,7200,8,3,
4,7400,9,4,
5,7600,10,5,
6,7800,11,6,
7,8000,12,7,
8,8200,13,8,
9,8400,14,9,
10,8600,15,10,
11,8800,16,11,
12,9000,17,12,
13,9200,18,13,
14,9400,19,14,
15,9600,20,15,
16,9800,21,16,
17,10000,22,17,
18,10200,23,18,
19,10400,24,19,
20,10600,25,20,
21,10800,26,21,
22,11000,27,22,
23,11200,28,23,
24,11400,29,24,
25,11600,30,25,
26,11800,31,26,
27,12000,32,27,
28,12200,33,28,
29,12400,34,29,
30,12600,35,30,
31,12800,36,31,
32,13000,37,32,
33,13200,38,33,
