id,activityId,minDamage,maxDamage,reward-type-1,reward-id-1,reward-num-1,reward-type-2,reward-id-2,reward-num-2,reward-type-3,reward-id-3,reward-num-3,
1,3007,0,5000000,2,1169,1000,1,8,20000,2,1001,10,
2,3007,5000000,10000000,2,1169,1100,1,8,40000,2,1001,20,
3,3007,10000000,15000000,2,1169,1200,1,8,60000,2,1001,40,
4,3007,15000000,20000000,2,1169,1300,1,8,80000,2,1001,60,
5,3007,20000000,30000000,2,1169,1400,1,8,100000,2,1001,80,
6,3007,30000000,50000000,2,1169,1500,1,8,120000,2,1001,100,
7,3007,50000000,100000000,2,1169,1600,1,8,140000,2,1001,120,
8,3007,100000000,300000000,2,1169,1700,1,8,160000,2,1001,140,
9,3007,300000000,500000000,2,1169,1800,1,8,180000,2,1001,160,
10,3007,500000000,1000000000,2,1169,1900,1,8,200000,2,1001,180,
11,3007,1000000000,,2,1169,2000,1,8,220000,2,1001,200,
12,3014,0,5000000,2,1170,1000,1,8,20000,2,1001,10,
13,3014,5000000,10000000,2,1170,1100,1,8,40000,2,1001,20,
14,3014,10000000,15000000,2,1170,1200,1,8,60000,2,1001,40,
15,3014,15000000,20000000,2,1170,1300,1,8,80000,2,1001,60,
16,3014,20000000,30000000,2,1170,1400,1,8,100000,2,1001,80,
17,3014,30000000,50000000,2,1170,1500,1,8,120000,2,1001,100,
18,3014,50000000,100000000,2,1170,1600,1,8,140000,2,1001,120,
19,3014,100000000,300000000,2,1170,1700,1,8,160000,2,1001,140,
20,3014,300000000,500000000,2,1170,1800,1,8,180000,2,1001,160,
21,3014,500000000,1000000000,2,1170,1900,1,8,200000,2,1001,180,
22,3014,1000000000,,2,1170,2000,1,8,220000,2,1001,200,
23,3018,0,5000000,2,1160,1000,1,8,20000,2,1001,10,
24,3018,5000000,10000000,2,1160,1100,1,8,40000,2,1001,20,
25,3018,10000000,15000000,2,1160,1200,1,8,60000,2,1001,40,
26,3018,15000000,20000000,2,1160,1300,1,8,80000,2,1001,60,
27,3018,20000000,30000000,2,1160,1400,1,8,100000,2,1001,80,
28,3018,30000000,50000000,2,1160,1500,1,8,120000,2,1001,100,
29,3018,50000000,100000000,2,1160,1600,1,8,140000,2,1001,120,
30,3018,100000000,300000000,2,1160,1700,1,8,160000,2,1001,140,
31,3018,300000000,500000000,2,1160,1800,1,8,180000,2,1001,160,
32,3018,500000000,1000000000,2,1160,1900,1,8,200000,2,1001,180,
33,3018,1000000000,,2,1160,2000,1,8,220000,2,1001,200,
34,3240,0,5000000,2,1206,1000,1,8,20000,2,1001,10,
35,3240,5000000,10000000,2,1206,1100,1,8,40000,2,1001,20,
36,3240,10000000,15000000,2,1206,1200,1,8,60000,2,1001,40,
37,3240,15000000,20000000,2,1206,1300,1,8,80000,2,1001,60,
38,3240,20000000,30000000,2,1206,1400,1,8,100000,2,1001,80,
39,3240,30000000,50000000,2,1206,1500,1,8,120000,2,1001,100,
40,3240,50000000,100000000,2,1206,1600,1,8,140000,2,1001,120,
41,3240,100000000,300000000,2,1206,1700,1,8,160000,2,1001,140,
42,3240,300000000,500000000,2,1206,1800,1,8,180000,2,1001,160,
43,3240,500000000,1000000000,2,1206,1900,1,8,200000,2,1001,180,
44,3240,1000000000,,2,1206,2000,1,8,220000,2,1001,200,
45,3290,0,5000000,2,1215,1000,1,8,20000,2,1001,10,
46,3290,5000000,10000000,2,1215,1100,1,8,40000,2,1001,20,
47,3290,10000000,15000000,2,1215,1200,1,8,60000,2,1001,40,
48,3290,15000000,20000000,2,1215,1300,1,8,80000,2,1001,60,
49,3290,20000000,30000000,2,1215,1400,1,8,100000,2,1001,80,
50,3290,30000000,50000000,2,1215,1500,1,8,120000,2,1001,100,
51,3290,50000000,100000000,2,1215,1600,1,8,140000,2,1001,120,
52,3290,100000000,300000000,2,1215,1700,1,8,160000,2,1001,140,
53,3290,300000000,500000000,2,1215,1800,1,8,180000,2,1001,160,
54,3290,500000000,1000000000,2,1215,1900,1,8,200000,2,1001,180,
55,3290,1000000000,,2,1215,2000,1,8,220000,2,1001,200,
56,3330,0,5000000,2,1232,1000,1,8,20000,2,1001,10,
57,3330,5000000,10000000,2,1232,1100,1,8,40000,2,1001,20,
58,3330,10000000,15000000,2,1232,1200,1,8,60000,2,1001,40,
59,3330,15000000,20000000,2,1232,1300,1,8,80000,2,1001,60,
60,3330,20000000,30000000,2,1232,1400,1,8,100000,2,1001,80,
61,3330,30000000,50000000,2,1232,1500,1,8,120000,2,1001,100,
62,3330,50000000,100000000,2,1232,1600,1,8,140000,2,1001,120,
63,3330,100000000,300000000,2,1232,1700,1,8,160000,2,1001,140,
64,3330,300000000,500000000,2,1232,1800,1,8,180000,2,1001,160,
65,3330,500000000,1000000000,2,1232,1900,1,8,200000,2,1001,180,
66,3330,1000000000,,2,1232,2000,1,8,220000,2,1001,200,
67,3390,0,5000000,2,6741,1000,1,8,20000,2,1001,10,
68,3390,5000000,10000000,2,6741,1100,1,8,40000,2,1001,20,
69,3390,10000000,15000000,2,6741,1200,1,8,60000,2,1001,40,
70,3390,15000000,20000000,2,6741,1300,1,8,80000,2,1001,60,
71,3390,20000000,30000000,2,6741,1400,1,8,100000,2,1001,80,
72,3390,30000000,50000000,2,6741,1500,1,8,120000,2,1001,100,
73,3390,50000000,100000000,2,6741,1600,1,8,140000,2,1001,120,
74,3390,100000000,300000000,2,6741,1700,1,8,160000,2,1001,140,
75,3390,300000000,500000000,2,6741,1800,1,8,180000,2,1001,160,
76,3390,500000000,1000000000,2,6741,1900,1,8,200000,2,1001,180,
77,3390,1000000000,,2,6741,2000,1,8,220000,2,1001,200,
