id,rank,maxRank,lowRank,reward-Type-1,reward-id-1,reward-value-1,reward-Type-2,reward-id-2,reward-value-2,reward-Type-3,reward-id-3,reward-value-3,
1,1,1,1,2,1003,1,2,1002,1,2,1001,10000,
2,1,2,2,3,1004,2,3,1003,2,3,1002,10001,
3,1,3,3,4,1005,3,4,1004,3,4,1003,10002,
4,1,4,10,5,1006,4,5,1005,4,5,1004,10003,
5,1,11,20,6,1007,5,6,1006,5,6,1005,10004,
6,1,21,100,7,1008,6,7,1007,6,7,1006,10005,
7,2,1,1,2,1003,1,2,1002,1,2,1001,10000,
8,2,2,2,3,1004,2,3,1003,2,3,1002,10001,
9,2,3,3,4,1005,3,4,1004,3,4,1003,10002,
10,2,4,10,5,1006,4,5,1005,4,5,1004,10003,
11,2,11,20,6,1007,5,6,1006,5,6,1005,10004,
12,2,21,100,7,1008,6,7,1007,6,7,1006,10005,
13,3,1,1,2,1003,1,2,1002,1,2,1001,10000,
14,3,2,2,3,1004,2,3,1003,2,3,1002,10001,
15,3,3,3,4,1005,3,4,1004,3,4,1003,10002,
16,3,4,10,5,1006,4,5,1005,4,5,1004,10003,
17,3,11,20,6,1007,5,6,1006,5,6,1005,10004,
18,3,21,100,7,1008,6,7,1007,6,7,1006,10005,
19,4,1,1,2,1003,1,2,1002,1,2,1001,10000,
20,4,2,2,3,1004,2,3,1003,2,3,1002,10001,
21,4,3,3,4,1005,3,4,1004,3,4,1003,10002,
22,4,4,10,5,1006,4,5,1005,4,5,1004,10003,
23,4,11,20,6,1007,5,6,1006,5,6,1005,10004,
24,4,21,100,7,1008,6,7,1007,6,7,1006,10005,
