id,gridType,battleId,reward-type-1,reward-id-1,reward-value-1,reward-type-2,reward-id-2,reward-value-2,strikereward-type-1,strikereward-id-1,strikereward-value-1,strikereward-type-2,strikereward-id-2,strikereward-value-2,
1,1,,,,,,,,,,,,,,
2,1,,1,8,1000000,,,,,,,,,,
3,1,,2,1003,1,,,,,,,,,,
4,1,,2,1001,100,,,,,,,,,,
5,1,8015,2,1157,3,2,1158,1,2,1003,1,2,1001,200,
6,1,,1,10,400000,,,,,,,,,,
7,1,,2,1008,40,,,,,,,,,,
8,1,,2,1005,5,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,,,,
9,1,,2,1006,200,,,,,,,,,,
10,1,8016,2,1157,3,2,1158,1,2,1003,1,2,1001,200,
11,1,,2,1001,200,,,,,,,,,,
12,1,,2,1019,3,,,,,,,,,,
13,1,,2,1003,1,,,,,,,,,,
14,1,,2,1027,50,,,,,,,,,,
15,1,,1,8,800000,,,,,,,,,,
16,1,,2,3002,30,,,,,,,,,,
17,1,,2,1030,1,,,,,,,,,,
18,1,,2,1006,200,,,,,,,,,,
19,1,,2,3008,10,,,,,,,,,,
20,1,,1,10,400000,,,,,,,,,,
21,1,,2,1077,20,,,,,,,,,,
22,1,,2,1014,1,,,,,,,,,,
23,1,,2,1036,1,,,,,,,,,,
24,1,8017,2,1157,3,2,1158,2,2,1003,1,2,1001,200,
25,1,,2,1027,50,,,,,,,,,,
26,1,,2,1019,5,,,,,,,,,,
27,1,,2,1005,3,,,,,,,,,,
28,1,8018,2,1157,3,2,1158,2,2,1003,1,2,1001,200,
29,1,,2,1004,1,,,,,,,,,,
30,1,,2,1077,30,,,,,,,,,,
31,1,,2,3008,10,,,,,,,,,,
32,1,8019,2,1157,3,2,1158,2,2,1003,1,2,1001,200,
33,1,,2,1003,1,,,,,,,,,,
34,2,8020,2,1157,5,2,1158,3,,,,,,,
