id,groupId,heroId,star,level,weight,
1,1,21501,5,100,200,
2,1,21502,5,100,200,
3,1,21503,5,100,200,
4,1,21504,5,100,200,
5,1,21505,5,100,200,
6,1,21507,5,100,200,
7,1,21508,5,100,200,
8,1,21510,5,100,200,
9,2,22502,5,100,200,
10,2,22504,5,100,200,
11,2,22505,5,100,200,
12,2,22507,5,100,200,
13,2,22508,5,100,200,
14,2,22509,5,100,200,
15,2,22510,5,100,200,
16,2,22511,5,100,200,
17,3,23502,5,100,200,
18,3,23503,5,100,200,
19,3,23504,5,100,200,
20,3,23506,5,100,200,
21,3,23507,5,100,200,
22,3,23508,5,100,200,
23,3,23510,5,100,200,
24,3,23513,5,100,200,
25,4,24501,5,100,200,
26,4,24502,5,100,200,
27,4,24503,5,100,200,
28,4,24504,5,100,200,
29,4,24505,5,100,200,
30,4,24506,5,100,200,
31,4,24508,5,100,200,
32,4,24510,5,100,200,
33,5,25501,5,100,200,
34,5,25503,5,100,200,
35,5,25504,5,100,200,
36,5,25506,5,100,200,
37,5,25507,5,100,200,
38,5,25509,5,100,200,
39,5,25510,5,100,200,
40,5,25513,5,100,200,
41,6,25401,5,100,200,
42,7,22504,5,100,200,
43,8,24501,5,100,200,
44,9,21505,5,100,200,
45,9,21504,5,100,200,
46,9,21507,5,100,200,
47,10,22504,5,100,200,
48,11,22502,5,100,200,
49,12,23506,5,100,200,
50,13,23508,5,100,200,
51,13,23504,5,100,200,
52,13,23513,5,100,200,
53,14,25504,5,100,200,
54,15,25514,5,100,200,
55,16,25509,5,100,200,
56,17,25513,5,100,200,
57,18,21505,5,100,200,
58,19,21510,5,100,200,
59,20,24505,5,100,200,
60,21,22508,5,100,200,
61,22,23511,5,100,200,
62,23,25510,5,100,200,
63,24,24516,5,100,200,
64,25,24505,5,100,200,
65,26,25516,5,100,200,
66,27,22512,5,100,200,
67,28,22504,5,100,200,
68,28,22502,5,100,200,
69,29,22508,5,100,200,
70,30,24517,5,100,200,
71,31,21515,5,100,200,
72,32,25517,5,100,200,
73,32,25509,5,100,200,
74,33,25504,5,100,200,
75,34,25517,5,100,200,
76,35,25517,5,100,200,
77,36,24518,5,100,200,
78,37,22515,5,100,200,
79,38,22507,5,100,200,
80,39,26501,5,100,200,
81,40,21516,5,100,200,
82,41,26502,5,100,200,
83,42,26503,5,100,200,
84,43,26504,5,100,200,
85,44,26505,5,100,200,
