id,type,rewards-type-1,rewards-id-1,rewards-value-1,weight,
1,1,2,1139,1,,
2,1,2,1139,1,,
3,1,2,1139,1,,
4,1,2,1139,1,,
5,1,2,1139,1,,
6,1,2,1139,2,,
7,1,2,1139,3,,
8,2,2,3008,10,100,
9,2,2,1006,300,150,
10,2,2,1001,300,150,
11,2,2,1027,50,150,
12,2,1,8,1500000,150,
13,2,2,1003,1,50,
14,2,2,1030,1,20,
15,2,2,1029,2,50,
16,2,2,1044,2,20,
17,3,2,1004,1,,
18,3,2,1014,1,,
19,3,2,1001,500,,
20,3,2,1006,300,,
21,3,2,3008,50,,
22,4,2,1003,1,90,
23,4,2,1001,100,60,
24,4,2,1006,100,60,
25,4,2,1077,30,110,
26,4,2,1004,1,10,
27,4,2,1014,1,50,
28,4,2,1001,500,100,
29,4,2,1006,500,100,
30,4,2,1027,100,50,
31,4,2,1030,2,30,
32,4,2,1044,4,30,
33,4,2,3008,50,10,
