itemgroupID,groupType,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,rewards-type-4,rewards-id-4,rewards-value-4,rewards-type-5,rewards-id-5,rewards-value-5,rewards-type-6,rewards-id-6,rewards-value-6,rewards-type-7,rewards-id-7,rewards-value-7,rewards-type-8,rewards-id-8,rewards-value-8,rewards-type-9,rewards-id-9,rewards-value-9,rewards-type-10,rewards-id-10,rewards-value-10,rewards-type-11,rewards-id-11,rewards-value-11,rewards-type-12,rewards-id-12,rewards-value-12,gradeLimit,
1,1,2,1003,5,2,1014,2,2,1053,10,2,1008,50,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1002,5,2,1006,250,2,1027,50,2,1077,50,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,1001,500,1,8,2500000,1,10,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,2,1003,10,2,1014,4,2,1053,20,2,1008,50,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,2,1002,10,2,1006,550,2,1027,110,2,1077,110,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,2,1001,1200,1,8,6000000,1,10,2400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,2,1004,2,2,1030,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,2,1003,15,2,1029,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,2,1006,2000,2,1055,450,2,1027,300,2,1008,70,2,1028,15,,,,,,,,,,,,,,,,,,,,,,,
10,4,2,1045,10,2,1030,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,2,1003,20,2,1004,4,2,1046,50,2,1029,60,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,2,1006,2500,2,1055,750,2,1027,400,2,1077,120,2,1028,20,,,,,,,,,,,,,,,,,,,,,,,
13,5,2,1567,3,2,1761,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5,2,1003,25,2,1004,6,2,1037,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5,2,1055,900,2,1006,3000,2,1077,160,2,1036,80,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6,2,1054,10,2,1474,1,2,1761,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6,2,1003,40,2,1004,12,2,1037,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,2,1055,1800,2,1006,6000,2,1077,320,2,1036,160,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,2,1003,3,2,4020,1,2,1019,20,1,8,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,2,3009,50,2,3010,50,2,3011,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,2,30025,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,2,3008,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,2,1009,10,2,1030,10,2,1044,10,2,1076,1,2,1004,2,,,,,,,,,,,,,,,,,,,,,,,
24,,1,9,300,2,1006,700,2,1001,700,2,1027,80,2,1003,5,2,3008,25,2,1077,150,1,17,2000,2,1029,10,2,1030,5,2,1080,10,2,1037,5,,
25,,1,9,680,2,1027,160,2,1003,8,2,3008,40,2,1004,1,2,1030,8,2,1044,15,2,1080,15,2,1082,15,2,1018,8,2,1037,8,2,1021,8,,
26,,1,9,1280,2,1004,2,2,1027,320,2,1003,15,2,3008,80,2,1030,16,2,1044,32,2,1081,16,2,1018,16,2,1104,16,2,1009,16,2,1037,16,,
27,,1,9,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,2,1053,30,2,1021,10,2,1044,20,2,1081,10,2,1104,10,2,1030,10,2,1045,5,2,1080,15,2,71003,40,2,1012,240,2,1056,120,,,,s==30|1|45,3|60,4|40,5|82,8|40,9|170,
29,,2,1020,50,2,1043,50,2,1082,50,2,1103,50,2,1036,50,2,1029,50,2,1046,50,2,1055,400,2,1230,40,,,,,,,,,,s==25|2|60,3|40,4|82,5|82,9|180,
30,7,1,9,980,2,1003,20,2,8226,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
