id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,oriPrice,discount,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,sort,toSystem,
1,2,1258,1,1,71,6000,,,3,2,,,,,s==4|凤鸾玉璧,999,3964,
2,2,1348,1,1,71,800,,,2,2,,,,,s==6|红色技能书1,996,3962,
3,2,1349,1,1,71,850,,,2,2,,,,,s==6|红色技能书2,993,3962,
4,2,1350,1,1,71,900,,,2,2,,,,,s==6|红色技能书3,990,3962,
5,2,1351,1,1,71,950,,,2,2,,,,,s==6|红色技能书4,987,3962,
6,2,1352,1,1,71,1000,,,2,2,,,,,s==6|红色技能书5,984,3962,
7,2,1353,1,1,71,800,,,2,2,,,,,s==6|蓝色技能书1,995,3962,
8,2,1354,1,1,71,850,,,2,2,,,,,s==6|蓝色技能书2,992,3962,
9,2,1355,1,1,71,900,,,2,2,,,,,s==6|蓝色技能书3,989,3962,
10,2,1356,1,1,71,950,,,2,2,,,,,s==6|蓝色技能书4,986,3962,
11,2,1357,1,1,71,1000,,,2,2,,,,,s==6|蓝色技能书5,983,3962,
12,2,1358,1,1,71,800,,,2,2,,,,,s==6|绿色技能书1,994,3962,
13,2,1359,1,1,71,850,,,2,2,,,,,s==6|绿色技能书2,991,3962,
14,2,1360,1,1,71,900,,,2,2,,,,,s==6|绿色技能书3,988,3962,
15,2,1361,1,1,71,950,,,2,2,,,,,s==6|绿色技能书4,985,3962,
16,2,1362,1,1,71,1000,,,2,2,,,,,s==6|绿色技能书5,982,3962,
17,2,2760,1,1,71,25,,,800,2,,,,,s==4|乾元阵灵,998,6950,
18,2,2761,1,1,71,250,,,100,2,,,,,s==4|龙脉元魄,997,6950,
