BuyNum,cost,lattice,petcost,petlattice,
1,50,5,50,5,
2,50,5,50,5,
3,50,5,50,5,
4,50,5,50,5,
5,50,5,50,5,
6,50,5,50,5,
7,50,5,50,5,
8,50,5,50,5,
9,50,5,50,5,
10,50,5,50,5,
11,50,5,50,5,
12,50,5,50,5,
13,50,5,50,5,
14,50,5,50,5,
15,50,5,50,5,
16,50,5,50,5,
17,50,5,50,5,
18,50,5,50,5,
19,50,5,50,5,
20,50,5,50,5,
21,100,5,100,5,
22,100,5,100,5,
23,100,5,100,5,
24,100,5,100,5,
25,100,5,100,5,
26,100,5,100,5,
27,100,5,100,5,
28,100,5,100,5,
29,100,5,100,5,
30,100,5,100,5,
31,100,5,100,5,
32,100,5,100,5,
33,100,5,100,5,
34,100,5,100,5,
35,100,5,100,5,
36,100,5,100,5,
37,100,5,100,5,
38,100,5,100,5,
39,100,5,100,5,
40,100,5,100,5,
41,150,5,150,5,
42,150,5,150,5,
43,150,5,150,5,
44,150,5,150,5,
45,150,5,150,5,
46,150,5,150,5,
47,150,5,150,5,
48,150,5,150,5,
49,150,5,150,5,
50,150,5,150,5,
51,150,5,150,5,
52,150,5,150,5,
53,150,5,150,5,
54,150,5,150,5,
55,150,5,150,5,
56,150,5,150,5,
57,150,5,150,5,
58,150,5,150,5,
59,150,5,150,5,
60,150,5,150,5,
61,200,5,200,5,
62,200,5,200,5,
63,200,5,200,5,
64,200,5,200,5,
65,200,5,200,5,
66,200,5,200,5,
67,200,5,200,5,
68,200,5,200,5,
69,200,5,200,5,
70,200,5,200,5,
71,200,5,200,5,
72,200,5,200,5,
73,200,5,200,5,
74,200,5,200,5,
75,200,5,200,5,
76,200,5,200,5,
77,200,5,200,5,
78,200,5,200,5,
79,200,5,200,5,
80,200,5,200,5,
81,250,5,250,5,
82,250,5,250,5,
83,250,5,250,5,
84,250,5,250,5,
85,250,5,250,5,
86,250,5,250,5,
87,250,5,250,5,
88,250,5,250,5,
89,250,5,250,5,
90,250,5,250,5,
91,250,5,250,5,
92,250,5,250,5,
93,250,5,250,5,
94,250,5,250,5,
95,250,5,250,5,
96,250,5,250,5,
97,250,5,250,5,
98,250,5,250,5,
99,250,5,250,5,
100,250,5,250,5,
101,300,5,300,5,
102,300,5,300,5,
103,300,5,300,5,
104,300,5,300,5,
105,300,5,300,5,
106,300,5,300,5,
107,300,5,300,5,
108,300,5,300,5,
109,300,5,300,5,
110,300,5,300,5,
111,300,5,300,5,
112,300,5,300,5,
113,300,5,300,5,
114,300,5,300,5,
115,300,5,300,5,
116,300,5,300,5,
117,300,5,300,5,
118,300,5,300,5,
119,300,5,300,5,
120,300,5,300,5,
121,350,5,350,5,
122,350,5,350,5,
123,350,5,350,5,
124,350,5,350,5,
125,350,5,350,5,
126,350,5,350,5,
127,350,5,350,5,
128,350,5,350,5,
129,350,5,350,5,
130,350,5,350,5,
131,350,5,350,5,
132,350,5,350,5,
133,350,5,350,5,
134,350,5,350,5,
135,350,5,350,5,
136,350,5,350,5,
137,350,5,350,5,
138,350,5,350,5,
139,350,5,350,5,
140,350,5,350,5,
141,400,5,400,5,
142,400,5,400,5,
143,400,5,400,5,
144,400,5,400,5,
145,400,5,400,5,
146,400,5,400,5,
147,400,5,400,5,
148,400,5,400,5,
149,400,5,400,5,
150,400,5,400,5,
151,400,5,400,5,
152,400,5,400,5,
153,400,5,400,5,
154,400,5,400,5,
155,400,5,400,5,
156,400,5,400,5,
157,400,5,400,5,
158,400,5,400,5,
159,400,5,400,5,
160,400,5,400,5,
161,450,5,450,5,
162,450,5,450,5,
163,450,5,450,5,
164,450,5,450,5,
165,450,5,450,5,
166,450,5,450,5,
167,450,5,450,5,
168,450,5,450,5,
169,450,5,450,5,
170,450,5,450,5,
171,450,5,450,5,
172,450,5,450,5,
173,450,5,450,5,
174,450,5,450,5,
175,450,5,450,5,
176,450,5,450,5,
177,450,5,450,5,
178,450,5,450,5,
179,450,5,450,5,
180,450,5,450,5,
181,500,5,500,5,
182,500,5,500,5,
183,500,5,500,5,
184,500,5,500,5,
185,500,5,500,5,
186,500,5,500,5,
187,500,5,500,5,
188,500,5,500,5,
189,500,5,500,5,
190,500,5,500,5,
191,500,5,500,5,
192,500,5,500,5,
193,500,5,500,5,
194,500,5,500,5,
195,500,5,500,5,
196,500,5,500,5,
197,500,5,500,5,
198,500,5,500,5,
199,500,5,500,5,
200,500,5,500,5,
201,550,5,550,5,
202,550,5,550,5,
203,550,5,550,5,
204,550,5,550,5,
205,550,5,550,5,
206,550,5,550,5,
207,550,5,550,5,
208,550,5,550,5,
209,550,5,550,5,
210,550,5,550,5,
