id,nextId,equipType,recipeType,icon,needType,needId,needNum,costType,costId,costNum,rewardType,rewardId,rewardNum,
1,2,1,1,-1,2,2211,3,1,8,1035,2,2221,1,
2,3,1,2,-1,2,2221,3,1,8,2277,2,2311,1,
3,4,1,3,-1,2,2311,3,1,8,4894,2,2321,1,
4,5,1,4,-1,2,2321,3,1,8,10280,2,2411,1,
5,6,1,5,-1,2,2411,3,1,8,21111,2,2421,1,
6,7,1,6,-1,2,2421,3,1,8,42195,2,2431,1,
7,8,1,7,-1,2,2431,3,1,8,82352,2,2511,1,
8,9,1,8,-1,2,2511,3,1,8,155790,2,2521,1,
9,10,1,9,-1,2,2521,3,1,8,281240,2,2531,1,
10,11,1,10,-1,2,2531,3,1,8,477990,2,2541,1,
11,12,1,11,-1,2,2541,3,1,8,764900,2,2611,1,
12,13,1,12,-1,2,2611,3,1,8,1140000,2,2621,1,
13,14,1,13,-1,2,2621,3,1,8,1606500,2,2631,1,
14,15,1,14,-1,2,2631,3,1,8,2245000,2,2641,1,
15,0,1,15,-1,2,2641,3,1,8,3005000,2,2651,1,
21,22,2,1,-1,2,2212,3,1,8,1035,2,2222,1,
22,23,2,2,-1,2,2222,3,1,8,2277,2,2312,1,
23,24,2,3,-1,2,2312,3,1,8,4894,2,2322,1,
24,25,2,4,-1,2,2322,3,1,8,10280,2,2412,1,
25,26,2,5,-1,2,2412,3,1,8,21111,2,2422,1,
26,27,2,6,-1,2,2422,3,1,8,42195,2,2432,1,
27,28,2,7,-1,2,2432,3,1,8,82352,2,2512,1,
28,29,2,8,-1,2,2512,3,1,8,155790,2,2522,1,
29,30,2,9,-1,2,2522,3,1,8,281240,2,2532,1,
30,31,2,10,-1,2,2532,3,1,8,477990,2,2542,1,
31,32,2,11,-1,2,2542,3,1,8,764900,2,2612,1,
32,33,2,12,-1,2,2612,3,1,8,1140000,2,2622,1,
33,34,2,13,-1,2,2622,3,1,8,1606500,2,2632,1,
34,35,2,14,-1,2,2632,3,1,8,2245000,2,2642,1,
35,0,2,15,-1,2,2642,3,1,8,3005000,2,2652,1,
41,42,3,1,-1,2,2213,3,1,8,1035,2,2223,1,
42,43,3,2,-1,2,2223,3,1,8,2277,2,2313,1,
43,44,3,3,-1,2,2313,3,1,8,4894,2,2323,1,
44,45,3,4,-1,2,2323,3,1,8,10280,2,2413,1,
45,46,3,5,-1,2,2413,3,1,8,21111,2,2423,1,
46,47,3,6,-1,2,2423,3,1,8,42195,2,2433,1,
47,48,3,7,-1,2,2433,3,1,8,82352,2,2513,1,
48,49,3,8,-1,2,2513,3,1,8,155790,2,2523,1,
49,50,3,9,-1,2,2523,3,1,8,281240,2,2533,1,
50,51,3,10,-1,2,2533,3,1,8,477990,2,2543,1,
51,52,3,11,-1,2,2543,3,1,8,764900,2,2613,1,
52,53,3,12,-1,2,2613,3,1,8,1140000,2,2623,1,
53,54,3,13,-1,2,2623,3,1,8,1606500,2,2633,1,
54,55,3,14,-1,2,2633,3,1,8,2245000,2,2643,1,
55,0,3,15,-1,2,2643,3,1,8,3005000,2,2653,1,
61,62,4,1,-1,2,2214,3,1,8,1035,2,2224,1,
62,63,4,2,-1,2,2224,3,1,8,2277,2,2314,1,
63,64,4,3,-1,2,2314,3,1,8,4894,2,2324,1,
64,65,4,4,-1,2,2324,3,1,8,10280,2,2414,1,
65,66,4,5,-1,2,2414,3,1,8,21111,2,2424,1,
66,67,4,6,-1,2,2424,3,1,8,42195,2,2434,1,
67,68,4,7,-1,2,2434,3,1,8,82352,2,2514,1,
68,69,4,8,-1,2,2514,3,1,8,155790,2,2524,1,
69,70,4,9,-1,2,2524,3,1,8,281240,2,2534,1,
70,71,4,10,-1,2,2534,3,1,8,477990,2,2544,1,
71,72,4,11,-1,2,2544,3,1,8,764900,2,2614,1,
72,73,4,12,-1,2,2614,3,1,8,1140000,2,2624,1,
73,74,4,13,-1,2,2624,3,1,8,1606500,2,2634,1,
74,75,4,14,-1,2,2634,3,1,8,2245000,2,2644,1,
75,0,4,15,-1,2,2644,3,1,8,3005000,2,2654,1,
