id,activityID,items-type-1,items-id-1,items-value-1,chooseMax,appearNum,floorNum,weight,seeWeight,
1,4000,2,1251,20,6,20,18,5000,5000,
2,4000,2,7500,1,7,20,18,5000,5000,
3,4000,2,2008,5,20,20,16,3000,3000,
4,4000,2,1003,5,20,20,16,3000,3000,
5,4000,2,1006,1000,20,20,16,3000,3000,
6,4000,2,2009,5,20,20,16,3000,3000,
7,4010,2,1252,20,6,20,18,5000,5000,
8,4010,2,7500,1,7,20,18,5000,5000,
9,4010,2,7501,1,7,20,18,5000,5000,
10,4010,2,2008,5,20,20,16,3000,3000,
11,4010,2,1003,5,20,20,16,3000,3000,
12,4010,2,1006,1000,20,20,16,3000,3000,
13,4010,2,2009,5,20,20,16,3000,3000,
