id,type,grade,lv,nextId,properties-type-1,properties-way-1,properties-value-1,properties-type-2,properties-way-2,properties-value-2,topProperties-type-1,topProperties-way-1,topProperties-value-1,topProperties-type-2,topProperties-way-2,topProperties-value-2,materials-type-1,materials-id-1,materials-value-1,materials-type-2,materials-id-2,materials-value-2,
1,1,0,0,2,2,0,0,1,0,0,8,1,0,7,1,0,2,7020,2,,,,
2,1,0,1,3,2,0,200,1,0,2000,8,1,0,7,1,0,2,7020,2,,,,
3,1,0,2,4,2,0,400,1,0,4000,8,1,0,7,1,0,2,7020,2,,,,
4,1,0,3,5,2,0,600,1,0,6000,8,1,0,7,1,0,2,7020,2,,,,
5,1,0,4,6,2,0,800,1,0,8000,8,1,0,7,1,0,2,7020,2,,,,
6,1,0,5,7,2,0,1000,1,0,10000,8,1,0,7,1,0,2,7020,2,,,,
7,1,0,6,8,2,0,1200,1,0,12000,8,1,0,7,1,0,2,7020,2,,,,
8,1,0,7,9,2,0,1400,1,0,14000,8,1,0,7,1,0,2,7020,2,,,,
9,1,0,8,10,2,0,1600,1,0,16000,8,1,0,7,1,0,2,7020,2,,,,
10,1,0,9,11,2,0,1800,1,0,18000,8,1,0,7,1,0,2,7020,2,,,,
11,1,0,10,12,2,0,2000,1,0,20000,8,1,0,7,1,0,2,7020,4,2,7021,8,
12,1,1,0,13,2,0,2400,1,0,24000,8,1,100,7,1,50,2,7020,3,,,,
13,1,1,1,14,2,0,2600,1,0,26000,8,1,100,7,1,50,2,7020,3,,,,
14,1,1,2,15,2,0,2800,1,0,28000,8,1,100,7,1,50,2,7020,3,,,,
15,1,1,3,16,2,0,3000,1,0,30000,8,1,100,7,1,50,2,7020,3,,,,
16,1,1,4,17,2,0,3200,1,0,32000,8,1,100,7,1,50,2,7020,3,,,,
17,1,1,5,18,2,0,3400,1,0,34000,8,1,100,7,1,50,2,7020,3,,,,
18,1,1,6,19,2,0,3600,1,0,36000,8,1,100,7,1,50,2,7020,3,,,,
19,1,1,7,20,2,0,3800,1,0,38000,8,1,100,7,1,50,2,7020,3,,,,
20,1,1,8,21,2,0,4000,1,0,40000,8,1,100,7,1,50,2,7020,3,,,,
21,1,1,9,22,2,0,4200,1,0,42000,8,1,100,7,1,50,2,7020,3,,,,
22,1,1,10,23,2,0,4400,1,0,44000,8,1,100,7,1,50,2,7020,6,2,7021,12,
23,1,2,0,24,2,0,4800,1,0,48000,8,1,200,7,1,100,2,7020,4,,,,
24,1,2,1,25,2,0,5000,1,0,50000,8,1,200,7,1,100,2,7020,4,,,,
25,1,2,2,26,2,0,5200,1,0,52000,8,1,200,7,1,100,2,7020,4,,,,
26,1,2,3,27,2,0,5400,1,0,54000,8,1,200,7,1,100,2,7020,4,,,,
27,1,2,4,28,2,0,5600,1,0,56000,8,1,200,7,1,100,2,7020,4,,,,
28,1,2,5,29,2,0,5800,1,0,58000,8,1,200,7,1,100,2,7020,4,,,,
29,1,2,6,30,2,0,6000,1,0,60000,8,1,200,7,1,100,2,7020,4,,,,
30,1,2,7,31,2,0,6200,1,0,62000,8,1,200,7,1,100,2,7020,4,,,,
31,1,2,8,32,2,0,6400,1,0,64000,8,1,200,7,1,100,2,7020,4,,,,
32,1,2,9,33,2,0,6600,1,0,66000,8,1,200,7,1,100,2,7020,4,,,,
33,1,2,10,34,2,0,6800,1,0,68000,8,1,200,7,1,100,2,7020,8,2,7021,16,
34,1,3,0,35,2,0,7200,1,0,72000,8,1,300,7,1,150,2,7020,6,,,,
35,1,3,1,36,2,0,7400,1,0,74000,8,1,300,7,1,150,2,7020,6,,,,
36,1,3,2,37,2,0,7600,1,0,76000,8,1,300,7,1,150,2,7020,6,,,,
37,1,3,3,38,2,0,7800,1,0,78000,8,1,300,7,1,150,2,7020,6,,,,
38,1,3,4,39,2,0,8000,1,0,80000,8,1,300,7,1,150,2,7020,6,,,,
39,1,3,5,40,2,0,8200,1,0,82000,8,1,300,7,1,150,2,7020,6,,,,
40,1,3,6,41,2,0,8400,1,0,84000,8,1,300,7,1,150,2,7020,6,,,,
41,1,3,7,42,2,0,8600,1,0,86000,8,1,300,7,1,150,2,7020,6,,,,
42,1,3,8,43,2,0,8800,1,0,88000,8,1,300,7,1,150,2,7020,6,,,,
43,1,3,9,44,2,0,9000,1,0,90000,8,1,300,7,1,150,2,7020,6,,,,
44,1,3,10,45,2,0,9200,1,0,92000,8,1,300,7,1,150,2,7020,12,2,7021,24,
45,1,4,0,46,2,0,9600,1,0,96000,8,1,400,7,1,200,2,7020,8,,,,
46,1,4,1,47,2,0,9800,1,0,98000,8,1,400,7,1,200,2,7020,8,,,,
47,1,4,2,48,2,0,10000,1,0,100000,8,1,400,7,1,200,2,7020,8,,,,
48,1,4,3,49,2,0,10200,1,0,102000,8,1,400,7,1,200,2,7020,8,,,,
49,1,4,4,50,2,0,10400,1,0,104000,8,1,400,7,1,200,2,7020,8,,,,
50,1,4,5,51,2,0,10600,1,0,106000,8,1,400,7,1,200,2,7020,8,,,,
51,1,4,6,52,2,0,10800,1,0,108000,8,1,400,7,1,200,2,7020,8,,,,
52,1,4,7,53,2,0,11000,1,0,110000,8,1,400,7,1,200,2,7020,8,,,,
53,1,4,8,54,2,0,11200,1,0,112000,8,1,400,7,1,200,2,7020,8,,,,
54,1,4,9,55,2,0,11400,1,0,114000,8,1,400,7,1,200,2,7020,8,,,,
55,1,4,10,56,2,0,11600,1,0,116000,8,1,400,7,1,200,2,7020,18,2,7021,36,
56,1,5,0,57,2,0,12000,1,0,120000,8,1,500,7,1,250,2,7020,10,,,,
57,1,5,1,58,2,0,12200,1,0,122000,8,1,500,7,1,250,2,7020,10,,,,
58,1,5,2,59,2,0,12400,1,0,124000,8,1,500,7,1,250,2,7020,10,,,,
59,1,5,3,60,2,0,12600,1,0,126000,8,1,500,7,1,250,2,7020,10,,,,
60,1,5,4,61,2,0,12800,1,0,128000,8,1,500,7,1,250,2,7020,10,,,,
