lv,integral,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,lockRewards-type-1,lockRewards-id-1,lockRewards-value-1,lockRewards-type-2,lockRewards-id-2,lockRewards-value-2,
0,1000,,,,,,,,,,,,,
1,1000,2,1007,3,,,,2,1004,1,2,1003,1,
2,1000,2,1003,1,,,,2,1003,2,,,,
3,1000,2,1007,2,,,,2,1490,1,,,,
4,1000,2,1027,50,,,,2,1519,1,,,,
5,1000,2,3008,10,,,,2,1008,300,2,1003,1,
6,1000,2,1007,2,,,,2,1519,1,,,,
7,1000,2,3008,5,,,,2,3008,10,,,,
8,1000,2,1003,1,,,,2,1003,2,,,,
9,1000,2,1458,1,,,,2,1519,1,,,,
10,1000,2,1014,1,,,,2,3008,50,2,1003,1,
11,1000,2,1007,2,,,,2,1490,1,,,,
12,1000,2,3008,5,,,,2,1519,1,,,,
13,1000,2,1007,2,,,,2,3008,10,,,,
14,1000,2,1458,1,,,,2,1007,5,,,,
15,1000,2,1003,2,,,,2,1008,300,2,1014,1,
16,1000,2,1027,50,,,,2,1519,1,,,,
17,1000,2,1538,1,,,,2,1007,5,,,,
18,1000,2,1007,2,,,,2,1490,1,,,,
19,1000,2,3008,5,,,,2,1519,1,,,,
20,1000,2,1007,2,,,,2,1004,1,2,3008,10,
21,1000,2,3008,5,,,,2,1519,1,,,,
22,1000,2,1003,1,,,,2,1003,2,,,,
23,1000,2,1007,3,,,,2,3008,10,,,,
24,1000,2,1019,5,,,,2,1519,1,,,,
25,1000,2,3008,5,,,,2,1534,1,2,1521,1,
26,1000,2,1005,10,,,,2,1490,1,,,,
27,1000,2,1007,2,,,,2,1519,1,,,,
28,1000,2,3008,5,,,,2,1003,2,,,,
29,1000,2,1003,1,,,,2,1490,1,,,,
30,1000,2,3008,10,,,,2,1004,1,2,1008,300,
31,1000,2,1003,1,,,,2,1003,2,,,,
32,1000,2,3008,5,,,,2,1490,1,,,,
33,1000,2,1007,2,,,,2,1519,1,,,,
34,1000,2,1019,5,,,,2,1007,10,,,,
35,1000,2,1027,50,,,,2,1004,1,2,1076,1,
36,1000,2,1003,1,,,,2,1003,2,,,,
37,1000,2,3008,50,,,,2,3014,50,,,,
38,1000,2,1007,2,,,,2,3008,10,,,,
39,1000,2,1019,3,,,,2,1490,1,,,,
40,1000,2,1004,1,,,,2,1004,1,2,1076,1,
41,1000,2,1007,1,,,,2,1490,1,,,,
