id,shopLimitId,
24516,28760|28761|28762,
22515,28763|28764|28765,
23511,28781|28782|28783,
22512,28775|28776|28777,
21515,28778|28779|28780,
25518,28784|28785|28786,
24518,28787|28788|28789,
25516,28766|28767|28768,
24517,28769|28770|28771,
25517,28772|28773|28774,
21508,29975|29976|29977,
22508,29978|29979|29980,
23510,29981|29982|29983,
24504,29984|29985|29986,
25515,29987|29988|29989,
26501,28790|28791|28792,
21516,29993|29994|29995,
26502,29996|29997|29998,
26503,30901|30902|30903,
26504,30988|30989|30990,
26505,31055|31056|31057,
