level,slot,exp,time,cost,vipTime,vipCost,levelAward-type-1,levelAward-id-1,levelAward-value-1,levelAward-type-2,levelAward-id-2,levelAward-value-2,
0,1,30,28800,50,14400,25,2,1003,1,2,1002,1,
1,1,60,28080,50,14040,25,2,1003,1,2,1002,1,
2,2,90,27360,50,13680,25,2,1003,1,2,1002,1,
3,2,120,26640,50,13320,25,2,1003,1,2,1002,1,
4,3,250,25920,50,12960,25,2,1003,1,2,1002,1,
5,3,360,25200,50,12600,25,2,1003,1,2,1002,1,
6,4,480,24480,50,12240,25,2,1003,1,2,1002,1,
7,4,600,23760,50,11880,25,2,1003,1,2,1002,1,
8,5,720,23040,50,11520,25,2,1003,1,2,1002,1,
9,5,850,22320,50,11160,25,2,1003,1,2,1002,1,
10,5,0,21600,50,10800,25,2,1003,1,2,1002,1,
