id,activityId,RewardsNeed,taskname,targetType,targetId,targetNum,rewards-type-1,rewards-id-1,rewards-value-1,day,
1,3006,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,1,
2,3006,1,,,,,2,1006,200,1,
3,3006,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1030,2,1,
4,3006,1,,,,,1,8,750000,1,
5,3006,1,,,,,2,3002,30,1,
6,3006,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3008,5,1,
7,3006,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,2,
8,3006,1,,,,,2,1005,8,2,
9,3006,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1004,1,2,
10,3006,1,,,,,2,1001,150,2,
11,3006,1,,,,,2,3002,30,2,
12,3006,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,1007,5,2,
13,3006,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,3,
14,3006,1,,,,,2,1006,200,3,
15,3006,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1037,1,3,
16,3006,1,,,,,2,1019,5,3,
17,3006,1,,,,,1,8,750000,3,
18,3006,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,1029,5,3,
19,3006,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,4,
20,3006,1,,,,,2,1005,8,4,
21,3006,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1004,1,4,
22,3006,1,,,,,2,1001,150,4,
23,3006,1,,,,,2,1007,5,4,
24,3006,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3002,30,4,
25,3006,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,5,
26,3006,1,,,,,2,1006,200,5,
27,3006,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1044,4,5,
28,3006,1,,,,,1,8,750000,5,
29,3006,1,,,,,2,3008,3,5,
30,3006,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3002,30,5,
31,3006,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,6,
32,3006,1,,,,,2,1005,8,6,
33,3006,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1004,1,6,
34,3006,1,,,,,2,1001,150,6,
35,3006,1,,,,,2,1007,5,6,
36,3006,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3002,30,6,
37,3006,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,7,
38,3006,1,,,,,2,1019,5,7,
39,3006,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1014,1,7,
40,3006,1,,,,,2,1077,20,7,
41,3006,1,,,,,2,1006,200,7,
42,3006,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,1029,5,7,
43,3080,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,1,
44,3080,1,,,,,2,1006,200,1,
45,3080,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1030,2,1,
46,3080,1,,,,,1,8,750000,1,
47,3080,1,,,,,2,3002,30,1,
48,3080,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3008,5,1,
49,3080,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,2,
50,3080,1,,,,,2,1005,8,2,
51,3080,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1004,1,2,
52,3080,1,,,,,2,1001,150,2,
53,3080,1,,,,,2,3002,30,2,
54,3080,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,1007,5,2,
55,3080,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,3,
56,3080,1,,,,,2,1006,200,3,
57,3080,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1037,1,3,
58,3080,1,,,,,2,1019,5,3,
59,3080,1,,,,,1,8,750000,3,
60,3080,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,1029,5,3,
61,3080,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,4,
62,3080,1,,,,,2,1005,8,4,
63,3080,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1004,1,4,
64,3080,1,,,,,2,1001,150,4,
65,3080,1,,,,,2,1007,5,4,
66,3080,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3002,30,4,
67,3080,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,5,
68,3080,1,,,,,2,1006,200,5,
69,3080,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1044,4,5,
70,3080,1,,,,,1,8,750000,5,
71,3080,1,,,,,2,3008,3,5,
72,3080,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3002,30,5,
73,3080,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,6,
74,3080,1,,,,,2,1005,8,6,
75,3080,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1004,1,6,
76,3080,1,,,,,2,1001,150,6,
77,3080,1,,,,,2,1007,5,6,
78,3080,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,3002,30,6,
79,3080,2,s==14|本日活跃度达到100即可解锁,377,0,100,2,1003,1,7,
80,3080,1,,,,,2,1019,5,7,
81,3080,2,s==12|本日充值任意金额即可解锁,510,0,1,2,1014,1,7,
82,3080,1,,,,,2,1077,20,7,
83,3080,1,,,,,2,1006,200,7,
84,3080,2,s==14|本日快速作战达到4次即可解锁,105,0,4,2,1029,5,7,
