id,num,name,
1,s==3|100,s==9|Mệnh Mạng,
2,s==2|80,s==9|Công Kích,
5,s==1|2,s==8|Bạo Kích,
6,s==1|1,s==10|Bạo Thương,
7,s==1|1,s==9|Kháng Bạo,
8,s==1|3,s==10|Mệnh Trung,
9,s==1|1,s==7|Thần Né,
10,s==1|1,s==7|Thương ,
11,s==1|2,s==11|Miễn Thương,
12,s==1|1,s==10|Vật Thương,
13,s==1|1,s==11|Pháp Thương,
14,s==1|0,s==8|Vật Miễn,
15,s==1|0,s==9|Pháp Miễn,
16,s==1|1,s==9|Khống Chế,
17,s==1|2,s==11|Kháng Khống,
18,s==1|1,s==8|Trị Liệu,
19,s==1|1,s==8|Thụ Liệu,
20,s==1|1,s==9|Nhẫn Tính,
21,s==4|1000,s==9|Thống Ngự,
22,s==4|1000,s==7|Trí Mưu,
23,s==1|1,s==8|Phá Giáp,
