id,starMapId,starPos,unlockType,preStarPos,starPosGroup,base-type-1,base-way-1,base-value-1,base-type-2,base-way-2,base-value-2,base-type-3,base-way-3,base-value-3,base-type-4,base-way-4,base-value-4,consumes-type-1,consumes-id-1,consumes-value-1,
1,1001,0,0,,,,,,,,,,,,,,,,,,
2,1001,1,1,0,1|2|3|4|5,2,0,300,1,0,3000,,,,,,,2,1276,10,
3,1001,2,1,1,1|2|3|4|5,2,0,300,1,0,3000,,,,,,,2,1276,10,
4,1001,3,1,2,1|2|3|4|5,2,0,300,1,0,3000,,,,,,,2,1276,10,
5,1001,4,1,3,1|2|3|4|5,2,0,300,1,0,3000,,,,,,,2,1276,10,
6,1001,5,1,4,1|2|3|4|5,2,1,300,,,,,,,,,,2,1276,10,
7,1001,6,1,0,6|7|8|9|10,2,0,300,1,0,3000,,,,,,,2,1276,10,
8,1001,7,1,6,6|7|8|9|10,2,0,300,1,0,3000,,,,,,,2,1276,10,
9,1001,8,1,7,6|7|8|9|10,2,0,300,1,0,3000,,,,,,,2,1276,10,
10,1001,9,1,8,6|7|8|9|10,2,0,300,1,0,3000,,,,,,,2,1276,10,
11,1001,10,1,9,6|7|8|9|10,1,1,300,,,,,,,,,,2,1276,10,
12,1001,11,1,0,11|12|13|14|15,2,0,300,1,0,3000,,,,,,,2,1276,10,
13,1001,12,1,11,11|12|13|14|15,2,0,300,1,0,3000,,,,,,,2,1276,10,
14,1001,13,1,12,11|12|13|14|15,2,0,300,1,0,3000,,,,,,,2,1276,10,
15,1001,14,1,13,11|12|13|14|15,2,0,300,1,0,3000,,,,,,,2,1276,10,
16,1001,15,1,14,11|12|13|14|15,2,0,600,1,0,6000,3,0,50,4,0,50,2,1276,10,
17,1002,0,0,,,,,,,,,,,,,,,,,,
18,1002,1,1,0,1|2|3|4|5,2,0,500,1,0,5000,,,,,,,2,1276,20,
19,1002,2,1,1,1|2|3|4|5,2,0,500,1,0,5000,,,,,,,2,1276,20,
20,1002,3,1,2,1|2|3|4|5,2,0,500,1,0,5000,,,,,,,2,1276,20,
21,1002,4,1,3,1|2|3|4|5,2,0,500,1,0,5000,,,,,,,2,1276,20,
22,1002,5,1,4,1|2|3|4|5,2,1,500,,,,,,,,,,2,1276,20,
23,1002,6,1,0,6|7|8|9|10,2,0,500,1,0,5000,,,,,,,2,1276,20,
24,1002,7,1,6,6|7|8|9|10,2,0,500,1,0,5000,,,,,,,2,1276,20,
25,1002,8,1,7,6|7|8|9|10,2,0,500,1,0,5000,,,,,,,2,1276,20,
26,1002,9,1,8,6|7|8|9|10,2,0,500,1,0,5000,,,,,,,2,1276,20,
27,1002,10,1,9,6|7|8|9|10,1,1,500,,,,,,,,,,2,1276,20,
28,1002,11,1,0,11|12|13|14|15,2,0,500,1,0,5000,,,,,,,2,1276,20,
29,1002,12,1,11,11|12|13|14|15,2,0,500,1,0,5000,,,,,,,2,1276,20,
30,1002,13,1,12,11|12|13|14|15,2,0,500,1,0,5000,,,,,,,2,1276,20,
31,1002,14,1,13,11|12|13|14|15,2,0,500,1,0,5000,,,,,,,2,1276,20,
32,1002,15,1,14,11|12|13|14|15,2,0,1000,1,0,10000,3,0,80,4,0,80,2,1276,20,
