id,heroLv,equips%1,equips%2,equips%3,equips%4,warriors%1,warriors%2,warcrafts%1,warcrafts%2,warcrafts%3,stones%1,stones%2,stones%3,stones%4,
1,30,2211,2212,2213,2214,,,,,,,,,,
2,60,2221,2222,2213,2214,,,,,,,,,,
3,80,2311,2312,2313,2314,,,,,,2,,,,
4,100,2321,2322,2323,2324,4010,,301,,,2,,,,
5,140,2411,2312,2313,2314,4010,,301,,,2,,,,
6,165,2421,2422,2423,2424,4010,4010,301,,,3,2,,,
7,185,2431,2432,2433,2434,4020,4010,301,,,3,2,,,
8,205,2511,2512,2513,2514,4020,4010,301,,,3,2,,,
9,255,2521,2522,2523,2524,4020,4020,301,,,4,3,2,,
10,285,2531,2532,2533,2534,4030,4020,401,301,,4,3,2,,
11,310,2541,2542,2543,2544,4030,4020,401,301,,4,3,2,,
12,340,2611,2612,2613,2614,4030,4030,501,401,301,5,4,3,2,
13,400,2621,2622,2623,2624,4040,4030,501,401,301,5,4,3,2,
14,500,2631,2632,2633,2634,4040,4030,501,401,301,5,4,3,2,
15,600,2641,2642,2643,2644,4040,4040,501,401,301,6,5,4,3,
16,700,2651,2652,2653,2654,4050,4040,501,401,301,6,5,4,3,
17,800,2661,2662,2663,2664,4050,4040,501,401,301,6,5,4,3,
