id,activityID,days,gridid%1,gridid%2,gridid%3,boxreward-type-1,boxreward-id-1,boxreward-value-1,boxreward-type-2,boxreward-id-2,boxreward-value-2,
1,4000,1,1,2,3,2,1077,50,2,1001,200,
2,4000,1,4,5,6,2,1003,2,2,1007,1,
3,4000,1,7,8,9,2,1027,50,2,1006,150,
4,4000,1,1,4,7,2,1007,1,2,1077,50,
5,4000,1,2,5,8,2,1006,150,2,1005,5,
6,4000,1,3,6,9,2,1027,50,2,1001,200,
7,4000,2,1,2,3,2,1077,50,2,1001,200,
8,4000,2,4,5,6,2,1003,2,2,1007,1,
9,4000,2,7,8,9,2,1027,50,2,1006,150,
10,4000,2,1,4,7,2,1007,1,2,1077,50,
11,4000,2,2,5,8,2,1006,150,2,1005,5,
12,4000,2,3,6,9,2,1027,50,2,1001,200,
13,4000,3,1,2,3,2,1077,50,2,1001,200,
14,4000,3,4,5,6,2,1003,2,2,1007,1,
15,4000,3,7,8,9,2,1027,50,2,1006,150,
16,4000,3,1,4,7,2,1007,1,2,1077,50,
17,4000,3,2,5,8,2,1006,150,2,1005,5,
18,4000,3,3,6,9,2,1027,50,2,1001,200,
19,4000,4,1,2,3,2,1077,50,2,1001,200,
20,4000,4,4,5,6,2,1003,2,2,1007,1,
21,4000,4,7,8,9,2,1027,50,2,1006,150,
22,4000,4,1,4,7,2,1007,1,2,1077,50,
23,4000,4,2,5,8,2,1006,150,2,1005,5,
24,4000,4,3,6,9,2,1027,50,2,1001,200,
25,4000,5,1,2,3,2,1077,50,2,1001,200,
26,4000,5,4,5,6,2,1003,2,2,1007,1,
27,4000,5,7,8,9,2,1027,50,2,1006,150,
28,4000,5,1,4,7,2,1007,1,2,1077,50,
29,4000,5,2,5,8,2,1006,150,2,1005,5,
30,4000,5,3,6,9,2,1027,50,2,1001,200,
31,4000,6,1,2,3,2,1077,50,2,1001,200,
32,4000,6,4,5,6,2,1003,2,2,1007,1,
33,4000,6,7,8,9,2,1027,50,2,1006,150,
34,4000,6,1,4,7,2,1007,1,2,1077,50,
35,4000,6,2,5,8,2,1006,150,2,1005,5,
36,4000,6,3,6,9,2,1027,50,2,1001,200,
37,4000,7,1,2,3,2,1077,50,2,1001,200,
38,4000,7,4,5,6,2,1003,2,2,1007,1,
39,4000,7,7,8,9,2,1027,50,2,1006,150,
40,4000,7,1,4,7,2,1007,1,2,1077,50,
41,4000,7,2,5,8,2,1006,150,2,1005,5,
42,4000,7,3,6,9,2,1027,50,2,1001,200,
43,4010,1,1,2,3,2,1077,50,2,1001,200,
44,4010,1,4,5,6,2,1003,2,2,1007,1,
45,4010,1,7,8,9,2,1027,50,2,1006,150,
46,4010,1,1,4,7,2,1007,1,2,1077,50,
47,4010,1,2,5,8,2,1006,150,2,1005,5,
48,4010,1,3,6,9,2,1027,50,2,1001,200,
49,4010,2,1,2,3,2,1077,50,2,1001,200,
50,4010,2,4,5,6,2,1003,2,2,1007,1,
51,4010,2,7,8,9,2,1027,50,2,1006,150,
52,4010,2,1,4,7,2,1007,1,2,1077,50,
53,4010,2,2,5,8,2,1006,150,2,1005,5,
54,4010,2,3,6,9,2,1027,50,2,1001,200,
55,4010,3,1,2,3,2,1077,50,2,1001,200,
56,4010,3,4,5,6,2,1003,2,2,1007,1,
57,4010,3,7,8,9,2,1027,50,2,1006,150,
58,4010,3,1,4,7,2,1007,1,2,1077,50,
59,4010,3,2,5,8,2,1006,150,2,1005,5,
60,4010,3,3,6,9,2,1027,50,2,1001,200,
61,4010,4,1,2,3,2,1077,50,2,1001,200,
62,4010,4,4,5,6,2,1003,2,2,1007,1,
63,4010,4,7,8,9,2,1027,50,2,1006,150,
64,4010,4,1,4,7,2,1007,1,2,1077,50,
65,4010,4,2,5,8,2,1006,150,2,1005,5,
66,4010,4,3,6,9,2,1027,50,2,1001,200,
67,4010,5,1,2,3,2,1077,50,2,1001,200,
68,4010,5,4,5,6,2,1003,2,2,1007,1,
69,4010,5,7,8,9,2,1027,50,2,1006,150,
70,4010,5,1,4,7,2,1007,1,2,1077,50,
71,4010,5,2,5,8,2,1006,150,2,1005,5,
72,4010,5,3,6,9,2,1027,50,2,1001,200,
73,4010,6,1,2,3,2,1077,50,2,1001,200,
74,4010,6,4,5,6,2,1003,2,2,1007,1,
75,4010,6,7,8,9,2,1027,50,2,1006,150,
76,4010,6,1,4,7,2,1007,1,2,1077,50,
77,4010,6,2,5,8,2,1006,150,2,1005,5,
78,4010,6,3,6,9,2,1027,50,2,1001,200,
79,4010,7,1,2,3,2,1077,50,2,1001,200,
80,4010,7,4,5,6,2,1003,2,2,1007,1,
81,4010,7,7,8,9,2,1027,50,2,1006,150,
82,4010,7,1,4,7,2,1007,1,2,1077,50,
83,4010,7,2,5,8,2,1006,150,2,1005,5,
84,4010,7,3,6,9,2,1027,50,2,1001,200,
