lv,integral,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,lockRewards-type-1,lockRewards-id-1,lockRewards-value-1,lockRewards-type-2,lockRewards-id-2,lockRewards-value-2,
1,2000,2,1051,2,,,,2,1051,5,2,1004,2,
2,4000,2,1050,2,,,,2,1050,5,,,,
3,6000,2,1049,2,,,,2,1049,5,,,,
4,8000,2,6100,1,,,,2,6100,2,,,,
5,10000,2,1049,4,,,,2,1049,10,2,1516,2,
6,12000,2,1050,2,,,,2,1050,5,,,,
7,14000,2,1049,2,,,,2,1049,5,,,,
8,16000,2,6100,1,,,,2,6100,2,,,,
9,18000,2,1050,2,,,,2,1050,5,,,,
10,20000,2,1049,4,,,,2,1049,10,2,1516,2,
11,22000,2,1050,2,,,,2,1050,5,,,,
12,24000,2,1049,2,,,,2,1049,5,,,,
13,26000,2,6100,1,,,,2,6100,2,,,,
14,28000,2,1050,2,,,,2,1050,5,,,,
15,30000,2,1051,1,,,,2,1051,3,2,1004,1,
16,32000,2,1050,2,,,,2,1050,5,,,,
17,34000,2,1049,2,,,,2,1049,5,,,,
18,36000,2,6100,1,,,,2,6100,2,,,,
19,38000,2,1050,2,,,,2,1050,5,,,,
20,40000,2,6200,1,,,,2,6300,1,2,1516,2,
21,42000,2,1050,2,,,,2,1050,5,,,,
22,44000,2,1049,2,,,,2,1049,5,,,,
23,46000,2,6100,1,,,,2,6100,2,,,,
24,48000,2,1050,2,,,,2,1050,5,,,,
25,50000,2,1049,4,,,,2,1049,10,2,1516,2,
26,52000,2,1050,2,,,,2,1050,5,,,,
27,54000,2,1049,2,,,,2,1049,5,,,,
28,56000,2,6100,1,,,,2,6100,2,,,,
29,58000,2,1050,2,,,,2,1050,5,,,,
30,60000,2,1049,4,,,,2,1049,10,2,1516,2,
31,62000,2,1050,2,,,,2,1050,5,,,,
32,64000,2,1049,2,,,,2,1049,5,,,,
33,66000,2,6100,1,,,,2,6100,2,,,,
34,68000,2,1050,2,,,,2,1050,5,,,,
35,70000,2,6200,1,,,,2,6300,1,2,1004,1,
36,72000,2,1050,2,,,,2,1050,5,,,,
37,74000,2,1049,2,,,,2,1049,5,,,,
38,76000,2,6100,1,,,,2,6100,2,,,,
39,78000,2,1050,2,,,,2,1050,5,,,,
40,80000,2,1051,1,,,,2,1051,3,2,1521,1,
41,82000,2,1050,2,,,,2,1050,5,,,,
42,84000,2,1049,2,,,,2,1049,5,,,,
43,86000,2,6100,1,,,,2,6100,2,,,,
44,88000,2,1050,2,,,,2,1050,5,,,,
45,90000,2,6200,1,,,,2,6300,1,2,1076,1,
46,92000,2,1050,2,,,,2,1050,5,,,,
47,94000,2,1049,2,,,,2,1049,5,,,,
48,96000,2,6100,1,,,,2,6100,2,,,,
49,98000,2,1050,2,,,,2,1050,5,,,,
50,100000,2,1051,2,,,,2,1051,5,2,1076,4,
51,102000,2,1050,3,,,,2,1050,5,,,,
52,104000,2,1049,3,,,,2,1049,5,,,,
53,106000,2,6100,2,,,,2,6100,2,,,,
54,108000,2,1050,3,,,,2,1050,5,,,,
55,110000,2,6200,2,,,,2,6300,1,2,1004,2,
56,112000,2,1050,3,,,,2,1050,5,,,,
57,114000,2,1049,3,,,,2,1049,5,,,,
58,116000,2,6100,2,,,,2,6100,2,,,,
59,118000,2,1050,3,,,,2,1050,5,,,,
60,120000,2,1051,2,,,,2,1051,3,2,1521,2,
61,122000,2,1050,3,,,,2,1050,5,,,,
62,124000,2,1049,3,,,,2,1049,5,,,,
63,126000,2,6100,2,,,,2,6100,2,,,,
64,128000,2,1050,3,,,,2,1050,5,,,,
65,130000,2,6200,2,,,,2,6300,1,2,1076,2,
66,132000,2,1050,3,,,,2,1050,5,,,,
67,134000,2,1049,3,,,,2,1049,5,,,,
68,136000,2,6100,2,,,,2,6100,2,,,,
69,138000,2,1050,3,,,,2,1050,5,,,,
70,140000,2,1051,3,,,,2,1051,5,2,1076,6,
