skillId,beautyId,lv,nextSkill,costs-type-1,costs-id-1,costs-value-1,costs-type-2,costs-id-2,costs-value-2,lvLimit,assistantSkill,
710001,1,1,710002,2,1080,20,1,8,80000,,711001,
710002,1,2,710003,2,1080,25,1,8,180000,12,711002,
710003,1,3,710004,2,1080,30,1,8,330000,24,711003,
710004,1,4,710005,2,1080,35,1,8,530000,36,711004,
710005,1,5,710006,2,1080,40,1,8,780000,48,711005,
710006,1,6,710007,2,1080,45,1,8,1080000,60,711006,
710007,1,7,710008,2,1080,50,1,8,1430000,72,711007,
710008,1,8,710009,2,1080,55,1,8,1830000,84,711008,
710009,1,9,710010,2,1080,60,1,8,2280000,96,711009,
710010,1,10,710011,2,1080,65,1,8,2780000,108,711010,
710011,1,11,,2,1080,70,1,8,3330000,,711011,
720001,2,1,720002,2,1080,20,1,8,80000,,721001,
720002,2,2,720003,2,1080,25,1,8,180000,12,721002,
720003,2,3,720004,2,1080,30,1,8,330000,24,721003,
720004,2,4,720005,2,1080,35,1,8,530000,36,721004,
720005,2,5,720006,2,1080,40,1,8,780000,48,721005,
720006,2,6,720007,2,1080,45,1,8,1080000,60,721006,
720007,2,7,720008,2,1080,50,1,8,1430000,72,721007,
720008,2,8,720009,2,1080,55,1,8,1830000,84,721008,
720009,2,9,720010,2,1080,60,1,8,2280000,96,721009,
720010,2,10,720011,2,1080,65,1,8,2780000,108,721010,
720011,2,11,,2,1080,70,1,8,3330000,,721011,
730001,5,1,730002,2,1080,20,1,8,80000,,731001,
730002,5,2,730003,2,1080,25,1,8,180000,12,731002,
730003,5,3,730004,2,1080,30,1,8,330000,24,731003,
730004,5,4,730005,2,1080,35,1,8,530000,36,731004,
730005,5,5,730006,2,1080,40,1,8,780000,48,731005,
730006,5,6,730007,2,1080,45,1,8,1080000,60,731006,
730007,5,7,730008,2,1080,50,1,8,1430000,72,731007,
730008,5,8,730009,2,1080,55,1,8,1830000,84,731008,
730009,5,9,730010,2,1080,60,1,8,2280000,96,731009,
730010,5,10,730011,2,1080,65,1,8,2780000,108,731010,
730011,5,11,,2,1080,70,1,8,3330000,,731011,
740001,3,1,740002,2,1080,20,1,8,80000,,741001,
740002,3,2,740003,2,1080,25,1,8,180000,12,741002,
740003,3,3,740004,2,1080,30,1,8,330000,24,741003,
740004,3,4,740005,2,1080,35,1,8,530000,36,741004,
740005,3,5,740006,2,1080,40,1,8,780000,48,741005,
740006,3,6,740007,2,1080,45,1,8,1080000,60,741006,
740007,3,7,740008,2,1080,50,1,8,1430000,72,741007,
740008,3,8,740009,2,1080,55,1,8,1830000,84,741008,
740009,3,9,740010,2,1080,60,1,8,2280000,96,741009,
740010,3,10,740011,2,1080,65,1,8,2780000,108,741010,
740011,3,11,,2,1080,70,1,8,3330000,,741011,
750001,4,1,750002,2,1080,20,1,8,80000,,751001,
750002,4,2,750003,2,1080,25,1,8,180000,12,751002,
750003,4,3,750004,2,1080,30,1,8,330000,24,751003,
750004,4,4,750005,2,1080,35,1,8,530000,36,751004,
750005,4,5,750006,2,1080,40,1,8,780000,48,751005,
750006,4,6,750007,2,1080,45,1,8,1080000,60,751006,
750007,4,7,750008,2,1080,50,1,8,1430000,72,751007,
750008,4,8,750009,2,1080,55,1,8,1830000,84,751008,
750009,4,9,750010,2,1080,60,1,8,2280000,96,751009,
750010,4,10,750011,2,1080,65,1,8,2780000,108,751010,
750011,4,11,,2,1080,70,1,8,3330000,,751011,
760001,6,1,760002,2,1080,20,1,8,80000,,761001,
760002,6,2,760003,2,1080,25,1,8,180000,12,761002,
760003,6,3,760004,2,1080,30,1,8,330000,24,761003,
760004,6,4,760005,2,1080,35,1,8,530000,36,761004,
760005,6,5,760006,2,1080,40,1,8,780000,48,761005,
760006,6,6,760007,2,1080,45,1,8,1080000,60,761006,
760007,6,7,760008,2,1080,50,1,8,1430000,72,761007,
760008,6,8,760009,2,1080,55,1,8,1830000,84,761008,
