id,type,nextLevel,unlockLv,rewards,
101,0,102,0,s==16|1|8|500,1|10|500,
102,1,103,0,s==16|1|8|600,1|10|800,
103,1,104,0,s==18|1|8|1000,1|10|1000,
104,1,105,10,s==18|1|8|1500,1|10|1500,
105,1,,20,s==18|1|8|2500,1|10|2500,
201,1,202,30,s==18|1|8|3500,1|10|3500,
202,1,203,40,s==18|1|8|4500,1|10|4500,
203,1,204,50,s==18|1|8|5500,1|10|5500,
204,1,205,60,s==20|1|8|10000,1|10|10000,
205,1,,70,s==20|1|8|10000,1|10|10000,
301,1,302,80,s==20|1|8|10000,1|10|10000,
302,1,303,90,s==20|1|8|10000,1|10|10000,
303,1,304,90,s==20|1|8|10000,1|10|10000,
304,1,305,100,s==20|1|8|10000,1|10|10000,
305,1,,100,s==20|1|8|10000,1|10|10000,
