id,allPassAwards-type-1,allPassAwards-id-1,allPassAwards-value-1,allPassAwards-type-2,allPassAwards-id-2,allPassAwards-value-2,allPassAwards-type-3,allPassAwards-id-3,allPassAwards-value-3,allPassAwards-type-4,allPassAwards-id-4,allPassAwards-value-4,allPassAwards-type-5,allPassAwards-id-5,allPassAwards-value-5,
50,2,1012,36,,,,,,,,,,,,,
60,2,1012,36,,,,,,,,,,,,,
70,2,1012,36,,,,,,,,,,,,,
80,2,1012,36,2,1004,1,,,,,,,,,,
90,2,1012,36,,,,,,,,,,,,,
100,2,1012,36,,,,,,,,,,,,,
110,2,1012,36,,,,,,,,,,,,,
120,2,1012,36,2,1004,1,,,,,,,,,,
130,2,1012,36,,,,,,,,,,,,,
140,2,1012,36,,,,,,,,,,,,,
150,2,1012,36,,,,,,,,,,,,,
160,2,1012,36,2,1004,1,,,,,,,,,,
170,2,1012,36,,,,,,,,,,,,,
180,2,1012,36,,,,,,,,,,,,,
190,2,1012,36,,,,,,,,,,,,,
200,2,1012,36,2,1004,1,,,,,,,,,,
210,2,1012,36,,,,,,,,,,,,,
220,2,1012,36,,,,,,,,,,,,,
230,2,1012,36,,,,,,,,,,,,,
240,2,1012,36,2,1004,1,,,,,,,,,,
250,2,1012,36,,,,,,,,,,,,,
260,2,1012,36,,,,,,,,,,,,,
270,2,1012,36,,,,,,,,,,,,,
280,2,1012,36,2,1004,1,,,,,,,,,,
290,2,1012,36,,,,,,,,,,,,,
300,2,1012,36,,,,,,,,,,,,,
310,2,1012,36,,,,,,,,,,,,,
320,2,1012,36,2,1004,1,,,,,,,,,,
330,2,1012,36,,,,,,,,,,,,,
340,2,1012,36,,,,,,,,,,,,,
350,2,1012,36,,,,,,,,,,,,,
360,2,1012,36,2,1004,1,,,,,,,,,,
370,2,1012,36,,,,,,,,,,,,,
380,2,1012,36,,,,,,,,,,,,,
390,2,1012,36,,,,,,,,,,,,,
400,2,1012,36,2,1004,1,,,,,,,,,,
410,2,1012,36,,,,,,,,,,,,,
420,2,1012,36,,,,,,,,,,,,,
430,2,1012,36,,,,,,,,,,,,,
440,2,1012,36,2,1004,1,,,,,,,,,,
450,2,1012,36,,,,,,,,,,,,,
460,2,1012,36,,,,,,,,,,,,,
470,2,1012,36,,,,,,,,,,,,,
480,2,1012,36,2,1004,1,,,,,,,,,,
490,2,1012,36,,,,,,,,,,,,,
500,2,1012,36,,,,,,,,,,,,,
510,2,1012,36,,,,,,,,,,,,,
520,2,1012,36,2,1004,1,,,,,,,,,,
530,2,1012,36,,,,,,,,,,,,,
540,2,1012,36,,,,,,,,,,,,,
550,2,1012,36,,,,,,,,,,,,,
560,2,1012,36,2,1004,1,,,,,,,,,,
570,2,1012,36,,,,,,,,,,,,,
580,2,1012,36,,,,,,,,,,,,,
590,2,1012,36,,,,,,,,,,,,,
600,2,1012,36,2,1004,1,,,,,,,,,,
610,2,1012,36,,,,,,,,,,,,,
620,2,1012,36,,,,,,,,,,,,,
630,2,1012,36,,,,,,,,,,,,,
640,2,1012,36,2,1004,1,,,,,,,,,,
650,2,1012,36,,,,,,,,,,,,,
660,2,1012,36,,,,,,,,,,,,,
670,2,1012,36,,,,,,,,,,,,,
680,2,1012,36,2,1004,1,,,,,,,,,,
690,2,1012,36,,,,,,,,,,,,,
700,2,1012,36,,,,,,,,,,,,,
710,2,1012,36,,,,,,,,,,,,,
720,2,1012,36,2,1004,1,,,,,,,,,,
730,2,1012,36,,,,,,,,,,,,,
