id,heroId,heroStar,freeReward-type-1,freeReward-id-1,freeReward-value-1,giftId,
1,21512,5,2,1001,300,29800,
2,21512,6,2,2541,1,29801,
3,21512,7,2,1004,3,29802,
4,21512,8,2,1006,1000,29803,
5,21512,9,2,4030,1,29804,
6,21512,10,2,2632,1,29805,
101,21510,5,2,1001,300,29806,
102,21510,6,2,2541,1,29807,
103,21510,7,2,1004,3,29808,
104,21510,8,2,1006,1000,29809,
105,21510,9,2,4030,1,29810,
106,21510,10,2,2632,1,29811,
201,21503,5,2,1001,300,29812,
202,21503,6,2,2541,1,29813,
203,21503,7,2,1004,3,29814,
204,21503,8,2,1006,1000,29815,
205,21503,9,2,4030,1,29816,
206,21503,10,2,2632,1,29817,
301,22504,5,2,1001,300,29818,
302,22504,6,2,2541,1,29819,
303,22504,7,2,1004,3,29820,
304,22504,8,2,1006,1000,29821,
305,22504,9,2,4030,1,29822,
306,22504,10,2,2632,1,29823,
401,22502,5,2,1001,300,29824,
402,22502,6,2,2541,1,29825,
403,22502,7,2,1004,3,29826,
404,22502,8,2,1006,1000,29827,
405,22502,9,2,4030,1,29828,
406,22502,10,2,2632,1,29829,
501,22507,5,2,1001,300,29830,
502,22507,6,2,2541,1,29831,
503,22507,7,2,1004,3,29832,
504,22507,8,2,1006,1000,29833,
505,22507,9,2,4030,1,29834,
506,22507,10,2,2632,1,29835,
601,23510,5,2,1001,300,29836,
602,23510,6,2,2541,1,29837,
603,23510,7,2,1004,3,29838,
604,23510,8,2,1006,1000,29839,
605,23510,9,2,4030,1,29840,
606,23510,10,2,2632,1,29841,
701,23506,5,2,1001,300,29842,
702,23506,6,2,2541,1,29843,
703,23506,7,2,1004,3,29844,
704,23506,8,2,1006,1000,29845,
705,23506,9,2,4030,1,29846,
706,23506,10,2,2632,1,29847,
801,23508,5,2,1001,300,29848,
802,23508,6,2,2541,1,29849,
803,23508,7,2,1004,3,29850,
804,23508,8,2,1006,1000,29851,
805,23508,9,2,4030,1,29852,
806,23508,10,2,2632,1,29853,
901,24504,5,2,1001,300,29854,
902,24504,6,2,2541,1,29855,
903,24504,7,2,1004,3,29856,
904,24504,8,2,1006,1000,29857,
905,24504,9,2,4030,1,29858,
906,24504,10,2,2632,1,29859,
1001,24503,5,2,1001,300,29860,
1002,24503,6,2,2541,1,29861,
1003,24503,7,2,1004,3,29862,
1004,24503,8,2,1006,1000,29863,
1005,24503,9,2,4030,1,29864,
1006,24503,10,2,2632,1,29865,
1101,24508,5,2,1001,300,29866,
1102,24508,6,2,2541,1,29867,
1103,24508,7,2,1004,3,29868,
1104,24508,8,2,1006,1000,29869,
1105,24508,9,2,4030,1,29870,
1106,24508,10,2,2632,1,29871,
1201,25504,5,2,1001,300,29872,
1202,25504,6,2,2541,1,29873,
1203,25504,7,2,1004,3,29874,
1204,25504,8,2,1006,1000,29875,
1205,25504,9,2,4030,1,29876,
1206,25504,10,2,2632,1,29877,
1301,25515,5,2,1001,300,29878,
1302,25515,6,2,2541,1,29879,
1303,25515,7,2,1004,3,29880,
1304,25515,8,2,1006,1000,29881,
1305,25515,9,2,4030,1,29882,
1306,25515,10,2,2632,1,29883,
1401,25509,5,2,1001,300,29884,
1402,25509,6,2,2541,1,29885,
1403,25509,7,2,1004,3,29886,
1404,25509,8,2,1006,1000,29887,
1405,25509,9,2,4030,1,29888,
1406,25509,10,2,2632,1,29889,
