Id,FestivalName,ActivityOpenTime,ThemeType,describe1,describe2,describe3,ActivityGift1,ActivityGift2,
1,s==33|Nguyên Đán - Hạn Mua Thương Thành,s==10|2024-01-01,1,s==28|Kính chúc tân niên hạnh phúc,s==12|Vạn Sự Như Ý,s==20|Hạn Mua Thương Thành,s==17|Nguyên Đán Hảo Lễ,s==17|Nguyên Đán Hào Lễ,
2,s==31|Trừ Tịch - Hạn Mua Thương Thành,s==10|2024-02-09,1,s==17|Từ Cựu Nghênh Tân,s==17|Niên Niên Hảo Vận,s==20|Hạn Mua Thương Thành,s==15|Trừ Tịch Hảo Lễ,s==15|Trừ Tịch Hào Lễ,
3,s==32|Xuân Tiết - Hạn Mua Thương Thành,s==10|2024-02-10,1,s==17|Khai Xuân Đại Cát,s==16|Hoa Khai Phú Quý,s==20|Hạn Mua Thương Thành,s==16|Khai Xuân Hảo Lễ,s==16|Khai Xuân Hào Lễ,
4,s==39|Nguyên Tiêu Tiết - Hạn Mua Thương Thành,s==10|2024-02-24,1,s==16|Hòa Gia Hoan Lạc,s==19|Đoàn Đoàn Viên Viên,s==20|Hạn Mua Thương Thành,s==18|Nguyên Tiêu Hảo Lễ,s==18|Nguyên Tiêu Hào Lễ,
5,s==37|Tình Nhân Tiết - Hạn Mua Thương Thành,s==10|2023-02-14,2,s==16|Tình Bỉ Kim Kiên,s==15|Nồng Tình Mật Ý,s==20|Hạn Mua Thương Thành,s==16|Tình Nhân Hảo Lễ,s==16|Tình Nhân Hào Lễ,
6,s==34|Phụ Nữ Tiết - Hạn Mua Thương Thành,s==10|2023-03-08,4,s==21|Hạn Thời Thương Thành,s==14|Kỳ trân dị bảo,s==20|Hạn Mua Thương Thành,s==14|Hạn Mua Hảo Lễ,s==14|Hạn Mua Hào Lễ,
7,s==37|Ngốc Nhân Tiết - Hạn Mua Thương Thành,s==10|2023-04-01,4,s==21|Hạn Thời Thương Thành,s==14|Kỳ trân dị bảo,s==20|Hạn Mua Thương Thành,s==14|Hạn Mua Hảo Lễ,s==14|Hạn Mua Hào Lễ,
8,s==38|Thanh Minh Tiết - Hạn Mua Thương Thành,s==10|2023-04-05,4,s==18|Xuân Sắc Liêu Nhân,s==20|Thảo Trường Oanh Phi,s==20|Hạn Mua Thương Thành,s==14|Hạn Mua Hảo Lễ,s==14|Hạn Mua Hào Lễ,
9,s==36|Lao Động Tiết - Hạn Mua Thương Thành,s==10|2023-05-01,4,s==16|Nam Canh Nữ Thức,s==16|An Cư Lạc Nghiệp,s==20|Hạn Mua Thương Thành,s==14|Hạn Mua Hảo Lễ,s==14|Hạn Mua Hào Lễ,
10,s==45|Ngũ Tứ Thanh Niên Tiết - Hạn Mua Thương Thành,s==10|2023-05-04,4,s==15|Xuân Ý Ám Nhiên,s==15|Sinh Cơ Bát Bát,s==20|Hạn Mua Thương Thành,s==14|Hạn Mua Hảo Lễ,s==14|Hạn Mua Hào Lễ,
11,s==36|Mẫu Thân Tiết - Hạn Mua Thương Thành,s==10|2023-05-14,4,s==15|Hầm Tân Nhự Khổ,s==17|Nhâm Lao Nhâm Oán,s==20|Hạn Mua Thương Thành,s==14|Hạn Mua Hảo Lễ,s==14|Hạn Mua Hào Lễ,
