id,allPassAwards-type-1,allPassAwards-id-1,allPassAwards-value-1,allPassAwards-type-2,allPassAwards-id-2,allPassAwards-value-2,allPassAwards-type-3,allPassAwards-id-3,allPassAwards-value-3,allPassAwards-type-4,allPassAwards-id-4,allPassAwards-value-4,allPassAwards-type-5,allPassAwards-id-5,allPassAwards-value-5,
2000,2,1012,36,2,1004,1,,,,,,,,,,
2003,2,1012,36,,,,,,,,,,,,,
2008,2,1012,36,,,,,,,,,,,,,
2010,2,1012,36,2,1004,1,,,,,,,,,,
2015,2,1012,36,,,,,,,,,,,,,
2020,2,1012,36,,,,,,,,,,,,,
2025,2,1012,36,,,,,,,,,,,,,
2030,2,1012,36,2,1004,1,,,,,,,,,,
2035,2,1012,36,,,,,,,,,,,,,
2040,2,1012,36,,,,,,,,,,,,,
2045,2,1012,36,,,,,,,,,,,,,
2050,2,1012,36,2,1004,1,,,,,,,,,,
2055,2,1012,36,,,,,,,,,,,,,
2060,2,1012,36,,,,,,,,,,,,,
2065,2,1012,36,,,,,,,,,,,,,
2070,2,1012,36,2,1004,1,,,,,,,,,,
2075,2,1012,36,,,,,,,,,,,,,
2080,2,1012,36,,,,,,,,,,,,,
2085,2,1012,36,,,,,,,,,,,,,
2090,2,1012,36,2,1004,1,,,,,,,,,,
2095,2,1012,36,,,,,,,,,,,,,
2100,2,1012,36,,,,,,,,,,,,,
2105,2,1012,36,,,,,,,,,,,,,
2110,2,1012,36,2,1004,1,,,,,,,,,,
2115,2,1012,36,,,,,,,,,,,,,
2120,2,1012,36,,,,,,,,,,,,,
2125,2,1012,36,,,,,,,,,,,,,
2130,2,1012,36,2,1004,1,,,,,,,,,,
2135,2,1012,36,,,,,,,,,,,,,
2140,2,1012,36,,,,,,,,,,,,,
2145,2,1012,36,,,,,,,,,,,,,
2150,2,1012,36,2,1004,1,,,,,,,,,,
2155,2,1012,36,,,,,,,,,,,,,
2160,2,1012,36,,,,,,,,,,,,,
2165,2,1012,36,,,,,,,,,,,,,
2170,2,1012,36,2,1004,1,,,,,,,,,,
2175,2,1012,36,,,,,,,,,,,,,
2180,2,1012,36,,,,,,,,,,,,,
2185,2,1012,36,,,,,,,,,,,,,
2190,2,1012,36,2,1004,1,,,,,,,,,,
2195,2,1012,36,,,,,,,,,,,,,
2200,2,1012,36,,,,,,,,,,,,,
2205,2,1012,36,,,,,,,,,,,,,
2210,2,1012,36,2,1004,1,,,,,,,,,,
2215,2,1012,36,,,,,,,,,,,,,
2220,2,1012,36,,,,,,,,,,,,,
2225,2,1012,36,,,,,,,,,,,,,
2230,2,1012,36,2,1004,1,,,,,,,,,,
2235,2,1012,36,,,,,,,,,,,,,
2240,2,1012,36,,,,,,,,,,,,,
2245,2,1012,36,,,,,,,,,,,,,
2250,2,1012,36,2,1004,1,,,,,,,,,,
2255,2,1012,36,,,,,,,,,,,,,
2260,2,1012,36,,,,,,,,,,,,,
2265,2,1012,36,,,,,,,,,,,,,
2270,2,1012,36,2,1004,1,,,,,,,,,,
2275,2,1012,36,,,,,,,,,,,,,
2280,2,1012,36,,,,,,,,,,,,,
2285,2,1012,36,,,,,,,,,,,,,
2290,2,1012,36,2,1004,1,,,,,,,,,,
2295,2,1012,36,,,,,,,,,,,,,
2300,2,1012,36,,,,,,,,,,,,,
2305,2,1012,36,,,,,,,,,,,,,
2310,2,1012,36,2,1004,1,,,,,,,,,,
2315,2,1012,36,,,,,,,,,,,,,
2320,2,1012,36,,,,,,,,,,,,,
2325,2,1012,36,,,,,,,,,,,,,
2330,2,1012,36,2,1004,1,,,,,,,,,,
2335,2,1012,36,,,,,,,,,,,,,
2340,2,1012,36,,,,,,,,,,,,,
2345,2,1012,36,,,,,,,,,,,,,
2350,2,1012,36,2,1004,1,,,,,,,,,,
2355,2,1012,36,,,,,,,,,,,,,
2360,2,1012,36,,,,,,,,,,,,,
2365,2,1012,36,,,,,,,,,,,,,
2370,2,1012,36,2,1004,1,,,,,,,,,,
2375,2,1012,36,,,,,,,,,,,,,
2380,2,1012,36,,,,,,,,,,,,,
2385,2,1012,36,,,,,,,,,,,,,
2390,2,1012,36,2,1004,1,,,,,,,,,,
2395,2,1012,36,,,,,,,,,,,,,
2400,2,1012,36,,,,,,,,,,,,,
2405,2,1012,36,,,,,,,,,,,,,
2410,2,1012,36,2,1004,1,,,,,,,,,,
2415,2,1012,36,,,,,,,,,,,,,
2420,2,1012,36,,,,,,,,,,,,,
2425,2,1012,36,,,,,,,,,,,,,
2430,2,1012,36,2,1004,1,,,,,,,,,,
2435,2,1012,36,,,,,,,,,,,,,
2440,2,1012,36,,,,,,,,,,,,,
2445,2,1012,36,,,,,,,,,,,,,
2450,2,1012,36,2,1004,1,,,,,,,,,,
2455,2,1012,36,,,,,,,,,,,,,
2460,2,1012,36,,,,,,,,,,,,,
2465,2,1012,36,,,,,,,,,,,,,
2470,2,1012,36,2,1004,1,,,,,,,,,,
2475,2,1012,36,,,,,,,,,,,,,
2480,2,1012,36,,,,,,,,,,,,,
2485,2,1012,36,,,,,,,,,,,,,
2490,2,1012,36,2,1004,1,,,,,,,,,,
2495,2,1012,36,,,,,,,,,,,,,
2500,2,1012,36,,,,,,,,,,,,,
2505,2,1012,36,,,,,,,,,,,,,
2510,2,1012,36,2,1004,1,,,,,,,,,,
2515,2,1012,36,,,,,,,,,,,,,
2520,2,1012,36,,,,,,,,,,,,,
2525,2,1012,36,,,,,,,,,,,,,
2530,2,1012,36,2,1004,1,,,,,,,,,,
2535,2,1012,36,,,,,,,,,,,,,
2540,2,1012,36,,,,,,,,,,,,,
2545,2,1012,36,,,,,,,,,,,,,
2550,2,1012,36,2,1004,1,,,,,,,,,,
2555,2,1012,36,,,,,,,,,,,,,
2560,2,1012,36,,,,,,,,,,,,,
2565,2,1012,36,,,,,,,,,,,,,
2570,2,1012,36,2,1004,1,,,,,,,,,,
2575,2,1012,36,,,,,,,,,,,,,
2580,2,1012,36,,,,,,,,,,,,,
2585,2,1012,36,,,,,,,,,,,,,
2590,2,1012,36,2,1004,1,,,,,,,,,,
2595,2,1012,36,,,,,,,,,,,,,
2600,2,1012,36,,,,,,,,,,,,,
2605,2,1012,36,,,,,,,,,,,,,
2610,2,1012,36,2,1004,1,,,,,,,,,,
2615,2,1012,36,,,,,,,,,,,,,
2620,2,1012,36,,,,,,,,,,,,,
2625,2,1012,36,,,,,,,,,,,,,
2630,2,1012,36,2,1004,1,,,,,,,,,,
2635,2,1012,36,,,,,,,,,,,,,
2640,2,1012,36,,,,,,,,,,,,,
2645,2,1012,36,,,,,,,,,,,,,
2650,2,1012,36,2,1004,1,,,,,,,,,,
2655,2,1012,36,,,,,,,,,,,,,
2660,2,1012,36,,,,,,,,,,,,,
