id,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,bonus-type-1,bonus-id-1,bonus-value-1,bonustar,
1,2,2211,1,2,2212,1,,,,,,,,
5,2,3001,20,,,,,,,,,,,
10,2,2213,1,2,2214,1,,,,3,22508,1,5,
15,2,3002,30,,,,,,,,,,,
20,2,2221,1,2,2222,1,2,1003,3,,,,,
25,2,3002,30,,,,,,,2,1001,1000,5,
30,2,2223,1,2,2224,1,,,,,,,,
40,2,2311,1,2,2312,1,,,,,,,,
50,2,3002,60,2,1003,3,,,,2,2611,1,6,
60,2,2313,1,2,2314,1,,,,,,,,
70,2,2321,1,2,2322,1,,,,,,,,
75,2,3008,50,2,1003,3,,,,3,22403,1,5,
80,2,2323,1,2,2324,1,,,,,,,,
90,2,2411,1,2,2412,1,,,,,,,,
100,2,3008,50,2,1003,3,,,,3,22508,1,5,
110,2,2413,1,2,2414,1,,,,,,,,
120,2,2421,1,2,2422,1,,,,,,,,
125,2,3008,50,2,1003,3,,,,3,25515,1,5,
130,2,2423,1,2,2424,1,,,,,,,,
140,2,2431,1,2,2432,1,,,,,,,,
150,2,3008,50,2,1003,3,,,,3,25515,1,5,
160,2,2433,1,2,2434,1,,,,,,,,
170,2,2511,1,2,2512,1,,,,,,,,
175,2,3008,50,2,1003,3,,,,3,25403,1,5,
180,2,2513,1,2,2514,1,,,,,,,,
190,2,2511,1,2,2512,1,,,,,,,,
200,2,3008,50,2,1003,3,,,,3,25515,1,5,
210,2,2513,1,2,2514,1,,,,,,,,
220,2,2521,1,2,2522,1,,,,,,,,
225,2,3008,50,2,1003,3,,,,,,,,
230,2,2521,1,2,2522,1,,,,,,,,
240,2,2523,1,2,2524,1,,,,,,,,
250,2,3008,50,2,1003,3,,,,,,,,
260,2,2531,1,2,2532,1,,,,,,,,
270,2,2533,1,2,2534,1,,,,,,,,
275,2,3008,50,2,1003,3,,,,,,,,
280,2,2531,1,2,2532,1,,,,,,,,
290,2,2533,1,2,2534,1,,,,,,,,
300,2,3008,50,2,1003,3,,,,,,,,
310,2,2541,1,2,2542,1,,,,,,,,
320,2,2543,1,2,2544,1,,,,,,,,
325,2,3008,50,2,1003,3,,,,,,,,
330,2,2541,1,2,2542,1,,,,,,,,
340,2,2543,1,2,2544,1,,,,,,,,
350,2,3008,50,2,1003,3,,,,,,,,
360,2,2541,1,2,2542,1,,,,,,,,
370,2,2543,1,2,2544,1,,,,,,,,
375,2,3008,50,2,1003,3,,,,,,,,
380,2,2611,1,2,2612,1,,,,,,,,
390,2,2613,1,2,2614,1,,,,,,,,
400,2,3008,50,2,1003,3,,,,,,,,
410,2,2611,1,2,2612,1,,,,,,,,
420,2,2613,1,2,2614,1,,,,,,,,
425,2,3008,50,2,1003,3,,,,,,,,
430,2,2611,1,2,2612,1,,,,,,,,
440,2,2613,1,2,2614,1,,,,,,,,
450,2,3008,50,2,1003,3,,,,,,,,
460,2,2611,1,2,2612,1,,,,,,,,
470,2,2613,1,2,2614,1,,,,,,,,
475,2,3008,50,2,1003,3,,,,,,,,
480,2,2611,1,2,2612,1,,,,,,,,
490,2,2613,1,2,2614,1,,,,,,,,
500,2,3008,50,2,1003,3,,,,,,,,
510,2,2621,1,2,2622,1,,,,,,,,
520,2,2623,1,2,2624,1,,,,,,,,
525,2,3008,50,2,1003,3,,,,,,,,
530,2,2621,1,2,2622,1,,,,,,,,
540,2,2623,1,2,2624,1,,,,,,,,
550,2,3008,50,2,1003,3,,,,,,,,
560,2,2621,1,2,2622,1,,,,,,,,
570,2,2623,1,2,2624,1,,,,,,,,
575,2,3008,50,2,1003,3,,,,,,,,
580,2,2621,1,2,2622,1,,,,,,,,
590,2,2623,1,2,2624,1,,,,,,,,
600,2,3008,50,2,1003,3,,,,,,,,
610,2,2621,1,2,2622,1,,,,,,,,
620,2,2623,1,2,2624,1,,,,,,,,
630,2,3008,50,2,1003,3,,,,,,,,
640,2,2621,1,2,2622,1,,,,,,,,
650,2,2623,1,2,2624,1,,,,,,,,
660,2,3008,50,2,1003,3,,,,,,,,
670,2,2621,1,2,2622,1,,,,,,,,
680,2,2623,1,2,2624,1,,,,,,,,
690,2,3008,50,2,1003,3,,,,,,,,
700,2,2621,1,2,2622,1,,,,,,,,
710,2,2623,1,2,2624,1,,,,,,,,
720,2,3008,50,2,1003,3,,,,,,,,
730,2,2621,1,2,2622,1,,,,,,,,
740,2,2623,1,2,2624,1,,,,,,,,
750,2,3008,50,2,1003,3,,,,,,,,
760,2,2621,1,2,2622,1,,,,,,,,
770,2,2623,1,2,2624,1,,,,,,,,
780,2,3008,50,2,1003,3,,,,,,,,
790,2,2621,1,2,2622,1,,,,,,,,
800,2,2623,1,2,2624,1,,,,,,,,
