id,level,nextLevel,needItemNum,
1,0,1,200,
2,1,2,500,
3,2,3,700,
4,3,4,1600,
5,4,5,2500,
6,5,6,3400,
7,6,7,4300,
8,7,8,5200,
9,8,9,6100,
10,9,10,7000,
11,10,11,7900,
12,11,12,8800,
13,12,13,9700,
14,13,14,10600,
15,14,15,11500,
16,15,16,12400,
17,16,17,13300,
18,17,18,14200,
19,18,19,15100,
20,19,20,16000,
21,20,21,16900,
22,21,22,17800,
23,22,23,18700,
24,23,24,19600,
25,24,25,20500,
26,25,26,21400,
27,26,27,22300,
28,27,28,23200,
29,28,29,24100,
30,29,30,25000,
31,30,31,25900,
32,31,32,26800,
33,32,33,27700,
34,33,34,28600,
35,34,35,29500,
36,35,36,30400,
37,36,37,31300,
38,37,38,32200,
39,38,39,33100,
40,39,40,34000,
41,40,41,34900,
42,41,42,35800,
43,42,43,36700,
44,43,44,37600,
45,44,45,38500,
46,45,46,39400,
47,46,47,40300,
48,47,48,41200,
49,48,49,42100,
50,49,50,43000,
51,50,51,43900,
52,51,52,44800,
53,52,53,45700,
54,53,54,46600,
55,54,55,47500,
56,55,56,48400,
57,56,57,49300,
58,57,58,50200,
59,58,59,51100,
60,59,60,52000,
61,60,61,52900,
62,61,62,53800,
63,62,63,54700,
64,63,64,55600,
65,64,65,56500,
66,65,66,57400,
67,66,67,58300,
68,67,68,59200,
69,68,69,60100,
70,69,70,61000,
71,70,71,61900,
72,71,72,62800,
73,72,73,63700,
74,73,74,64600,
75,74,75,65500,
76,75,76,66400,
77,76,77,67300,
78,77,78,68200,
79,78,79,69100,
80,79,80,70000,
81,80,81,70900,
82,81,82,71800,
83,82,83,72700,
84,83,84,73600,
85,84,85,74500,
86,85,86,75400,
87,86,87,76300,
88,87,88,77200,
89,88,89,78100,
90,89,90,79000,
91,90,91,79900,
92,91,92,80800,
93,92,93,81700,
94,93,94,82600,
95,94,95,83500,
96,95,96,84400,
97,96,97,85300,
98,97,98,86200,
99,98,99,87100,
100,99,100,88000,
101,100,101,88900,
102,101,102,89800,
103,102,103,90700,
104,103,104,91600,
105,104,105,92500,
106,105,106,93400,
107,106,107,94300,
108,107,108,95200,
109,108,109,96100,
110,109,110,97000,
111,110,111,97900,
112,111,112,98800,
113,112,113,99700,
114,113,114,100600,
115,114,115,101500,
116,115,116,102400,
117,116,117,103300,
118,117,118,104200,
119,118,119,105100,
120,119,120,106000,
121,120,121,106900,
122,121,122,107800,
123,122,123,108700,
124,123,124,109600,
125,124,125,110500,
126,125,126,111400,
127,126,127,112300,
128,127,128,113200,
129,128,129,114100,
130,129,130,115000,
131,130,131,115900,
132,131,132,116800,
133,132,133,117700,
134,133,134,118600,
135,134,135,119500,
136,135,136,120400,
137,136,137,121300,
138,137,138,122200,
139,138,139,123100,
140,139,140,124000,
141,140,141,124900,
142,141,142,125800,
143,142,143,126700,
144,143,144,127600,
145,144,145,128500,
146,145,146,129400,
147,146,147,130300,
148,147,148,131200,
149,148,149,132100,
150,149,150,133000,
151,150,151,133900,
152,151,152,134800,
153,152,153,135700,
154,153,154,136600,
155,154,155,137500,
156,155,156,138400,
157,156,157,139300,
158,157,158,140200,
159,158,159,141100,
160,159,160,142000,
161,160,161,142900,
162,161,162,143800,
163,162,163,144700,
164,163,164,145600,
165,164,165,146500,
166,165,166,147400,
167,166,167,148300,
168,167,168,149200,
169,168,169,150100,
170,169,170,151000,
171,170,171,151900,
172,171,172,152800,
173,172,173,153700,
174,173,174,154600,
175,174,175,155500,
176,175,176,156400,
177,176,177,157300,
178,177,178,158200,
179,178,179,159100,
180,179,180,160000,
181,180,181,160900,
182,181,182,161800,
183,182,183,162700,
184,183,184,163600,
185,184,185,164500,
186,185,186,165400,
187,186,187,166300,
188,187,188,167200,
189,188,189,168100,
190,189,190,169000,
191,190,191,169900,
192,191,192,170800,
193,192,193,171700,
194,193,194,172600,
195,194,195,173500,
196,195,196,174400,
197,196,197,175300,
198,197,198,176200,
199,198,199,177100,
200,199,200,178000,
201,200,201,178900,
202,201,202,179800,
203,202,203,180700,
204,203,204,181600,
205,204,205,182500,
206,205,206,183400,
207,206,207,184300,
208,207,208,185200,
209,208,209,186100,
210,209,210,187000,
211,210,211,187900,
212,211,212,188800,
213,212,213,189700,
214,213,214,190600,
215,214,215,191500,
216,215,216,192400,
217,216,217,193300,
218,217,218,194200,
219,218,219,195100,
220,219,220,196000,
221,220,221,196900,
222,221,222,197800,
223,222,223,198700,
224,223,224,199600,
225,224,225,200500,
226,225,226,201400,
227,226,227,202300,
228,227,228,203200,
229,228,229,204100,
230,229,230,205000,
231,230,231,205900,
232,231,232,206800,
233,232,233,207700,
234,233,234,208600,
235,234,235,209500,
236,235,236,210400,
237,236,237,211300,
238,237,238,212200,
239,238,239,213100,
240,239,240,214000,
241,240,241,214900,
242,241,242,215800,
243,242,243,216700,
244,243,244,217600,
245,244,245,218500,
246,245,246,219400,
247,246,247,220300,
248,247,248,221200,
249,248,249,222100,
250,249,250,223000,
251,250,251,223900,
252,251,252,224800,
253,252,253,225700,
254,253,254,226600,
255,254,255,227500,
256,255,256,228400,
257,256,257,229300,
258,257,258,230200,
259,258,259,231100,
260,259,260,232000,
261,260,261,232900,
262,261,262,233800,
263,262,263,234700,
264,263,264,235600,
265,264,265,236500,
266,265,266,237400,
267,266,267,238300,
268,267,268,239200,
269,268,269,240100,
270,269,270,241000,
271,270,271,241900,
272,271,272,242800,
273,272,273,243700,
274,273,274,244600,
275,274,275,245500,
276,275,276,246400,
277,276,277,247300,
278,277,278,248200,
279,278,279,249100,
280,279,280,250000,
281,280,281,250900,
282,281,282,251800,
283,282,283,252700,
284,283,284,253600,
285,284,285,254500,
286,285,286,255400,
287,286,287,256300,
288,287,288,257200,
289,288,289,258100,
290,289,290,259000,
291,290,291,259900,
292,291,292,260800,
293,292,293,261700,
294,293,294,262600,
295,294,295,263500,
296,295,296,264400,
297,296,297,265300,
298,297,298,266200,
299,298,299,267100,
300,299,300,268000,
301,300,301,268900,
302,301,302,269800,
303,302,303,270700,
304,303,304,271600,
305,304,305,272500,
306,305,306,273400,
307,306,307,274300,
308,307,308,275200,
309,308,309,276100,
310,309,310,277000,
311,310,311,277900,
312,311,312,278800,
313,312,313,279700,
314,313,314,280600,
315,314,315,281500,
316,315,316,282400,
317,316,317,283300,
318,317,318,284200,
319,318,319,285100,
320,319,320,286000,
321,320,321,286900,
322,321,322,287800,
323,322,323,288700,
324,323,324,289600,
325,324,325,290500,
326,325,326,291400,
327,326,327,292300,
328,327,328,293200,
329,328,329,294100,
330,329,330,295000,
331,330,331,295900,
332,331,332,296800,
333,332,333,297700,
334,333,334,298600,
335,334,335,299500,
336,335,336,300400,
337,336,337,301300,
338,337,338,302200,
339,338,339,303100,
340,339,340,304000,
341,340,341,304900,
342,341,342,305800,
343,342,343,306700,
344,343,344,307600,
345,344,345,308500,
346,345,346,309400,
347,346,347,310300,
348,347,348,311200,
349,348,349,312100,
350,349,350,313000,
351,350,351,313900,
352,351,352,314800,
353,352,353,315700,
354,353,354,316600,
355,354,355,317500,
356,355,356,318400,
357,356,357,319300,
