level,nextLv,exp,upgradeExp,proAtk,proHp,itemType1,itemId1,itemNum1,itemType2,itemId2,itemNum2,levelUpAtk,levelUpHp,
1,2,20,10,5,50,1,8,40000,2,s==24|1039|1040|1038|1041|1042,2,0,0,
2,3,20,10,10,100,1,8,70000,2,s==24|1039|1040|1038|1041|1042,4,74,978,
3,4,20,10,15,150,1,8,100000,2,s==24|1039|1040|1038|1041|1042,6,148,1956,
4,5,20,10,20,200,1,8,130000,2,s==24|1039|1040|1038|1041|1042,8,222,2934,
5,6,20,10,25,250,1,8,160000,2,s==24|1039|1040|1038|1041|1042,10,296,3912,
6,7,20,10,30,300,1,8,190000,2,s==24|1039|1040|1038|1041|1042,12,370,4890,
7,8,20,10,35,350,1,8,220000,2,s==24|1039|1040|1038|1041|1042,14,444,5868,
8,9,20,10,40,400,1,8,250000,2,s==24|1039|1040|1038|1041|1042,16,518,6846,
9,10,20,10,45,450,1,8,280000,2,s==24|1039|1040|1038|1041|1042,18,592,7824,
10,11,20,10,50,500,1,8,310000,2,s==24|1039|1040|1038|1041|1042,20,666,8802,
11,12,30,10,60,610,1,8,330000,2,s==24|1039|1040|1038|1041|1042,22,740,9780,
12,13,30,10,70,720,1,8,360000,2,s==24|1039|1040|1038|1041|1042,24,851,11247,
13,14,30,10,80,830,1,8,390000,2,s==24|1039|1040|1038|1041|1042,26,962,12714,
14,15,30,10,90,940,1,8,420000,2,s==24|1039|1040|1038|1041|1042,28,1073,14181,
15,16,30,10,100,1050,1,8,450000,2,s==24|1039|1040|1038|1041|1042,30,1184,15648,
16,17,30,10,110,1160,1,8,480000,2,s==24|1039|1040|1038|1041|1042,32,1295,17115,
17,18,30,10,120,1270,1,8,510000,2,s==24|1039|1040|1038|1041|1042,34,1406,18582,
18,19,30,10,130,1380,1,8,540000,2,s==24|1039|1040|1038|1041|1042,36,1517,20049,
19,20,30,10,140,1490,1,8,570000,2,s==24|1039|1040|1038|1041|1042,38,1628,21516,
20,21,30,10,150,1600,1,8,600000,2,s==24|1039|1040|1038|1041|1042,40,1739,22983,
21,22,40,10,168,1780,1,8,630000,2,s==24|1039|1040|1038|1041|1042,42,1850,24450,
22,23,40,10,186,1960,1,8,660000,2,s==24|1039|1040|1038|1041|1042,44,1998,26406,
23,24,40,10,204,2140,1,8,690000,2,s==24|1039|1040|1038|1041|1042,46,2146,28362,
24,25,40,10,222,2320,1,8,720000,2,s==24|1039|1040|1038|1041|1042,48,2294,30318,
25,26,40,10,240,2500,1,8,750000,2,s==24|1039|1040|1038|1041|1042,50,2442,32274,
26,27,40,10,258,2680,1,8,770000,2,s==24|1039|1040|1038|1041|1042,52,2590,34230,
27,28,40,10,276,2860,1,8,800000,2,s==24|1039|1040|1038|1041|1042,54,2738,36186,
28,29,40,10,294,3040,1,8,830000,2,s==24|1039|1040|1038|1041|1042,56,2886,38142,
29,30,40,10,312,3220,1,8,860000,2,s==24|1039|1040|1038|1041|1042,58,3034,40098,
30,31,40,10,330,3400,1,8,890000,2,s==24|1039|1040|1038|1041|1042,60,3182,42054,
31,32,50,10,354,3660,1,8,920000,2,s==24|1039|1040|1038|1041|1042,62,3330,44010,
32,33,50,10,378,3920,1,8,950000,2,s==24|1039|1040|1038|1041|1042,64,3515,46455,
33,34,50,10,402,4180,1,8,980000,2,s==24|1039|1040|1038|1041|1042,66,3700,48900,
34,35,50,10,426,4440,1,8,1010000,2,s==24|1039|1040|1038|1041|1042,68,3885,51345,
35,36,50,10,450,4700,1,8,1040000,2,s==24|1039|1040|1038|1041|1042,70,4070,53790,
36,37,50,10,474,4960,1,8,1070000,2,s==24|1039|1040|1038|1041|1042,72,4255,56235,
37,38,50,10,498,5220,1,8,1100000,2,s==24|1039|1040|1038|1041|1042,74,4440,58680,
38,39,50,10,522,5480,1,8,1130000,2,s==24|1039|1040|1038|1041|1042,76,4625,61125,
39,40,50,10,546,5740,1,8,1160000,2,s==24|1039|1040|1038|1041|1042,78,4810,63570,
40,41,50,10,570,6000,1,8,1190000,2,s==24|1039|1040|1038|1041|1042,80,4995,66015,
41,42,60,10,605,6350,1,8,1220000,2,s==24|1039|1040|1038|1041|1042,82,5180,68460,
42,43,60,10,640,6700,1,8,1240000,2,s==24|1039|1040|1038|1041|1042,84,5402,71394,
43,44,60,10,675,7050,1,8,1270000,2,s==24|1039|1040|1038|1041|1042,86,5624,74328,
44,45,60,10,710,7400,1,8,1300000,2,s==24|1039|1040|1038|1041|1042,88,5846,77262,
45,46,60,10,745,7750,1,8,1330000,2,s==24|1039|1040|1038|1041|1042,90,6068,80196,
46,47,60,10,780,8100,1,8,1360000,2,s==24|1039|1040|1038|1041|1042,92,6290,83130,
47,48,60,10,815,8450,1,8,1390000,2,s==24|1039|1040|1038|1041|1042,94,6512,86064,
48,49,60,10,850,8800,1,8,1420000,2,s==24|1039|1040|1038|1041|1042,96,6734,88998,
49,50,60,10,885,9150,1,8,1450000,2,s==24|1039|1040|1038|1041|1042,98,6956,91932,
50,51,60,10,920,9500,1,8,1480000,2,s==24|1039|1040|1038|1041|1042,100,7178,94866,
51,52,70,10,962,9950,1,8,1510000,2,s==24|1039|1040|1038|1041|1042,102,7400,97800,
52,53,70,10,1004,10400,1,8,1540000,2,s==24|1039|1040|1038|1041|1042,104,7659,101223,
53,54,70,10,1046,10850,1,8,1570000,2,s==24|1039|1040|1038|1041|1042,106,7918,104646,
54,55,70,10,1088,11300,1,8,1600000,2,s==24|1039|1040|1038|1041|1042,108,8177,108069,
55,56,70,10,1130,11750,1,8,1630000,2,s==24|1039|1040|1038|1041|1042,110,8436,111492,
56,57,70,10,1172,12200,1,8,1660000,2,s==24|1039|1040|1038|1041|1042,112,8695,114915,
57,58,70,10,1214,12650,1,8,1690000,2,s==24|1039|1040|1038|1041|1042,114,8954,118338,
58,59,70,10,1256,13100,1,8,1720000,2,s==24|1039|1040|1038|1041|1042,116,9213,121761,
59,60,70,10,1298,13550,1,8,1740000,2,s==24|1039|1040|1038|1041|1042,118,9472,125184,
60,61,70,10,1340,14000,1,8,1770000,2,s==24|1039|1040|1038|1041|1042,120,9731,128607,
61,62,80,10,1396,14560,1,8,1800000,2,s==24|1039|1040|1038|1041|1042,122,9990,132030,
62,63,80,10,1452,15120,1,8,1830000,2,s==24|1039|1040|1038|1041|1042,124,10286,135942,
63,64,80,10,1508,15680,1,8,1860000,2,s==24|1039|1040|1038|1041|1042,126,10582,139854,
64,65,80,10,1564,16240,1,8,1890000,2,s==24|1039|1040|1038|1041|1042,128,10878,143766,
65,66,80,10,1620,16800,1,8,1920000,2,s==24|1039|1040|1038|1041|1042,130,11174,147678,
66,67,80,10,1676,17360,1,8,1950000,2,s==24|1039|1040|1038|1041|1042,132,11470,151590,
67,68,80,10,1732,17920,1,8,1980000,2,s==24|1039|1040|1038|1041|1042,134,11766,155502,
68,69,80,10,1788,18480,1,8,2010000,2,s==24|1039|1040|1038|1041|1042,136,12062,159414,
69,70,80,10,1844,19040,1,8,2040000,2,s==24|1039|1040|1038|1041|1042,138,12358,163326,
70,71,80,10,1900,19600,1,8,2070000,2,s==24|1039|1040|1038|1041|1042,140,12654,167238,
71,72,90,10,1964,20280,1,8,2100000,2,s==24|1039|1040|1038|1041|1042,142,12950,171150,
72,73,90,10,2028,20960,1,8,2130000,2,s==24|1039|1040|1038|1041|1042,144,13283,175551,
73,74,90,10,2092,21640,1,8,2160000,2,s==24|1039|1040|1038|1041|1042,146,13616,179952,
74,75,90,10,2156,22320,1,8,2190000,2,s==24|1039|1040|1038|1041|1042,148,13949,184353,
75,76,90,10,2220,23000,1,8,2220000,2,s==24|1039|1040|1038|1041|1042,150,14282,188754,
76,77,90,10,2284,23680,1,8,2240000,2,s==24|1039|1040|1038|1041|1042,152,14615,193155,
77,78,90,10,2348,24360,1,8,2270000,2,s==24|1039|1040|1038|1041|1042,154,14948,197556,
78,79,90,10,2412,25040,1,8,2300000,2,s==24|1039|1040|1038|1041|1042,156,15281,201957,
79,80,90,10,2476,25720,1,8,2330000,2,s==24|1039|1040|1038|1041|1042,158,15614,206358,
80,81,90,10,2540,26400,1,8,2360000,2,s==24|1039|1040|1038|1041|1042,160,15947,210759,
81,82,100,10,2621,27210,1,8,2390000,2,s==24|1039|1040|1038|1041|1042,162,16280,215160,
82,83,100,10,2702,28020,1,8,2420000,2,s==24|1039|1040|1038|1041|1042,164,16650,220050,
83,84,100,10,2783,28830,1,8,2450000,2,s==24|1039|1040|1038|1041|1042,166,17020,224940,
84,85,100,10,2864,29640,1,8,2480000,2,s==24|1039|1040|1038|1041|1042,168,17390,229830,
85,86,100,10,2945,30450,1,8,2510000,2,s==24|1039|1040|1038|1041|1042,170,17760,234720,
86,87,100,10,3026,31260,1,8,2540000,2,s==24|1039|1040|1038|1041|1042,172,18130,239610,
87,88,100,10,3107,32070,1,8,2570000,2,s==24|1039|1040|1038|1041|1042,174,18500,244500,
88,89,100,10,3188,32880,1,8,2600000,2,s==24|1039|1040|1038|1041|1042,176,18870,249390,
89,90,100,10,3269,33690,1,8,2630000,2,s==24|1039|1040|1038|1041|1042,178,19240,254280,
90,91,100,10,3350,34500,1,8,2660000,2,s==24|1039|1040|1038|1041|1042,180,19610,259170,
91,92,110,10,3440,35450,1,8,2690000,2,s==24|1039|1040|1038|1041|1042,182,19980,264060,
92,93,110,10,3530,36400,1,8,2710000,2,s==24|1039|1040|1038|1041|1042,184,20387,269439,
93,94,110,10,3620,37350,1,8,2740000,2,s==24|1039|1040|1038|1041|1042,186,20794,274818,
94,95,110,10,3710,38300,1,8,2770000,2,s==24|1039|1040|1038|1041|1042,188,21201,280197,
95,96,110,10,3800,39250,1,8,2800000,2,s==24|1039|1040|1038|1041|1042,190,21608,285576,
96,97,110,10,3890,40200,1,8,2830000,2,s==24|1039|1040|1038|1041|1042,192,22015,290955,
97,98,110,10,3980,41150,1,8,2860000,2,s==24|1039|1040|1038|1041|1042,194,22422,296334,
98,99,110,10,4070,42100,1,8,2890000,2,s==24|1039|1040|1038|1041|1042,196,22829,301713,
99,100,110,10,4160,43050,1,8,2920000,2,s==24|1039|1040|1038|1041|1042,198,23236,307092,
100,101,110,10,4250,44000,1,8,2950000,2,s==24|1039|1040|1038|1041|1042,200,23643,312471,
101,102,120,10,4360,45100,1,8,2980000,2,s==24|1039|1040|1038|1041|1042,202,24087,315599,
102,103,120,10,4470,46200,1,8,3010000,2,s==24|1039|1040|1038|1041|1042,204,24531,318727,
103,104,120,10,4580,47300,1,8,3040000,2,s==24|1039|1040|1038|1041|1042,206,24975,321855,
104,105,120,10,4690,48400,1,8,3070000,2,s==24|1039|1040|1038|1041|1042,208,25419,324983,
105,106,120,10,4800,49500,1,8,3100000,2,s==24|1039|1040|1038|1041|1042,210,25863,328111,
106,107,120,10,4910,50600,1,8,3130000,2,s==24|1039|1040|1038|1041|1042,212,26307,331239,
107,108,120,10,5020,51700,1,8,3160000,2,s==24|1039|1040|1038|1041|1042,214,26751,334367,
108,109,120,10,5130,52800,1,8,3190000,2,s==24|1039|1040|1038|1041|1042,216,27195,337495,
109,110,120,10,5240,53900,1,8,3220000,2,s==24|1039|1040|1038|1041|1042,218,27639,340623,
110,111,120,10,5350,55000,1,8,3250000,2,s==24|1039|1040|1038|1041|1042,220,28083,343751,
111,112,130,10,5470,56260,1,8,3280000,2,s==24|1039|1040|1038|1041|1042,222,28564,346980,
112,113,130,10,5590,57520,1,8,3310000,2,s==24|1039|1040|1038|1041|1042,224,29045,350209,
113,114,130,10,5710,58780,1,8,3340000,2,s==24|1039|1040|1038|1041|1042,226,29526,353438,
114,115,130,10,5830,60040,1,8,3370000,2,s==24|1039|1040|1038|1041|1042,228,30007,356667,
115,116,130,10,5950,61300,1,8,3400000,2,s==24|1039|1040|1038|1041|1042,230,30488,359896,
116,117,130,10,6070,62560,1,8,3430000,2,s==24|1039|1040|1038|1041|1042,232,30969,363125,
117,118,130,10,6190,63820,1,8,3460000,2,s==24|1039|1040|1038|1041|1042,234,31450,366354,
118,119,130,10,6310,65080,1,8,3490000,2,s==24|1039|1040|1038|1041|1042,236,31931,369583,
119,120,130,10,6430,66340,1,8,3520000,2,s==24|1039|1040|1038|1041|1042,238,32412,372812,
120,121,130,10,6550,67600,1,8,3550000,2,s==24|1039|1040|1038|1041|1042,240,32893,376041,
121,122,140,10,6693,69030,1,8,3580000,2,s==24|1039|1040|1038|1041|1042,242,33411,379371,
122,123,140,10,6836,70460,1,8,3610000,2,s==24|1039|1040|1038|1041|1042,244,33929,382701,
123,124,140,10,6979,71890,1,8,3640000,2,s==24|1039|1040|1038|1041|1042,246,34447,386031,
124,125,140,10,7122,73320,1,8,3670000,2,s==24|1039|1040|1038|1041|1042,248,34965,389361,
125,126,140,10,7265,74750,1,8,3700000,2,s==24|1039|1040|1038|1041|1042,250,35483,392691,
126,127,140,10,7408,76180,1,8,3730000,2,s==24|1039|1040|1038|1041|1042,252,36001,396021,
127,128,140,10,7551,77610,1,8,3760000,2,s==24|1039|1040|1038|1041|1042,254,36519,399351,
128,129,140,10,7694,79040,1,8,3790000,2,s==24|1039|1040|1038|1041|1042,256,37037,402681,
129,130,140,10,7837,80470,1,8,3820000,2,s==24|1039|1040|1038|1041|1042,258,37555,406011,
130,131,140,10,7980,81900,1,8,3850000,2,s==24|1039|1040|1038|1041|1042,260,38073,409341,
131,132,150,10,8134,83510,1,8,3880000,2,s==24|1039|1040|1038|1041|1042,262,38628,412772,
132,133,150,10,8288,85120,1,8,3910000,2,s==24|1039|1040|1038|1041|1042,264,39183,416203,
133,134,150,10,8442,86730,1,8,3940000,2,s==24|1039|1040|1038|1041|1042,266,39738,419634,
134,135,150,10,8596,88340,1,8,3970000,2,s==24|1039|1040|1038|1041|1042,268,40293,423065,
135,136,150,10,8750,89950,1,8,4000000,2,s==24|1039|1040|1038|1041|1042,270,40848,426496,
136,137,150,10,8904,91560,1,8,4030000,2,s==24|1039|1040|1038|1041|1042,272,41403,429927,
137,138,150,10,9058,93170,1,8,4060000,2,s==24|1039|1040|1038|1041|1042,274,41958,433358,
138,139,150,10,9212,94780,1,8,4090000,2,s==24|1039|1040|1038|1041|1042,276,42513,436789,
139,140,150,10,9366,96390,1,8,4120000,2,s==24|1039|1040|1038|1041|1042,278,43068,440220,
140,141,150,10,9520,98000,1,8,4150000,2,s==24|1039|1040|1038|1041|1042,280,43623,443651,
141,142,160,10,9700,99800,1,8,4180000,2,s==24|1039|1040|1038|1041|1042,282,44215,447183,
142,143,160,10,9880,101600,1,8,4210000,2,s==24|1039|1040|1038|1041|1042,284,44807,450715,
143,144,160,10,10060,103400,1,8,4240000,2,s==24|1039|1040|1038|1041|1042,286,45399,454247,
144,145,160,10,10240,105200,1,8,4270000,2,s==24|1039|1040|1038|1041|1042,288,45991,457779,
145,146,160,10,10420,107000,1,8,4300000,2,s==24|1039|1040|1038|1041|1042,290,46583,461311,
146,147,160,10,10600,108800,1,8,4330000,2,s==24|1039|1040|1038|1041|1042,292,47175,464843,
147,148,160,10,10780,110600,1,8,4360000,2,s==24|1039|1040|1038|1041|1042,294,47767,468375,
148,149,160,10,10960,112400,1,8,4390000,2,s==24|1039|1040|1038|1041|1042,296,48359,471907,
149,150,160,10,11140,114200,1,8,4420000,2,s==24|1039|1040|1038|1041|1042,298,48951,475439,
150,,160,10,11320,116000,1,8,4450000,2,s==24|1039|1040|1038|1041|1042,300,49543,478971,
