id,group,name,resourceType,resourceId,min,max,weight,floors,floorType,
1,1562,s==4|黄金宝箱,1,17,800,800,3000,,,
2,1562,s==4|黄金宝箱,1,17,1000,1000,4000,,,
3,1562,s==4|黄金宝箱,1,17,1200,1200,3000,,,
4,1563,s==4|白银宝箱,1,17,555,555,3000,,,
5,1563,s==4|白银宝箱,1,17,600,600,4000,,,
6,1563,s==4|白银宝箱,1,17,666,666,3000,,,
7,1564,s==4|青铜宝箱,1,17,300,300,3000,,,
8,1564,s==4|青铜宝箱,1,17,400,400,4000,,,
9,1564,s==4|青铜宝箱,1,17,500,500,3000,,,
10,1524,s==4|招贤锦囊,2,1003,1,1,9999,,,
11,1524,s==4|招贤锦囊,2,1004,1,1,1,5,1,
12,1532,s==6|神兵培养礼包,2,1029,1,1,80,,,
13,1532,s==6|神兵培养礼包,2,1030,1,1,20,5,1,
14,1531,s==6|圣器培养礼包,2,1043,1,1,80,,,
15,1531,s==6|圣器培养礼包,2,1044,1,1,20,5,1,
16,1512,s==6|配饰培养礼包,2,1009,1,1,80,,,
17,1512,s==6|配饰培养礼包,2,1011,1,1,20,5,1,
18,1513,s==6|随机符石礼包,2,14201,1,1,150,,,
19,1513,s==6|随机符石礼包,2,14301,1,1,75,,,
20,1513,s==6|随机符石礼包,2,14401,1,1,25,,,
21,1513,s==6|随机符石礼包,2,14202,1,1,150,,,
22,1513,s==6|随机符石礼包,2,14302,1,1,75,,,
23,1513,s==6|随机符石礼包,2,14402,1,1,25,,,
24,1513,s==6|随机符石礼包,2,14203,1,1,150,,,
25,1513,s==6|随机符石礼包,2,14303,1,1,75,,,
26,1513,s==6|随机符石礼包,2,14403,1,1,25,,,
27,1513,s==6|随机符石礼包,2,14204,1,1,150,,,
28,1513,s==6|随机符石礼包,2,14304,1,1,75,,,
29,1513,s==6|随机符石礼包,2,14404,1,1,25,,,
34,1600,s==6|将星积分礼包,1,20,1,1,8000,,,
35,1600,s==7|将星积分礼包 ,1,20,2,2,900,,,
36,1600,s==6|将星积分礼包,1,20,3,3,100,,,
37,1600,s==6|将星积分礼包,2,3008,5,5,1000,,,
38,1490,s==6|夺宝达人锦囊,2,1007,3,3,7000,,,
39,1490,s==6|夺宝达人锦囊,2,1007,5,5,2000,,,
40,1490,s==6|夺宝达人锦囊,2,1014,1,1,1000,,,
41,1535,s==6|普通战旗宝箱,2,6001,1,1,5670,,,
42,1535,s==6|普通战旗宝箱,2,6002,1,1,3000,,,
43,1535,s==6|普通战旗宝箱,2,6003,1,1,1000,,,
44,1535,s==6|普通战旗宝箱,2,6004,1,1,300,,,
45,1535,s==6|普通战旗宝箱,2,6005,1,1,5,,,
46,1535,s==6|普通战旗宝箱,2,6006,1,1,5,,,
47,1535,s==6|普通战旗宝箱,2,6007,1,1,5,,,
48,1535,s==6|普通战旗宝箱,2,6008,1,1,5,,,
49,1535,s==6|普通战旗宝箱,2,6009,1,1,5,,,
50,1535,s==6|普通战旗宝箱,2,6010,1,1,5,,,
58,1452,s==4|征服礼包,2,3008,50,50,700,,,
59,1452,s==4|征服礼包,2,3008,20,20,1500,,,
60,1452,s==4|征服礼包,2,3008,10,10,2500,,,
61,1452,s==4|征服礼包,2,3008,5,5,2500,,,
62,1452,s==4|征服礼包,2,4030,1,1,300,,,
63,1452,s==4|征服礼包,2,4020,1,1,2500,,,
64,1538,s==6|崛起元宝锦囊,1,9,188,188,6000,,,
65,1538,s==6|崛起元宝锦囊,1,9,288,288,2000,,,
66,1538,s==6|崛起元宝锦囊,1,9,388,388,1000,,,
67,1538,s==6|崛起元宝锦囊,1,9,688,688,1000,,,
68,1457,s==8|随机1星橙装礼包,2,2511,1,1,100,,,
69,1457,s==8|随机1星橙装礼包,2,2512,1,1,100,,,
70,1457,s==8|随机1星橙装礼包,2,2513,1,1,100,,,
71,1457,s==8|随机1星橙装礼包,2,2514,1,1,100,,,
72,1458,s==8|随机2星橙装礼包,2,2521,1,1,100,,,
73,1458,s==8|随机2星橙装礼包,2,2522,1,1,100,,,
74,1458,s==8|随机2星橙装礼包,2,2523,1,1,100,,,
75,1458,s==8|随机2星橙装礼包,2,2524,1,1,100,,,
76,1459,s==8|随机3星橙装礼包,2,2531,1,1,100,,,
77,1459,s==8|随机3星橙装礼包,2,2532,1,1,100,,,
78,1459,s==8|随机3星橙装礼包,2,2533,1,1,100,,,
79,1459,s==8|随机3星橙装礼包,2,2534,1,1,100,,,
80,1460,s==8|随机1星红装礼包,2,2611,1,1,100,,,
81,1460,s==8|随机1星红装礼包,2,2612,1,1,100,,,
82,1460,s==8|随机1星红装礼包,2,2613,1,1,100,,,
83,1460,s==8|随机1星红装礼包,2,2614,1,1,100,,,
84,1461,s==8|随机2星红装礼包,2,2621,1,1,100,,,
85,1461,s==8|随机2星红装礼包,2,2622,1,1,100,,,
86,1461,s==8|随机2星红装礼包,2,2623,1,1,100,,,
87,1461,s==8|随机2星红装礼包,2,2624,1,1,100,,,
88,1462,s==8|随机3星红装礼包,2,2631,1,1,100,,,
89,1462,s==8|随机3星红装礼包,2,2632,1,1,100,,,
90,1462,s==8|随机3星红装礼包,2,2633,1,1,100,,,
91,1462,s==8|随机3星红装礼包,2,2634,1,1,100,,,
92,2000,s==4|副将礼包,2,915001,1,1,200,,,
93,2000,s==4|副将礼包,2,915002,1,1,200,,,
94,2000,s==4|副将礼包,2,914001,1,1,1125,,,
95,2000,s==4|副将礼包,2,914002,1,1,1125,,,
96,2000,s==4|副将礼包,2,913001,1,1,1125,,,
97,2000,s==4|副将礼包,2,913002,1,1,1125,,,
98,2000,s==4|副将礼包,2,925001,1,1,200,,,
99,2000,s==4|副将礼包,2,925002,1,1,200,,,
100,2000,s==4|副将礼包,2,924001,1,1,1125,,,
101,2000,s==4|副将礼包,2,924002,1,1,1125,,,
102,2000,s==4|副将礼包,2,923001,1,1,1125,,,
103,2000,s==4|副将礼包,2,923002,1,1,1125,,,
104,2000,s==4|副将礼包,2,935001,1,1,1125,,,
105,2000,s==4|副将礼包,2,935002,1,1,200,,,
