id,mainId,type,items-type-1,items-id-1,items-value-1,preposeNum,mustNum,surplusNum,showOdd1,weight,swapId,
1,1,1,2,23511,50,95,130,,333,100,23,
2,1,1,2,24516,50,1,40,,500,50,24,
3,1,1,2,24505,50,1,40,,500,50,23,
4,1,1,2,25514,50,1,40,,500,50,24,
5,1,1,2,25504,50,1,40,,500,50,23,
6,1,2,2,1177,1,230,390,8,37,250,24,
7,1,2,2,2128,1,85,125,8,100,667,23,
8,1,2,2,2088,1,75,125,8,100,400,24,
9,1,3,2,3014,10,,,,300,300,,
10,1,3,2,1030,4,,,,200,200,,
11,1,3,2,1081,4,,,,200,200,,
12,1,3,2,1044,2,,,,200,200,,
13,1,3,2,1082,3,,,,500,500,,
14,1,3,2,1043,5,,,,500,500,,
15,1,3,2,1029,3,,,,1000,1000,,
16,1,3,2,1003,1,,,,500,500,,
17,1,3,2,1027,10,,,,800,800,,
18,1,3,2,1077,20,,,,800,800,,
19,1,3,2,3008,10,,,,500,500,,
20,1,3,2,3002,15,,,,800,800,,
21,1,3,2,1006,150,,,,900,900,,
22,1,3,2,1001,150,,,,900,900,,
23,1,3,2,2200,1,,,,900,900,,
24,1,3,2,2201,1,,,,900,900,,
25,3,1,2,24518,50,95,130,,333,100,56,
26,3,1,2,25518,50,95,130,,333,100,57,
27,3,1,2,23511,50,95,130,,333,100,56,
28,3,1,2,22512,50,95,130,,333,100,57,
29,3,1,2,21515,50,95,130,,333,100,56,
30,3,1,2,24516,50,1,40,,500,50,57,
31,3,1,2,24505,50,1,40,,500,50,56,
32,3,1,2,25516,50,1,40,,500,50,57,
33,3,1,2,25504,50,1,40,,500,50,56,
34,3,1,2,22515,50,1,30,,500,50,57,
35,3,1,2,21516,50,1,30,,500,50,56,
36,3,2,2,2128,1,85,125,8,100,667,57,
37,3,2,2,2088,1,75,125,8,100,400,56,
38,3,2,2,1177,1,220,380,8,38,250,57,
39,3,2,2,1960,1,85,125,8,95,500,56,
40,3,3,2,3014,10,,,,300,300,,
41,3,3,2,1105,1,,,,200,200,,
42,3,3,2,1009,4,,,,200,200,,
43,3,3,2,1010,4,,,,100,100,,
44,3,3,2,1052,20,,,,1000,1000,,
45,3,3,2,1011,3,,,,500,500,,
46,3,3,2,1037,4,,,,100,100,,
47,3,3,2,1036,5,,,,530,530,,
48,3,3,2,1078,150,,,,1000,1000,,
49,3,3,2,1003,1,,,,500,500,,
50,3,3,2,1027,20,,,,800,800,,
51,3,3,2,1077,40,,,,660,660,,
52,3,3,2,3008,10,,,,500,500,,
53,3,3,2,3002,30,,,,800,800,,
54,3,3,2,1006,300,,,,800,800,,
55,3,3,2,1001,300,,,,800,800,,
56,3,3,2,2200,3,,,,600,600,,
57,3,3,2,2201,3,,,,600,600,,
58,4,1,2,24518,50,95,130,,333,100,91,
59,4,1,2,25518,50,95,130,,333,100,92,
60,4,1,2,23511,50,95,130,,333,100,91,
61,4,1,2,22512,50,95,130,,333,100,92,
62,4,1,2,21515,50,95,130,,333,100,91,
63,4,1,2,24516,50,1,40,,500,50,92,
64,4,1,2,24517,50,1,40,,500,50,91,
65,4,1,2,25517,50,1,40,,500,50,92,
66,4,1,2,25516,50,1,40,,500,50,91,
67,4,1,2,22515,50,1,30,,500,50,92,
68,4,1,2,21516,50,1,30,,500,50,91,
69,4,2,2,5179,1,160,300,8,50,250,92,
70,4,2,2,2128,1,85,125,8,100,667,91,
71,4,2,2,2088,1,75,125,8,100,400,92,
72,4,2,2,1177,1,220,380,8,38,250,91,
73,4,2,2,14701,3,40,80,8,143,333,92,
74,4,2,2,1960,1,85,125,8,95,500,91,
75,4,3,2,3014,10,,,,300,300,,
76,4,3,2,1050,4,,,,100,100,,
77,4,3,2,1105,1,,,,200,200,,
78,4,3,2,1018,4,,,,200,200,,
79,4,3,2,1049,3,,,,800,800,,
80,4,3,2,1078,300,,,,800,800,,
81,4,3,2,1037,4,,,,100,100,,
82,4,3,2,1036,5,,,,530,530,,
83,4,3,2,1052,12,,,,800,800,,
84,4,3,2,1003,1,,,,500,500,,
85,4,3,2,1027,20,,,,800,800,,
86,4,3,2,1077,40,,,,660,660,,
87,4,3,2,3008,10,,,,500,500,,
88,4,3,2,3002,30,,,,800,800,,
89,4,3,2,1006,300,,,,800,800,,
90,4,3,2,1001,300,,,,800,800,,
91,4,3,2,2200,3,,,,600,600,,
92,4,3,2,2201,3,,,,600,600,,
93,6,1,2,24518,50,95,130,,333,100,120,
94,6,1,2,25518,50,95,130,,333,100,121,
95,6,1,2,23511,50,95,130,,333,100,120,
96,6,1,2,22512,50,95,130,,333,100,121,
97,6,1,2,21515,50,95,130,,333,100,120,
98,6,1,2,24516,50,1,40,,500,50,121,
99,6,1,2,24517,50,1,40,,500,50,120,
100,6,1,2,25517,50,1,40,,500,50,121,
101,6,1,2,25516,50,1,40,,500,50,120,
102,6,1,2,22515,50,1,30,,500,50,121,
103,6,2,2,5179,1,160,300,8,50,250,120,
104,6,2,2,2128,1,85,125,8,100,667,121,
105,6,2,2,2088,1,75,125,8,100,400,120,
106,6,2,2,1177,1,220,380,8,38,250,121,
107,6,2,2,14701,3,40,80,8,143,333,120,
