id,activityId,randomid,reward-type-1,reward-id-1,reward-num-1,rewardLimit,rewardheight,sort,desc,
1,3007,1,2,25514,50,1,5,12,s==14|Ma·Hoa Đà Mảnh,
2,3007,,2,1105,1,1,10,11,s==19|Tướng Ấn Khóa Thạch,
3,3007,,2,1053,10,1,10,10,s==24|Võ Tướng Chuyển Sinh Đan,
4,3007,,2,1056,5,,25,9,s==16|Chú Hồn Tinh Hồn,
5,3007,,2,1030,1,,90,8,s==13|Hồn Thần Binh,
6,3007,,2,1044,1,,75,7,s==16|Linh Hồn Bảo Vật,
7,3007,,2,1043,2,,75,6,s==22|Thạch Tiến Cấp Bảo Vật,
8,3007,,2,1020,1,,150,5,s==17|Tinh Hoa Tướng Ấn,
9,3007,,2,1021,1,,125,4,s==25|Thạch Tinh Luyện Tướng Ấn,
10,3007,,2,1006,100,,60,3,s==14|Tướng Ấn Thạch,
11,3007,,2,1036,1,,250,2,s==14|Đả Khổng Thạch,
12,3007,,2,1029,1,,125,1,s==26|Thần Binh Tinh Luyện Thạch,
13,3014,1,2,24505,50,1,5,12,s==17|Thần·Quan Vũ Mảnh,
14,3014,,2,1105,1,1,10,11,s==19|Tướng Ấn Khóa Thạch,
15,3014,,2,1053,10,1,10,10,s==24|Võ Tướng Chuyển Sinh Đan,
16,3014,,2,1056,5,,25,9,s==16|Chú Hồn Tinh Hồn,
17,3014,,2,1030,1,,90,8,s==13|Hồn Thần Binh,
18,3014,,2,1044,1,,75,7,s==16|Linh Hồn Bảo Vật,
19,3014,,2,1043,2,,75,6,s==22|Thạch Tiến Cấp Bảo Vật,
20,3014,,2,1020,1,,150,5,s==17|Tinh Hoa Tướng Ấn,
21,3014,,2,1021,1,,125,4,s==25|Thạch Tinh Luyện Tướng Ấn,
22,3014,,2,1006,100,,60,3,s==14|Tướng Ấn Thạch,
23,3014,,2,1036,1,,250,2,s==14|Đả Khổng Thạch,
24,3014,,2,1029,1,,125,1,s==26|Thần Binh Tinh Luyện Thạch,
25,3018,1,2,23511,50,1,5,12,s==14|Tôn Quyền Mảnh,
26,3018,,2,1105,1,1,10,11,s==19|Tướng Ấn Khóa Thạch,
27,3018,,2,1053,10,1,10,10,s==24|Võ Tướng Chuyển Sinh Đan,
28,3018,,2,1056,5,,25,9,s==16|Chú Hồn Tinh Hồn,
29,3018,,2,1030,1,,90,8,s==13|Hồn Thần Binh,
30,3018,,2,1044,1,,75,7,s==16|Linh Hồn Bảo Vật,
31,3018,,2,1043,2,,75,6,s==22|Thạch Tiến Cấp Bảo Vật,
32,3018,,2,1020,1,,150,5,s==17|Tinh Hoa Tướng Ấn,
33,3018,,2,1021,1,,125,4,s==25|Thạch Tinh Luyện Tướng Ấn,
34,3018,,2,1006,100,,60,3,s==14|Tướng Ấn Thạch,
35,3018,,2,1036,1,,250,2,s==14|Đả Khổng Thạch,
36,3018,,2,1029,1,,125,1,s==26|Thần Binh Tinh Luyện Thạch,
