id,minRank,maxRank,floor,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,items-type-4,items-id-4,items-value-4,items-type-5,items-id-5,items-value-5,items-type-6,items-id-6,items-value-6,
1001,1,1,1,1,9,500,1,85,6500,2,6556,150,,,,,,,,,,
1002,2,2,1,1,9,450,1,85,6000,2,6556,150,,,,,,,,,,
1003,3,3,1,1,9,400,1,85,5500,2,6556,150,,,,,,,,,,
1004,4,10,1,1,9,350,1,85,5000,2,6556,150,,,,,,,,,,
1005,11,30,1,1,9,300,1,85,4500,2,6556,150,,,,,,,,,,
1006,31,60,1,1,9,250,1,85,4000,2,6556,150,,,,,,,,,,
1007,61,100,1,1,9,200,1,85,3500,2,6556,150,,,,,,,,,,
2001,1,1,2,1,9,600,1,85,7000,2,6556,150,,,,,,,,,,
2002,2,2,2,1,9,550,1,85,6500,2,6556,150,,,,,,,,,,
2003,3,3,2,1,9,500,1,85,6000,2,6556,150,,,,,,,,,,
2004,4,10,2,1,9,450,1,85,5500,2,6556,150,,,,,,,,,,
2005,11,30,2,1,9,400,1,85,5000,2,6556,150,,,,,,,,,,
2006,31,60,2,1,9,350,1,85,4500,2,6556,150,,,,,,,,,,
2007,61,100,2,1,9,300,1,85,4000,2,6556,150,,,,,,,,,,
3001,1,1,3,1,9,700,1,85,8500,2,6556,150,2,19663,1,,,,,,,
3002,2,2,3,1,9,650,1,85,8000,2,6556,150,2,19664,1,,,,,,,
3003,3,3,3,1,9,600,1,85,7500,2,6556,150,2,19665,1,,,,,,,
3004,4,10,3,1,9,550,1,85,7000,2,6556,150,2,19666,1,,,,,,,
3005,11,30,3,1,9,500,1,85,6500,2,6556,150,,,,,,,,,,
3006,31,60,3,1,9,450,1,85,6000,2,6556,150,,,,,,,,,,
3007,61,100,3,1,9,400,1,85,5500,2,6556,150,,,,,,,,,,
4001,1,1,4,1,9,800,1,85,10000,2,6556,150,2,19658,1,,,,,,,
4002,2,2,4,1,9,750,1,85,9500,2,6556,150,2,19659,1,,,,,,,
4003,3,3,4,1,9,700,1,85,9000,2,6556,150,2,19660,1,,,,,,,
4004,4,10,4,1,9,650,1,85,8500,2,6556,150,2,19661,1,,,,,,,
4005,11,30,4,1,9,600,1,85,8000,2,6556,150,,,,,,,,,,
4006,31,50,4,1,9,550,1,85,7500,2,6556,150,,,,,,,,,,
4007,51,100,4,1,9,500,1,85,7000,2,6556,150,,,,,,,,,,
5001,1,1,5,1,9,1000,1,85,11000,2,6556,150,2,19653,1,,,,,,,
5002,2,2,5,1,9,950,1,85,10500,2,6556,150,2,19654,1,,,,,,,
5003,3,3,5,1,9,900,1,85,10000,2,6556,150,2,19655,1,,,,,,,
5004,4,10,5,1,9,850,1,85,9500,2,6556,150,2,19656,1,,,,,,,
5005,11,30,5,1,9,800,1,85,9000,2,6556,150,,,,,,,,,,
5006,31,50,5,1,9,750,1,85,8500,2,6556,150,,,,,,,,,,
5007,51,100,5,1,9,700,1,85,8000,2,6556,150,,,,,,,,,,
6001,1,1,6,1,9,1200,1,85,13000,2,6556,150,2,19648,1,,,,,,,
6002,2,2,6,1,9,1150,1,85,12500,2,6556,150,2,19649,1,,,,,,,
6003,3,3,6,1,9,1100,1,85,12000,2,6556,150,2,19650,1,,,,,,,
6004,4,10,6,1,9,1050,1,85,11500,2,6556,150,2,19651,1,,,,,,,
6005,11,30,6,1,9,1000,1,85,11000,2,6556,150,,,,,,,,,,
6006,31,50,6,1,9,950,1,85,10500,2,6556,150,,,,,,,,,,
6007,51,9999,6,1,9,900,1,85,10000,2,6556,150,,,,,,,,,,
