id,season,minRank,maxRank,item-type-1,item-id-1,item-value-1,
1,1,1,1,2,6798,1,
2,1,2,4,2,6797,1,
3,1,5,16,2,6796,1,
4,1,17,64,2,6795,1,
5,1,65,128,2,6794,1,
6,2,1,1,2,6803,1,
7,2,2,4,2,6802,1,
8,2,5,16,2,6801,1,
9,2,17,64,2,6800,1,
10,2,65,128,2,6799,1,
11,3,1,1,2,6808,1,
12,3,2,4,2,6807,1,
13,3,5,16,2,6806,1,
14,3,17,64,2,6805,1,
15,3,65,128,2,6804,1,
16,4,1,1,2,6813,1,
17,4,2,4,2,6812,1,
18,4,5,16,2,6811,1,
19,4,17,64,2,6810,1,
20,4,65,128,2,6809,1,
21,5,1,1,2,6818,1,
22,5,2,4,2,6817,1,
23,5,5,16,2,6816,1,
24,5,17,64,2,6815,1,
25,5,65,128,2,6814,1,
26,6,1,1,2,6823,1,
27,6,2,4,2,6822,1,
28,6,5,16,2,6821,1,
29,6,17,64,2,6820,1,
30,6,65,128,2,6819,1,
31,7,1,1,2,6828,1,
32,7,2,4,2,6827,1,
33,7,5,16,2,6826,1,
34,7,17,64,2,6825,1,
35,7,65,128,2,6824,1,
36,8,1,1,2,6833,1,
37,8,2,4,2,6832,1,
38,8,5,16,2,6831,1,
39,8,17,64,2,6830,1,
40,8,65,128,2,6829,1,
41,9,1,1,2,6838,1,
42,9,2,4,2,6837,1,
43,9,5,16,2,6836,1,
44,9,17,64,2,6835,1,
45,9,65,128,2,6834,1,
46,10,1,1,2,6843,1,
47,10,2,4,2,6842,1,
48,10,5,16,2,6841,1,
49,10,17,64,2,6840,1,
50,10,65,128,2,6839,1,
51,11,1,1,2,6848,1,
52,11,2,4,2,6847,1,
53,11,5,16,2,6846,1,
54,11,17,64,2,6845,1,
55,11,65,128,2,6844,1,
56,12,1,1,2,6853,1,
57,12,2,4,2,6852,1,
58,12,5,16,2,6851,1,
59,12,17,64,2,6850,1,
60,12,65,128,2,6849,1,
61,13,1,1,2,8843,1,
62,13,2,4,2,8842,1,
63,13,5,16,2,8841,1,
64,13,17,64,2,8840,1,
65,13,65,128,2,8839,1,
66,14,1,1,2,8848,1,
67,14,2,4,2,8847,1,
68,14,5,16,2,8846,1,
69,14,17,64,2,8845,1,
70,14,65,128,2,8844,1,
71,15,1,1,2,8853,1,
72,15,2,4,2,8852,1,
73,15,5,16,2,8851,1,
74,15,17,64,2,8850,1,
75,15,65,128,2,8849,1,
76,16,1,1,2,8862,1,
77,16,2,4,2,8861,1,
78,16,5,16,2,8860,1,
79,16,17,64,2,8859,1,
80,16,65,128,2,8858,1,
81,17,1,1,2,8871,1,
82,17,2,4,2,8870,1,
83,17,5,16,2,8869,1,
84,17,17,64,2,8868,1,
85,17,65,128,2,8867,1,
86,18,1,1,2,8905,1,
87,18,2,4,2,8904,1,
88,18,5,16,2,8903,1,
89,18,17,64,2,8902,1,
90,18,65,128,2,8901,1,
91,19,1,1,2,8910,1,
92,19,2,4,2,8909,1,
93,19,5,16,2,8908,1,
94,19,17,64,2,8907,1,
95,19,65,128,2,8906,1,
96,20,1,1,2,8915,1,
97,20,2,4,2,8914,1,
98,20,5,16,2,8913,1,
99,20,17,64,2,8912,1,
100,20,65,128,2,8911,1,
101,21,1,1,2,8920,1,
102,21,2,4,2,8919,1,
103,21,5,16,2,8918,1,
104,21,17,64,2,8917,1,
105,21,65,128,2,8916,1,
106,22,1,1,2,8925,1,
107,22,2,4,2,8924,1,
108,22,5,16,2,8923,1,
109,22,17,64,2,8922,1,
110,22,65,128,2,8921,1,
111,23,1,1,2,8936,1,
112,23,2,4,2,8935,1,
113,23,5,16,2,8934,1,
114,23,17,64,2,8933,1,
115,23,65,128,2,8932,1,
116,24,1,1,2,8941,1,
117,24,2,4,2,8940,1,
118,24,5,16,2,8939,1,
119,24,17,64,2,8938,1,
120,24,65,128,2,8937,1,
121,25,1,1,2,8946,1,
122,25,2,4,2,8945,1,
123,25,5,16,2,8944,1,
124,25,17,64,2,8943,1,
125,25,65,128,2,8942,1,
126,26,1,1,2,8951,1,
127,26,2,4,2,8950,1,
128,26,5,16,2,8949,1,
129,26,17,64,2,8948,1,
130,26,65,128,2,8947,1,
131,27,1,1,2,8956,1,
132,27,2,4,2,8955,1,
133,27,5,16,2,8954,1,
134,27,17,64,2,8953,1,
135,27,65,128,2,8952,1,
136,28,1,1,2,8961,1,
137,28,2,4,2,8960,1,
138,28,5,16,2,8959,1,
139,28,17,64,2,8958,1,
140,28,65,128,2,8957,1,
141,29,1,1,2,8966,1,
142,29,2,4,2,8965,1,
143,29,5,16,2,8964,1,
144,29,17,64,2,8963,1,
145,29,65,128,2,8962,1,
146,30,1,1,2,8971,1,
147,30,2,4,2,8970,1,
148,30,5,16,2,8969,1,
149,30,17,64,2,8968,1,
150,30,65,128,2,8967,1,
151,31,1,1,2,8976,1,
152,31,2,4,2,8975,1,
153,31,5,16,2,8974,1,
154,31,17,64,2,8973,1,
155,31,65,128,2,8972,1,
156,32,1,1,2,8981,1,
157,32,2,4,2,8980,1,
158,32,5,16,2,8979,1,
159,32,17,64,2,8978,1,
160,32,65,128,2,8977,1,
161,33,1,1,2,8986,1,
162,33,2,4,2,8985,1,
163,33,5,16,2,8984,1,
164,33,17,64,2,8983,1,
165,33,65,128,2,8982,1,
166,34,1,1,2,8991,1,
167,34,2,4,2,8990,1,
168,34,5,16,2,8989,1,
169,34,17,64,2,8988,1,
170,34,65,128,2,8987,1,
171,35,1,1,2,8996,1,
172,35,2,4,2,8995,1,
173,35,5,16,2,8994,1,
174,35,17,64,2,8993,1,
175,35,65,128,2,8992,1,
176,36,1,1,2,9001,1,
177,36,2,4,2,9000,1,
178,36,5,16,2,8999,1,
179,36,17,64,2,8998,1,
180,36,65,128,2,8997,1,
181,37,1,1,2,9006,1,
182,37,2,4,2,9005,1,
183,37,5,16,2,9004,1,
184,37,17,64,2,9003,1,
185,37,65,128,2,9002,1,
186,38,1,1,2,9011,1,
187,38,2,4,2,9010,1,
188,38,5,16,2,9009,1,
189,38,17,64,2,9008,1,
190,38,65,128,2,9007,1,
191,39,1,1,2,9016,1,
192,39,2,4,2,9015,1,
193,39,5,16,2,9014,1,
194,39,17,64,2,9013,1,
195,39,65,128,2,9012,1,
196,40,1,1,2,9021,1,
197,40,2,4,2,9020,1,
198,40,5,16,2,9019,1,
199,40,17,64,2,9018,1,
200,40,65,128,2,9017,1,
201,41,1,1,2,9026,1,
202,41,2,4,2,9025,1,
203,41,5,16,2,9024,1,
204,41,17,64,2,9023,1,
205,41,65,128,2,9022,1,
206,42,1,1,2,9031,1,
207,42,2,4,2,9030,1,
208,42,5,16,2,9029,1,
209,42,17,64,2,9028,1,
210,42,65,128,2,9027,1,
211,43,1,1,2,9036,1,
212,43,2,4,2,9035,1,
213,43,5,16,2,9034,1,
214,43,17,64,2,9033,1,
215,43,65,128,2,9032,1,
216,44,1,1,2,9041,1,
217,44,2,4,2,9040,1,
218,44,5,16,2,9039,1,
219,44,17,64,2,9038,1,
220,44,65,128,2,9037,1,
221,45,1,1,2,9046,1,
222,45,2,4,2,9045,1,
223,45,5,16,2,9044,1,
224,45,17,64,2,9043,1,
225,45,65,128,2,9042,1,
226,46,1,1,2,9051,1,
227,46,2,4,2,9050,1,
228,46,5,16,2,9049,1,
229,46,17,64,2,9048,1,
230,46,65,128,2,9047,1,
231,47,1,1,2,9056,1,
232,47,2,4,2,9055,1,
233,47,5,16,2,9054,1,
234,47,17,64,2,9053,1,
235,47,65,128,2,9052,1,
236,48,1,1,2,9061,1,
237,48,2,4,2,9060,1,
238,48,5,16,2,9059,1,
239,48,17,64,2,9058,1,
240,48,65,128,2,9057,1,
241,49,1,1,2,9066,1,
242,49,2,4,2,9065,1,
243,49,5,16,2,9064,1,
244,49,17,64,2,9063,1,
245,49,65,128,2,9062,1,
246,50,1,1,2,9071,1,
247,50,2,4,2,9070,1,
248,50,5,16,2,9069,1,
249,50,17,64,2,9068,1,
250,50,65,128,2,9067,1,
251,51,1,1,2,9076,1,
252,51,2,4,2,9075,1,
253,51,5,16,2,9074,1,
254,51,17,64,2,9073,1,
255,51,65,128,2,9072,1,
256,52,1,1,2,9081,1,
257,52,2,4,2,9080,1,
258,52,5,16,2,9079,1,
259,52,17,64,2,9078,1,
260,52,65,128,2,9077,1,
261,53,1,1,2,9086,1,
262,53,2,4,2,9085,1,
263,53,5,16,2,9084,1,
264,53,17,64,2,9083,1,
265,53,65,128,2,9082,1,
266,54,1,1,2,9091,1,
267,54,2,4,2,9090,1,
268,54,5,16,2,9089,1,
269,54,17,64,2,9088,1,
270,54,65,128,2,9087,1,
271,55,1,1,2,9096,1,
272,55,2,4,2,9095,1,
273,55,5,16,2,9094,1,
274,55,17,64,2,9093,1,
275,55,65,128,2,9092,1,
276,56,1,1,2,9101,1,
277,56,2,4,2,9100,1,
278,56,5,16,2,9099,1,
279,56,17,64,2,9098,1,
280,56,65,128,2,9097,1,
281,57,1,1,2,9106,1,
282,57,2,4,2,9105,1,
283,57,5,16,2,9104,1,
284,57,17,64,2,9103,1,
285,57,65,128,2,9102,1,
286,58,1,1,2,9111,1,
287,58,2,4,2,9110,1,
288,58,5,16,2,9109,1,
289,58,17,64,2,9108,1,
290,58,65,128,2,9107,1,
291,59,1,1,2,9116,1,
292,59,2,4,2,9115,1,
293,59,5,16,2,9114,1,
294,59,17,64,2,9113,1,
295,59,65,128,2,9112,1,
296,60,1,1,2,9121,1,
297,60,2,4,2,9120,1,
298,60,5,16,2,9119,1,
299,60,17,64,2,9118,1,
300,60,65,128,2,9117,1,
