id,firstRwards-type-1,firstRwards-id-1,firstRwards-value-1,firstRwards-type-2,firstRwards-id-2,firstRwards-value-2,firstRwards-type-3,firstRwards-id-3,firstRwards-value-3,
5,1,72,2000,1,9,100,1,8,200000,
6,1,72,3000,1,9,100,1,8,400000,
7,1,72,4000,1,9,100,1,8,600000,
8,1,72,5000,1,9,100,1,8,800000,
9,1,72,6000,1,9,100,1,8,1000000,
10,1,72,7000,1,9,100,1,8,1200000,
11,1,72,8000,1,9,100,1,8,1400000,
12,1,72,9000,1,9,100,1,8,1600000,
13,1,72,10000,1,9,100,1,8,1800000,
14,1,72,11000,1,9,100,1,8,2000000,
