id,groupAttack,quality,addProsType,addProsHeroType,addProsWay,addProsNum,waveDown,waveUp,weight,
1,1,1,0,,,,,,,
2,1,1,0,,,,,,,
3,1,1,0,,,,,,,
4,1,1,0,,,,,,,
5,1,1,0,,,,,,,
6,1,1,0,,,,,,,
7,2,1,0,,,,,,,
8,2,1,0,,,,,,,
9,2,1,0,,,,,,,
10,2,1,0,,,,,,,
11,2,1,0,,,,,,,
12,2,1,0,,,,,,,
13,1,2,8,0,0,20,75,125,20,
14,1,2,5,0,0,20,75,125,20,
15,1,2,13,0,0,20,75,125,20,
16,1,2,12,0,0,20,75,125,20,
17,1,2,16,0,0,20,75,125,20,
18,1,2,23,0,1,20,75,125,20,
19,2,2,0,,,,,,,
20,2,2,0,,,,,,,
21,2,2,0,,,,,,,
22,2,2,0,,,,,,,
23,2,2,0,,,,,,,
24,2,2,0,,,,,,,
25,1,3,8,0,0,25,75,125,20,
26,1,3,5,0,0,25,75,125,20,
27,1,3,13,0,0,25,75,125,20,
28,1,3,12,0,0,25,75,125,20,
29,1,3,16,0,0,25,75,125,20,
30,1,3,23,0,1,25,75,125,20,
31,2,3,20,0,0,25,75,125,20,
32,2,3,7,0,0,25,75,125,20,
33,2,3,15,0,1,25,75,125,20,
34,2,3,14,0,1,25,75,125,20,
35,2,3,17,0,0,25,75,125,20,
36,2,3,3,0,1,25,75,125,20,
37,1,4,8,0,0,30,75,125,20,
38,1,4,5,0,0,30,75,125,20,
39,1,4,13,0,0,30,75,125,20,
40,1,4,12,0,0,30,75,125,20,
41,1,4,16,0,0,30,75,125,20,
42,1,4,23,0,1,30,75,125,20,
43,2,4,20,0,0,30,75,125,20,
44,2,4,7,0,0,30,75,125,20,
45,2,4,15,0,1,30,75,125,20,
46,2,4,14,0,1,30,75,125,20,
47,2,4,17,0,0,30,75,125,20,
48,2,4,3,0,1,30,75,125,20,
49,1,5,8,0,0,35,75,125,20,
50,1,5,5,0,0,35,75,125,20,
51,1,5,13,0,0,35,75,125,20,
52,1,5,12,0,0,35,75,125,20,
53,1,5,16,0,0,35,75,125,20,
54,1,5,23,0,1,35,75,125,20,
55,2,5,20,0,0,35,75,125,20,
56,2,5,7,0,0,35,75,125,20,
57,2,5,15,0,1,35,75,125,20,
58,2,5,14,0,1,35,75,125,20,
59,2,5,17,0,0,35,75,125,20,
60,2,5,3,0,1,35,75,125,20,
61,1,6,8,0,0,40,75,125,20,
62,1,6,5,0,0,40,75,125,20,
63,1,6,13,0,0,40,75,125,20,
64,1,6,12,0,0,40,75,125,20,
65,1,6,16,0,0,40,75,125,20,
66,1,6,23,0,1,40,75,125,20,
67,2,6,20,0,0,40,75,125,20,
68,2,6,7,0,0,40,75,125,20,
69,2,6,15,0,1,40,75,125,20,
70,2,6,14,0,1,40,75,125,20,
71,2,6,17,0,0,40,75,125,20,
72,2,6,3,0,1,40,75,125,20,
73,1,7,8,0,0,45,75,125,20,
74,1,7,5,0,0,45,75,125,20,
75,1,7,13,0,0,45,75,125,20,
76,1,7,12,0,0,45,75,125,20,
77,1,7,16,0,0,45,75,125,20,
78,1,7,23,0,1,45,75,125,20,
79,2,7,20,0,0,45,75,125,20,
80,2,7,7,0,0,45,75,125,20,
81,2,7,15,0,1,45,75,125,20,
82,2,7,14,0,1,45,75,125,20,
83,2,7,17,0,0,45,75,125,20,
84,2,7,3,0,1,45,75,125,20,
85,1,8,8,0,0,60,75,125,20,
86,1,8,5,0,0,60,75,125,20,
87,1,8,13,0,0,60,75,125,20,
88,1,8,12,0,0,60,75,125,20,
89,1,8,16,0,0,60,75,125,20,
90,1,8,23,0,1,60,75,125,20,
91,2,8,20,0,0,60,75,125,20,
92,2,8,7,0,0,60,75,125,20,
93,2,8,15,0,1,60,75,125,20,
94,2,8,14,0,1,60,75,125,20,
95,2,8,17,0,0,60,75,125,20,
96,2,8,3,0,1,60,75,125,20,
97,1,9,8,0,0,75,75,125,20,
98,1,9,5,0,0,75,75,125,20,
99,1,9,13,0,0,75,75,125,20,
100,1,9,12,0,0,75,75,125,20,
101,1,9,16,0,0,75,75,125,20,
102,1,9,23,0,1,75,75,125,20,
103,2,9,20,0,0,75,75,125,20,
104,2,9,7,0,0,75,75,125,20,
105,2,9,15,0,1,75,75,125,20,
106,2,9,14,0,1,75,75,125,20,
107,2,9,17,0,0,75,75,125,20,
108,2,9,3,0,1,75,75,125,20,
109,1,10,8,0,0,95,75,125,20,
110,1,10,5,0,0,95,75,125,20,
111,1,10,13,0,0,95,75,125,20,
112,1,10,12,0,0,95,75,125,20,
113,1,10,16,0,0,95,75,125,20,
114,1,10,23,0,1,95,75,125,20,
115,2,10,20,0,0,95,75,125,20,
116,2,10,7,0,0,95,75,125,20,
117,2,10,15,0,1,95,75,125,20,
118,2,10,14,0,1,95,75,125,20,
119,2,10,17,0,0,95,75,125,20,
120,2,10,3,0,1,95,75,125,20,
121,1,11,8,0,0,115,75,125,20,
122,1,11,5,0,0,115,75,125,20,
123,1,11,13,0,0,115,75,125,20,
124,1,11,12,0,0,115,75,125,20,
125,1,11,16,0,0,115,75,125,20,
126,1,11,23,0,1,115,75,125,20,
127,2,11,20,0,0,115,75,125,20,
128,2,11,7,0,0,115,75,125,20,
129,2,11,15,0,1,115,75,125,20,
130,2,11,14,0,1,115,75,125,20,
131,2,11,17,0,0,115,75,125,20,
132,2,11,3,0,1,115,75,125,20,
133,1,12,8,0,0,125,75,125,20,
134,1,12,5,0,0,125,75,125,20,
135,1,12,13,0,0,125,75,125,20,
136,1,12,12,0,0,125,75,125,20,
137,1,12,16,0,0,125,75,125,20,
138,1,12,23,0,1,125,75,125,20,
139,2,12,20,0,0,125,75,125,20,
140,2,12,7,0,0,125,75,125,20,
141,2,12,15,0,1,125,75,125,20,
