id,groupId,star,propertyId,propertyType,propertyValueMin,propertyValueMax,propertyWay,weight,desc,clearType,clearNum,clearMaxTime,nextid,
1,101,1,2,0,257,1412,0,100,s==2|攻击,0,s==8|28|28|28,42,31,
2,101,1,1,0,2418,12708,0,100,s==2|生命,0,s==11|250|250|250,41,32,
3,101,1,4,0,100,1000,0,100,s==2|速度,0,s==8|30|30|30,30,33,
4,101,1,2,1,10,200,1,100,s==2|攻击,1,s==5|5|5|5,38,34,
5,101,1,6,1,10,300,0,100,s==2|暴伤,1,s==8|10|10|10,29,35,
6,101,1,16,1,10,200,0,100,s==2|控制,1,s==8|10|10|10,19,36,
7,101,1,8,1,10,200,0,100,s==2|命中,1,s==8|10|10|10,19,37,
8,101,1,18,1,10,300,0,100,s==2|治疗,1,s==8|10|10|10,29,38,
9,101,1,12,1,10,200,0,100,s==2|物伤,1,s==8|10|10|10,19,39,
10,101,1,13,1,10,200,0,100,s==2|法伤,1,s==8|10|10|10,19,40,
11,102,1,2,0,257,1412,0,100,s==2|攻击,0,s==8|28|28|28,42,41,
12,102,1,1,0,2418,12708,0,100,s==2|生命,0,s==11|250|250|250,41,42,
13,102,1,4,0,100,1000,0,100,s==2|速度,0,s==8|30|30|30,30,43,
14,102,1,3,1,10,200,1,100,s==2|防御,1,s==8|10|10|10,19,44,
15,102,1,1,1,10,200,1,100,s==2|生命,1,s==8|10|10|10,19,45,
16,102,1,17,1,10,200,0,100,s==2|抗控,1,s==8|10|10|10,19,46,
17,102,1,7,1,10,200,0,100,s==2|抗暴,1,s==8|10|10|10,19,47,
18,102,1,9,1,10,200,0,100,s==2|闪避,1,s==8|10|10|10,19,48,
19,102,1,14,1,10,200,0,100,s==2|物免,1,s==8|10|10|10,19,49,
20,102,1,15,1,10,200,0,100,s==2|法免,1,s==8|10|10|10,19,50,
21,103,1,2,0,257,1412,0,100,s==2|攻击,0,s==8|28|28|28,42,51,
22,103,1,1,0,2418,12708,0,100,s==2|生命,0,s==11|250|250|250,41,52,
23,103,1,4,0,100,1000,0,100,s==2|速度,0,s==8|30|30|30,30,53,
24,103,1,2,1,10,200,1,100,s==2|攻击,1,s==5|5|5|5,19,54,
25,103,1,5,1,10,200,0,100,s==2|暴击,1,s==8|10|10|10,19,55,
26,103,1,16,1,10,200,0,100,s==2|控制,1,s==8|10|10|10,19,56,
27,103,1,8,1,10,200,0,100,s==2|命中,1,s==8|10|10|10,19,57,
28,103,1,18,1,10,300,0,100,s==2|治疗,1,s==8|10|10|10,29,58,
29,103,1,12,1,10,200,0,100,s==2|物伤,1,s==8|10|10|10,19,59,
30,103,1,13,1,10,200,0,100,s==2|法伤,1,s==8|10|10|10,19,60,
31,201,2,2,0,533,1976,0,100,s==2|攻击,0,s==8|22|22|22,66,61,
32,201,2,1,0,4127,17791,0,100,s==2|生命,0,s==11|210|210|210,66,62,
33,201,2,4,0,200,2000,0,100,s==2|速度,0,s==8|50|50|50,36,63,
34,201,2,2,1,20,300,1,100,s==2|攻击,1,s==5|7|7|7,40,64,
35,201,2,6,1,30,500,0,100,s==2|暴伤,1,s==8|15|15|15,32,65,
36,201,2,16,1,20,250,0,100,s==2|控制,1,s==8|10|10|10,23,66,
