id,allPassAwards-type-1,allPassAwards-id-1,allPassAwards-value-1,allPassAwards-type-2,allPassAwards-id-2,allPassAwards-value-2,allPassAwards-type-3,allPassAwards-id-3,allPassAwards-value-3,allPassAwards-type-4,allPassAwards-id-4,allPassAwards-value-4,allPassAwards-type-5,allPassAwards-id-5,allPassAwards-value-5,
5,2,1012,10,1,8,50000,,,,,,,,,,
10,2,1012,10,1,8,55500,,,,,,,,,,
15,2,1012,10,1,8,61000,,,,,,,,,,
20,2,1012,10,1,8,66500,,,,,,,,,,
25,2,1012,10,1,8,72000,,,,,,,,,,
30,2,1012,10,1,8,77500,,,,,,,,,,
35,2,1012,10,1,8,83000,,,,,,,,,,
40,2,1012,10,1,8,88500,,,,,,,,,,
45,2,1012,10,1,8,94000,,,,,,,,,,
50,2,1012,10,1,8,99500,,,,,,,,,,
55,2,1012,10,1,8,105000,,,,,,,,,,
60,2,1012,10,1,8,110500,,,,,,,,,,
65,2,1012,10,1,8,116000,,,,,,,,,,
70,2,1012,10,1,8,121500,,,,,,,,,,
75,2,1012,10,1,8,127000,,,,,,,,,,
80,2,1012,10,1,8,132500,,,,,,,,,,
85,2,1012,10,1,8,138000,,,,,,,,,,
90,2,1012,10,1,8,143500,,,,,,,,,,
95,2,1012,10,1,8,149000,,,,,,,,,,
100,2,1012,10,1,8,154500,,,,,,,,,,
105,2,1012,10,1,8,160000,,,,,,,,,,
110,2,1012,10,1,8,165500,,,,,,,,,,
115,2,1012,10,1,8,171000,,,,,,,,,,
120,2,1012,10,1,8,176500,,,,,,,,,,
125,2,1012,10,1,8,182000,,,,,,,,,,
130,2,1012,10,1,8,187500,,,,,,,,,,
135,2,1012,10,1,8,193000,,,,,,,,,,
140,2,1012,10,1,8,198500,,,,,,,,,,
145,2,1012,10,1,8,204000,,,,,,,,,,
150,2,1012,10,1,8,209500,,,,,,,,,,
155,2,1012,10,1,8,215000,,,,,,,,,,
160,2,1012,10,1,8,220500,,,,,,,,,,
165,2,1012,10,1,8,226000,,,,,,,,,,
170,2,1012,10,1,8,231500,,,,,,,,,,
175,2,1012,10,1,8,237000,,,,,,,,,,
180,2,1012,10,1,8,242500,,,,,,,,,,
185,2,1012,10,1,8,248000,,,,,,,,,,
190,2,1012,10,1,8,253500,,,,,,,,,,
