id,activityId,group,type,typeName,award-type-1,award-id-1,award-value-1,award-type-2,award-id-2,award-value-2,award-type-3,award-id-3,award-value-3,award-type-4,award-id-4,award-value-4,award-type-5,award-id-5,award-value-5,
1,2000,s==17|15015|15015|15015,1,s==3|特等奖,2,1101,10,2,1082,20,2,1081,10,,,,,,,
2,2000,s==17|15009|15009|15009,2,s==3|一等奖,2,1006,300,2,1080,10,2,1004,1,,,,,,,
3,2000,s==17|15015|15015|15009,3,s==3|二等奖,2,1077,20,2,1001,100,2,3008,10,,,,,,,
4,2000,s==17|15011|15011|15011,3,s==3|二等奖,2,1006,100,2,1001,100,2,1003,1,,,,,,,
5,2000,s==17|15009|15011|15011,4,s==3|三等奖,2,1005,2,2,1007,1,2,1027,30,,,,,,,
6,2000,s==17|15009|15009|15011,4,s==3|三等奖,2,1005,2,2,1006,50,2,1027,30,,,,,,,
7,2000,s==17|15015|15009|15015,4,s==3|三等奖,2,1005,2,2,1001,50,2,1027,30,,,,,,,
8,2002,s==17|15013|15013|15013,1,s==3|特等奖,2,1133,10,2,1082,20,2,1081,10,,,,,,,
9,2002,s==17|15012|15012|15012,2,s==3|一等奖,2,1006,300,2,1080,10,2,1004,1,,,,,,,
10,2002,s==17|15013|15013|15012,3,s==3|二等奖,2,1077,20,2,1001,100,2,3008,10,,,,,,,
11,2002,s==17|15014|15014|15014,3,s==3|二等奖,2,1006,100,2,1001,100,2,1003,1,,,,,,,
12,2002,s==17|15012|15014|15014,4,s==3|三等奖,2,1005,2,2,1007,1,2,1027,30,,,,,,,
13,2002,s==17|15012|15012|15014,4,s==3|三等奖,2,1005,2,2,1006,50,2,1027,30,,,,,,,
14,2002,s==17|15013|15012|15013,4,s==3|三等奖,2,1005,2,2,1001,50,2,1027,30,,,,,,,
