id,layerId,floor,battleId,battkeScene,supportType,buffId,roundLimit,
1001,1,5,160001,501001,1,,17,
1002,2,5,160101,501002,1,,17,
1003,3,5,160201,501000,1,,17,
1004,4,5,160301,501003,1,,17,
1005,5,5,160401,501004,1,,17,
2001,1,6,160002,501001,1,,17,
2002,2,6,160102,501002,1,,17,
2003,3,6,160202,501000,1,,17,
2004,4,6,160302,501003,1,,17,
2005,5,6,160402,501004,1,,17,
3001,1,7,160003,501001,1,,17,
3002,2,7,160103,501002,1,,17,
3003,3,7,160203,501000,1,,17,
3004,4,7,160303,501003,1,,17,
3005,5,7,160403,501004,1,,17,
4001,1,8,160004,501001,1,,17,
4002,2,8,160104,501002,1,,17,
4003,3,8,160204,501000,1,,17,
4004,4,8,160304,501003,1,,17,
4005,5,8,160404,501004,1,,17,
5001,1,9,160005,501001,1,,17,
5002,2,9,160105,501002,1,,17,
5003,3,9,160205,501000,1,,17,
5004,4,9,160305,501003,1,,17,
5005,5,9,160405,501004,1,,17,
6001,1,10,160006|160007,501001,2,,17,
6002,2,10,160106|160107,501002,2,,17,
6003,3,10,160206|160207,501000,2,,17,
6004,4,10,160306|160307,501003,2,,17,
6005,5,10,160406|160407,501004,2,,17,
7001,1,11,160008|160009,501001,2,,17,
7002,2,11,160108|160109,501002,2,,17,
7003,3,11,160208|160209,501000,2,,17,
7004,4,11,160308|160309,501003,2,,17,
7005,5,11,160408|160409,501004,2,,17,
8001,1,12,160010|160011,501001,2,,17,
8002,2,12,160110|160111,501002,2,,17,
8003,3,12,160210|160211,501000,2,,17,
8004,4,12,160310|160311,501003,2,,17,
8005,5,12,160410|160411,501004,2,,17,
9001,1,13,160012|160013|160014,501001,3,,17,
9002,2,13,160112|160113|160114,501002,3,,17,
9003,3,13,160212|160213|160214,501000,3,,17,
9004,4,13,160312|160313|160314,501003,3,,17,
9005,5,13,160412|160413|160414,501004,3,,17,
10001,1,14,160015|160016|160017,501001,3,,17,
10002,2,14,160115|160116|160117,501002,3,,17,
10003,3,14,160215|160216|160217,501000,3,,17,
10004,4,14,160315|160316|160317,501003,3,,17,
10005,5,14,160415|160416|160417,501004,3,,17,
