id,activityId,time,progressValue%1,progressValue%2,progressValue%3,progressValue%4,progressValue%5,priceReward%1,priceReward%2,priceReward%3,priceReward%4,priceReward%5,
1,3006,1,9000,1000,0,0,0,2400,2400,2401,2401,2402,
2,3006,2,8000,1600,300,100,0,2400,2400,2401,2401,2402,
3,3006,3,7000,2500,300,200,0,2400,2400,2401,2401,2402,
4,3006,4,6000,3200,500,300,0,2400,2400,2401,2401,2402,
5,3006,5,5000,4000,600,400,0,2400,2400,2401,2401,2402,
6,3006,6,4000,5000,500,500,0,2400,2400,2401,2401,2402,
7,3006,7,3000,6000,500,400,100,2400,2400,2401,2401,2402,
8,3006,8,2000,7000,300,400,300,2400,2400,2401,2401,2402,
9,3006,9,500,8000,300,700,500,2400,2400,2401,2401,2402,
10,3006,10,0,0,0,0,10000,2400,2400,2401,2401,2402,
11,3080,1,9000,1000,0,0,0,2700,2700,2701,2701,2702,
12,3080,2,8000,1600,300,100,0,2700,2700,2701,2701,2702,
13,3080,3,7000,2500,300,200,0,2700,2700,2701,2701,2702,
14,3080,4,6000,3200,500,300,0,2700,2700,2701,2701,2702,
15,3080,5,5000,4000,600,400,0,2700,2700,2701,2701,2702,
16,3080,6,4000,5000,500,500,0,2700,2700,2701,2701,2702,
17,3080,7,3000,6000,500,400,100,2700,2700,2701,2701,2702,
18,3080,8,2000,7000,300,400,300,2700,2700,2701,2701,2702,
19,3080,9,500,8000,300,700,500,2700,2700,2701,2701,2702,
20,3080,10,0,0,0,0,10000,2700,2700,2701,2701,2702,
21,3027,1,9000,1000,0,0,0,2700,2700,2701,2701,2702,
22,3027,2,8000,1600,300,100,0,2700,2700,2701,2701,2702,
23,3027,3,7000,2500,300,200,0,2700,2700,2701,2701,2702,
24,3027,4,6000,3200,500,300,0,2700,2700,2701,2701,2702,
25,3027,5,5000,4000,600,400,0,2700,2700,2701,2701,2702,
26,3027,6,4000,5000,500,500,0,2700,2700,2701,2701,2702,
27,3027,7,3000,6000,500,400,100,2700,2700,2701,2701,2702,
28,3027,8,2000,7000,300,400,300,2700,2700,2701,2701,2702,
29,3027,9,500,8000,300,700,500,2700,2700,2701,2701,2702,
30,3027,10,0,0,0,0,10000,2700,2700,2701,2701,2702,
