id,groupBase,levelDown,levelUP,addPros-type-1,addPros-heroType-1,addPros-way-1,addPros-num-1,addPros-factor-1,addPros-down-1,addPros-up-1,addPros-type-2,addPros-heroType-2,addPros-way-2,addPros-num-2,addPros-factor-2,addPros-down-2,addPros-up-2,addPros-type-3,addPros-heroType-3,addPros-way-3,addPros-num-3,addPros-factor-3,addPros-down-3,addPros-up-3,addPros-type-4,addPros-heroType-4,addPros-way-4,addPros-num-4,addPros-factor-4,addPros-down-4,addPros-up-4,
1,1,1,5,1,0,0,200,70000,75,125,2,0,0,20,7000,75,125,1,2,0,200,70000,75,125,2,2,0,20,7000,75,125,
2,1,6,10,1,0,0,200,75000,75,125,2,0,0,20,7500,75,125,1,2,0,200,75000,75,125,2,2,0,20,7500,75,125,
3,1,11,15,1,0,0,200,80000,75,125,2,0,0,20,8000,75,125,1,2,0,200,80000,75,125,2,2,0,20,8000,75,125,
4,1,16,20,1,0,0,200,85000,75,125,2,0,0,20,8500,75,125,1,2,0,200,85000,75,125,2,2,0,20,8500,75,125,
5,1,21,25,1,0,0,200,90000,75,125,2,0,0,20,9000,75,125,1,2,0,200,90000,75,125,2,2,0,20,9000,75,125,
6,1,26,30,1,0,0,200,95000,75,125,2,0,0,20,9500,75,125,1,2,0,200,95000,75,125,2,2,0,20,9500,75,125,
7,1,31,35,1,0,0,200,100000,75,125,2,0,0,20,10000,75,125,1,2,0,200,100000,75,125,2,2,0,20,10000,75,125,
8,1,36,40,1,0,0,200,105000,75,125,2,0,0,20,10500,75,125,1,2,0,200,105000,75,125,2,2,0,20,10500,75,125,
9,1,41,60,1,0,0,200,110000,75,125,2,0,0,20,11000,75,125,1,2,0,200,110000,75,125,2,2,0,20,11000,75,125,
10,1,61,70,1,0,0,200,115000,75,125,2,0,0,20,11500,75,125,1,2,0,200,115000,75,125,2,2,0,20,11500,75,125,
11,1,71,80,1,0,0,200,120000,75,125,2,0,0,20,12000,75,125,1,2,0,200,120000,75,125,2,2,0,20,12000,75,125,
12,1,81,90,1,0,0,200,125000,75,125,2,0,0,20,12500,75,125,1,2,0,200,125000,75,125,2,2,0,20,12500,75,125,
13,1,91,100,1,0,0,200,135000,75,125,2,0,0,20,13500,75,125,1,2,0,200,135000,75,125,2,2,0,20,13500,75,125,
14,1,101,110,1,0,0,200,145000,75,125,2,0,0,20,14500,75,125,1,2,0,200,145000,75,125,2,2,0,20,14500,75,125,
15,1,111,120,1,0,0,200,155000,75,125,2,0,0,20,15500,75,125,1,2,0,200,155000,75,125,2,2,0,20,15500,75,125,
16,1,121,130,1,0,0,200,165000,75,125,2,0,0,20,16500,75,125,1,2,0,200,165000,75,125,2,2,0,20,16500,75,125,
17,1,131,140,1,0,0,200,175000,75,125,2,0,0,20,17500,75,125,1,2,0,200,175000,75,125,2,2,0,20,17500,75,125,
18,1,141,160,1,0,0,200,185000,75,125,2,0,0,20,18500,75,125,1,2,0,200,185000,75,125,2,2,0,20,18500,75,125,
19,1,161,170,1,0,0,200,195000,75,125,2,0,0,20,19500,75,125,1,2,0,200,195000,75,125,2,2,0,20,19500,75,125,
20,1,171,9999,1,0,0,200,205000,75,125,2,0,0,20,20500,75,125,1,2,0,200,205000,75,125,2,2,0,20,20500,75,125,
21,2,1,5,1,0,0,200,70000,75,125,2,0,0,20,7000,75,125,1,4,0,200,70000,75,125,2,4,0,20,7000,75,125,
22,2,6,10,1,0,0,200,75000,75,125,2,0,0,20,7500,75,125,1,4,0,200,75000,75,125,2,4,0,20,7500,75,125,
23,2,11,15,1,0,0,200,80000,75,125,2,0,0,20,8000,75,125,1,4,0,200,80000,75,125,2,4,0,20,8000,75,125,
24,2,16,20,1,0,0,200,85000,75,125,2,0,0,20,8500,75,125,1,4,0,200,85000,75,125,2,4,0,20,8500,75,125,
25,2,21,25,1,0,0,200,90000,75,125,2,0,0,20,9000,75,125,1,4,0,200,90000,75,125,2,4,0,20,9000,75,125,
26,2,26,30,1,0,0,200,95000,75,125,2,0,0,20,9500,75,125,1,4,0,200,95000,75,125,2,4,0,20,9500,75,125,
27,2,31,35,1,0,0,200,100000,75,125,2,0,0,20,10000,75,125,1,4,0,200,100000,75,125,2,4,0,20,10000,75,125,
28,2,36,40,1,0,0,200,105000,75,125,2,0,0,20,10500,75,125,1,4,0,200,105000,75,125,2,4,0,20,10500,75,125,
29,2,41,60,1,0,0,200,110000,75,125,2,0,0,20,11000,75,125,1,4,0,200,110000,75,125,2,4,0,20,11000,75,125,
30,2,61,70,1,0,0,200,115000,75,125,2,0,0,20,11500,75,125,1,4,0,200,115000,75,125,2,4,0,20,11500,75,125,
31,2,71,80,1,0,0,200,120000,75,125,2,0,0,20,12000,75,125,1,4,0,200,120000,75,125,2,4,0,20,12000,75,125,
32,2,81,90,1,0,0,200,125000,75,125,2,0,0,20,12500,75,125,1,4,0,200,125000,75,125,2,4,0,20,12500,75,125,
33,2,91,100,1,0,0,200,135000,75,125,2,0,0,20,13500,75,125,1,4,0,200,135000,75,125,2,4,0,20,13500,75,125,
34,2,101,110,1,0,0,200,145000,75,125,2,0,0,20,14500,75,125,1,4,0,200,145000,75,125,2,4,0,20,14500,75,125,
35,2,111,120,1,0,0,200,155000,75,125,2,0,0,20,15500,75,125,1,4,0,200,155000,75,125,2,4,0,20,15500,75,125,
36,2,121,130,1,0,0,200,165000,75,125,2,0,0,20,16500,75,125,1,4,0,200,165000,75,125,2,4,0,20,16500,75,125,
