id,minHurt,maxHurt,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,rewards-type-4,rewards-id-4,rewards-value-4,
1,1,350000,2,5186,1,1,8,50000,1,10,10000,2,1001,50,
2,350001,525000,2,5186,1,1,8,80000,1,10,16000,2,1001,50,
3,525001,800000,2,5186,1,1,8,100000,1,10,20000,2,1001,50,
4,800001,1200000,2,5186,1,1,8,200000,1,10,40000,2,1001,60,
5,1200001,1800000,2,5186,1,1,8,300000,1,10,60000,2,1001,60,
6,1800001,2600000,2,5186,1,1,8,400000,1,10,80000,2,1001,60,
7,2600001,4000000,2,5186,1,1,8,500000,1,10,100000,2,1001,80,
8,4000001,6000000,2,5186,1,1,8,600000,1,10,120000,2,1001,80,
9,6000001,9000000,2,5186,1,1,8,700000,1,10,140000,2,1001,80,
10,9000001,15000000,2,5186,1,1,8,800000,1,10,160000,2,1001,100,
11,15000001,25000000,2,5186,1,1,8,900000,1,10,180000,2,1001,100,
12,25000001,-1,2,5186,1,1,8,1000000,1,10,200000,2,1001,100,
