id,dateStart,dateEnd,gear,rechargeNum,text1Name,text2Name,labelNmae,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,rewards-type-4,rewards-id-4,rewards-value-4,
1,1,14,1,520,s==9|text1_520,s==10|text2_czhl,s==11|label_jxnt1,2,1530,1,2,1003,15,2,1006,2000,,,,
2,1,14,2,1314,s==10|text1_1314,s==10|text2_czhl,s==11|label_jxnt1,2,6724,1,2,1029,40,2,1006,5000,,,,
3,1,14,3,3344,s==10|text1_3344,s==10|text2_czhl,s==11|label_jxnt1,2,2128,1,2,1003,15,2,1006,8000,,,,
4,1,14,4,5200,s==10|text1_5200,s==10|text2_czhl,s==11|label_jxnt1,2,4050,1,2,3014,50,2,1006,10000,,,,
5,15,30,1,520,s==9|text1_520,s==10|text2_czhl,s==11|label_jxnt1,2,1530,1,2,1003,15,2,1029,40,,,,
6,15,30,2,1314,s==10|text1_1314,s==10|text2_czhl,s==11|label_jxnt1,2,6724,1,2,1029,40,2,1006,5000,,,,
7,15,30,3,3344,s==10|text1_3344,s==10|text2_czhl,s==11|label_jxnt1,2,2088,1,2,1036,60,2,1006,8000,,,,
8,15,30,4,5200,s==10|text1_5200,s==10|text2_czhl,s==11|label_jxnt1,2,2149,1,2,1037,20,2,1006,20000,,,,
9,31,59,1,520,s==9|text1_520,s==10|text2_czhl,s==11|label_jxnt1,2,6725,1,2,1003,15,2,1029,40,,,,
10,31,59,2,1314,s==10|text1_1314,s==10|text2_czhl,s==11|label_jxnt1,2,6724,1,2,1029,40,2,1006,5000,,,,
11,31,59,3,3344,s==10|text1_3344,s==10|text2_czhl,s==11|label_jxnt1,2,6677,1,2,1010,60,2,1006,8000,,,,
12,31,59,4,5200,s==10|text1_5200,s==10|text2_czhl,s==11|label_jxnt1,2,6674,1,2,1009,20,2,1006,20000,,,,
13,60,89,1,520,s==9|text1_520,s==10|text2_czhl,s==11|label_jxnt1,2,6725,1,2,1003,15,2,1029,40,,,,
14,60,89,2,1314,s==10|text1_1314,s==10|text2_czhl,s==11|label_jxnt1,2,6724,1,2,1029,40,2,1006,5000,,,,
15,60,89,3,3344,s==10|text1_3344,s==10|text2_czhl,s==11|label_jxnt1,2,6677,1,2,1017,60,2,1006,8000,,,,
16,60,89,4,5200,s==10|text1_5200,s==10|text2_czhl,s==11|label_jxnt1,2,6674,1,2,1018,20,2,1006,20000,,,,
17,90,-1,1,520,s==9|text1_520,s==10|text2_czhl,s==11|label_jxnt1,2,6725,1,2,1230,20,2,1029,40,,,,
18,90,-1,2,1314,s==10|text1_1314,s==10|text2_czhl,s==11|label_jxnt1,2,6724,1,2,1230,40,2,1006,5000,,,,
19,90,-1,3,3344,s==10|text1_3344,s==10|text2_czhl,s==11|label_jxnt1,2,6677,1,2,1082,60,2,1006,8000,,,,
20,90,-1,4,5200,s==10|text1_5200,s==10|text2_czhl,s==11|label_jxnt1,2,6674,1,2,1081,20,2,1006,20000,,,,
