id,dateStart,dateEnd,rankItervallow,rankItervalhigh,rankShow,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,peopleNumLimitSum,
1,1,30,s==1|0,s==1|1,s==2|1%,2,6878,20,1,9,1000,2,19618,1,8,
2,1,30,s==1|2,s==1|3,s==5|2%-3%,2,6878,18,1,9,900,2,19619,1,24,
3,1,30,s==1|4,s==1|5,s==5|4%-5%,2,6878,16,1,9,800,2,19620,1,40,
4,1,30,s==1|6,s==2|10,s==6|6%-10%,2,6878,14,1,9,700,,,,80,
5,1,30,s==2|11,s==2|20,s==7|11%-20%,2,6878,12,1,9,600,,,,160,
6,1,30,s==2|21,s==2|40,s==7|21%-40%,2,6878,10,1,9,500,,,,240,
7,1,30,s==2|41,s==2|70,s==7|41%-70%,2,6878,8,1,9,400,,,,360,
8,1,30,s==2|71,s==3|100,s==8|71%-100%,2,6878,6,1,9,300,,,,-1,
9,31,-1,s==1|0,s==1|1,s==2|1%,2,6878,20,1,9,1000,2,19618,1,8,
10,31,-1,s==1|2,s==1|3,s==5|2%-3%,2,6878,18,1,9,900,2,19619,1,24,
11,31,-1,s==1|4,s==1|5,s==5|4%-5%,2,6878,16,1,9,800,2,19620,1,40,
12,31,-1,s==1|6,s==2|10,s==6|6%-10%,2,6878,14,1,9,700,,,,80,
13,31,-1,s==2|11,s==2|20,s==7|11%-20%,2,6878,12,1,9,600,,,,160,
14,31,-1,s==2|21,s==2|40,s==7|21%-40%,2,6878,10,1,9,500,,,,240,
15,31,-1,s==2|41,s==2|70,s==7|41%-70%,2,6878,8,1,9,400,,,,360,
16,31,-1,s==2|71,s==3|100,s==8|71%-100%,2,6878,6,1,9,300,,,,-1,
