id,desc,countryId,
1,s==5|Qatar,1,
2,s==8|Anh Quốc,2,
3,s==9|Argentina,3,
4,s==9|Pháp Quốc,4,
5,s==11|Tây Ban Nha,5,
6,s==7|Bỉ Quốc,6,
7,s==6|Ba Tây,7,
8,s==10|Bồ Đào Nha,8,
9,s==7|Ecuador,9,
10,s==4|Iran,10,
11,s==11|Ả Rập Xê Út,11,
12,s==10|Úc Đại Lợi,12,
13,s==10|Costa Rica,13,
14,s==6|Canada,14,
15,s==6|Serbia,15,
16,s==5|Ghana,16,
17,s==7|Senegal,17,
18,s==7|Mỹ Quốc,18,
19,s==6|Mexico,19,
20,s==8|Đan Mạch,20,
21,s==8|Đức Quốc,21,
22,s==6|Ma Rốc,22,
23,s==7|Thụy Sĩ,23,
24,s==7|Uruguay,24,
25,s==6|Hà Lan,25,
26,s==5|Wales,26,
27,s==6|Ba Lan,27,
28,s==7|Tunisia,28,
29,s==8|NHẬT BẢN,29,
30,s==7|Croatia,30,
31,s==8|Cameroon,31,
32,s==8|Hàn Quốc,32,
