id,name,type,needLevel,weight,attrGroup,
1,s==4|太阳精魄,2,3,20,s==16|14,1,13|26,13|26,
2,s==4|太阴精魄,2,5,20,s==16|15,2,13|26,13|26,
3,s==4|少阳精魄,2,7,20,s==16|16,3,13|26,13|26,
4,s==4|少阴精魄,2,10,20,s==16|17,4,13|26,13|26,
5,s==4|乾位精魄,1,1,20,s==16|18,5,13|26,13|26,
6,s==4|坤位精魄,1,1,20,s==16|19,6,13|26,13|26,
7,s==4|震位精魄,1,1,20,s==16|7,20,13|26,13|26,
8,s==4|巽位精魄,1,1,20,s==16|8,21,13|26,13|26,
9,s==4|坎位精魄,1,1,20,s==16|9,22,13|26,13|26,
10,s==4|离位精魄,1,1,20,s==17|10,23,13|26,13|26,
11,s==4|艮位精魄,1,1,20,s==17|11,24,13|26,13|26,
12,s==4|兑位精魄,1,1,20,s==17|12,25,13|26,13|26,
