id,activityID,bonus,reward-type-1,reward-id-1,reward-num-1,reward-type-2,reward-id-2,reward-num-2,
1,3007,3000,1,9,20,2,1118,2,
2,3007,5000,1,9,30,2,1003,3,
3,3007,7000,1,9,40,2,1118,3,
4,3007,10000,1,9,50,2,1004,1,
5,3007,13000,1,9,60,2,1118,5,
6,3007,16000,1,9,70,2,1003,3,
7,3007,20000,1,9,80,2,1118,5,
8,3007,24000,1,9,90,2,1004,1,
9,3007,28000,1,9,100,2,1118,5,
10,3007,33000,1,9,110,2,1004,1,
11,3007,38000,1,9,120,2,1118,5,
12,3007,43000,1,9,150,2,1004,1,
13,3014,3000,1,9,20,2,1141,2,
14,3014,5000,1,9,30,2,1003,3,
15,3014,7000,1,9,40,2,1141,3,
16,3014,10000,1,9,50,2,1004,1,
17,3014,13000,1,9,60,2,1141,5,
18,3014,16000,1,9,70,2,1003,3,
19,3014,20000,1,9,80,2,1141,5,
20,3014,24000,1,9,90,2,1004,1,
21,3014,28000,1,9,100,2,1141,5,
22,3014,33000,1,9,110,2,1004,1,
23,3014,38000,1,9,120,2,1141,5,
24,3014,43000,1,9,150,2,1004,1,
25,3018,3000,1,9,20,2,1159,2,
26,3018,5000,1,9,30,2,1003,3,
27,3018,7000,1,9,40,2,1159,3,
28,3018,10000,1,9,50,2,1004,1,
29,3018,13000,1,9,60,2,1159,5,
30,3018,16000,1,9,70,2,1003,3,
31,3018,20000,1,9,80,2,1159,5,
32,3018,24000,1,9,90,2,1004,1,
33,3018,28000,1,9,100,2,1159,5,
34,3018,33000,1,9,110,2,1004,1,
35,3018,38000,1,9,120,2,1159,5,
36,3018,43000,1,9,150,2,1004,1,
37,3240,3000,1,9,20,2,1205,1,
38,3240,5000,1,9,30,2,1003,3,
39,3240,7000,1,9,40,2,1205,1,
40,3240,10000,1,9,50,2,1004,1,
41,3240,13000,1,9,60,2,1205,2,
42,3240,16000,1,9,70,2,1003,3,
43,3240,20000,1,9,80,2,1205,2,
44,3240,24000,1,9,90,2,1004,1,
45,3240,28000,1,9,100,2,1205,2,
46,3240,33000,1,9,110,2,1004,1,
47,3240,38000,1,9,120,2,1205,3,
48,3240,43000,1,9,150,2,1004,1,
49,3274,3000,1,9,20,2,1205,1,
50,3274,5000,1,9,30,2,1003,3,
51,3274,7000,1,9,40,2,1205,1,
52,3274,10000,1,9,50,2,1004,1,
53,3274,13000,1,9,60,2,1205,2,
54,3274,16000,1,9,70,2,1003,3,
55,3274,20000,1,9,80,2,1205,2,
56,3274,24000,1,9,90,2,1004,1,
57,3274,28000,1,9,100,2,1205,2,
58,3274,33000,1,9,110,2,1004,1,
59,3274,38000,1,9,120,2,1205,3,
60,3274,43000,1,9,150,2,1004,1,
70,3290,3000,1,9,20,2,1214,1,
71,3290,5000,1,9,30,2,1003,3,
72,3290,7000,1,9,40,2,1214,1,
73,3290,10000,1,9,50,2,1004,1,
74,3290,13000,1,9,60,2,1214,2,
75,3290,16000,1,9,70,2,1003,3,
76,3290,20000,1,9,80,2,1214,2,
77,3290,24000,1,9,90,2,1004,1,
78,3290,28000,1,9,100,2,1214,2,
79,3290,33000,1,9,110,2,1004,1,
80,3290,38000,1,9,120,2,1214,3,
81,3290,43000,1,9,150,2,1004,1,
82,3330,3000,1,9,20,2,1231,1,
83,3330,5000,1,9,30,2,1003,3,
84,3330,7000,1,9,40,2,1231,1,
85,3330,10000,1,9,50,2,1004,1,
86,3330,13000,1,9,60,2,1231,2,
87,3330,16000,1,9,70,2,1003,3,
88,3330,20000,1,9,80,2,1231,2,
89,3330,24000,1,9,90,2,1004,1,
90,3330,28000,1,9,100,2,1231,2,
91,3330,33000,1,9,110,2,1004,1,
92,3330,38000,1,9,120,2,1231,3,
93,3330,43000,1,9,150,2,1004,1,
94,3390,3000,1,9,20,2,6740,1,
95,3390,5000,1,9,30,2,1003,3,
96,3390,7000,1,9,40,2,6740,1,
97,3390,10000,1,9,50,2,1004,1,
98,3390,13000,1,9,60,2,6740,2,
99,3390,16000,1,9,70,2,1003,3,
100,3390,20000,1,9,80,2,6740,2,
101,3390,24000,1,9,90,2,1004,1,
102,3390,28000,1,9,100,2,6740,2,
103,3390,33000,1,9,110,2,1004,1,
104,3390,38000,1,9,120,2,6740,3,
105,3390,43000,1,9,150,2,1004,1,
