id,group,gridType,icon,desc,
1,1,1,s==11|unionMap_01,s==8|Địa xanh,
2,1,2,s==11|unionMap_02,s==13|Sơn mạch xanh,
3,2,1,s==11|unionMap_03,s==9|Thảo xanh,
4,2,2,s==11|unionMap_04,s==12|Lâm thụ xanh,
5,3,1,s==11|unionMap_05,s==12|Sa thổ hoàng,
6,3,2,s==11|unionMap_06,s==14|Sơn mạch hoàng,
7,4,1,s==11|unionMap_07,s==9|Địa tuyết,
8,4,2,s==11|unionMap_08,s==9|Sơn tuyết,
9,5,1,s==11|unionMap_09,s==6|Địa tử,
10,5,2,s==11|unionMap_10,s==6|Sơn tử,
11,6,1,s==11|unionMap_11,s==12|Địa nâu thẫm,
12,6,2,s==11|unionMap_12,s==17|Sơn mạch nâu thẫm,
13,7,1,s==11|unionMap_13,s==12|Địa lam thẫm,
14,7,2,s==11|unionMap_14,s==17|Sơn mạch lam thẫm,
15,8,1,s==11|unionMap_15,s==7|Địa cam,
16,8,2,s==11|unionMap_16,s==12|Sơn mạch cam,
