id,nation,holeNum,showLv,lev,star,proId,proWay,proValue,nextProType,nextProWay,nextProValue,upLevConsume-type-1,upLevConsume-id-1,upLevConsume-value-1,upLevConsume-type-2,upLevConsume-id-2,upLevConsume-value-2,upLevConsume-type-3,upLevConsume-id-3,upLevConsume-value-3,upStarConsume-type-1,upStarConsume-id-1,upStarConsume-value-1,upStarConsume-type-2,upStarConsume-id-2,upStarConsume-value-2,upStarConsume-type-3,upStarConsume-id-3,upStarConsume-value-3,
1001,1,1,1,1,0,1,0,24000,3,0,40,2,1036,5,2,1037,1,,,,,,,,,,,,,
1002,1,1,2,2,0,3,0,40,2,0,2400,2,1036,10,2,1037,2,,,,,,,,,,,,,
1003,1,1,3,3,0,2,0,2400,5,1,100,2,1036,15,2,1037,3,,,,,,,,,,,,,
1004,1,1,4,4,0,5,1,100,12,1,100,2,1036,20,2,1037,4,,,,,,,,,,,,,
1005,1,1,5,5,0,12,1,100,4,0,5,,,,,,,,,,2,1036,40,2,1037,8,,,,
1105,1,2,6,5,1,4,0,5,1,0,24000,2,1036,30,2,1037,6,,,,,,,,,,,,,
1106,1,2,7,6,1,1,0,24000,3,0,40,2,1036,35,2,1037,7,,,,,,,,,,,,,
1107,1,2,8,7,1,3,0,40,2,0,2400,2,1036,40,2,1037,8,,,,,,,,,,,,,
1108,1,2,9,8,1,2,0,2400,5,1,100,2,1036,45,2,1037,9,,,,,,,,,,,,,
1109,1,2,10,9,1,5,1,100,12,1,100,2,1036,50,2,1037,10,,,,,,,,,,,,,
1110,1,2,11,10,1,12,1,100,4,0,5,,,,,,,,,,2,1036,70,2,1037,14,,,,
1210,1,3,12,10,2,4,0,5,1,0,24000,2,1036,60,2,1037,12,,,,,,,,,,,,,
1211,1,3,13,11,2,1,0,24000,3,0,40,2,1036,65,2,1037,13,,,,,,,,,,,,,
1212,1,3,14,12,2,3,0,40,2,0,2400,2,1036,70,2,1037,14,,,,,,,,,,,,,
1213,1,3,15,13,2,2,0,2400,5,1,100,2,1036,75,2,1037,15,,,,,,,,,,,,,
1214,1,3,16,14,2,5,1,100,12,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
1215,1,3,17,15,2,12,1,100,4,0,5,,,,,,,,,,2,1036,100,2,1037,20,,,,
1315,1,4,18,15,3,4,0,5,1,0,32000,2,1036,80,2,1037,16,,,,,,,,,,,,,
1316,1,4,19,16,3,1,0,32000,3,0,40,2,1036,80,2,1037,16,,,,,,,,,,,,,
1317,1,4,20,17,3,3,0,40,2,0,3200,2,1036,80,2,1037,16,,,,,,,,,,,,,
1318,1,4,21,18,3,2,0,3200,5,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
1319,1,4,22,19,3,5,1,100,12,1,100,2,1036,80,2,1037,16,,,,,,,,,,,,,
1320,1,4,23,20,3,12,1,100,4,0,5,2,1036,80,2,1037,16,,,,,,,,,,,,,
1321,1,4,24,21,3,4,0,5,1,0,32000,2,1036,85,2,1037,18,,,,,,,,,,,,,
1322,1,4,25,22,3,1,0,32000,3,0,40,2,1036,85,2,1037,18,,,,,,,,,,,,,
1323,1,4,26,23,3,3,0,40,2,0,3200,2,1036,85,2,1037,18,,,,,,,,,,,,,
1324,1,4,27,24,3,2,0,3200,5,1,100,2,1036,85,2,1037,18,,,,,,,,,,,,,
1325,1,4,28,25,3,5,1,100,12,1,100,2,1036,85,2,1037,18,,,,,,,,,,,,,
1326,1,4,29,26,3,12,1,100,4,0,5,2,1036,85,2,1037,18,,,,,,,,,,,,,
1327,1,4,30,27,3,4,0,5,1,0,32000,2,1036,90,2,1037,20,,,,,,,,,,,,,
1328,1,4,31,28,3,1,0,32000,3,0,40,2,1036,90,2,1037,20,,,,,,,,,,,,,
1329,1,4,32,29,3,3,0,40,2,0,3200,2,1036,90,2,1037,20,,,,,,,,,,,,,
1330,1,4,33,30,3,2,0,3200,5,1,100,2,1036,90,2,1037,20,,,,,,,,,,,,,
1331,1,4,34,31,3,5,1,100,12,1,100,2,1036,90,2,1037,20,,,,,,,,,,,,,
1332,1,4,35,32,3,12,1,100,4,0,5,2,1036,90,2,1037,20,,,,,,,,,,,,,
1333,1,4,36,33,3,4,0,5,1,0,32000,2,1036,95,2,1037,22,,,,,,,,,,,,,
1334,1,4,37,34,3,1,0,32000,3,0,40,2,1036,95,2,1037,22,,,,,,,,,,,,,
1335,1,4,38,35,3,3,0,40,2,0,3200,2,1036,95,2,1037,22,,,,,,,,,,,,,
1336,1,4,39,36,3,2,0,3200,5,1,100,2,1036,95,2,1037,22,,,,,,,,,,,,,
1337,1,4,40,37,3,5,1,100,12,1,100,2,1036,95,2,1037,22,,,,,,,,,,,,,
1338,1,4,41,38,3,12,1,100,4,0,5,2,1036,95,2,1037,22,,,,,,,,,,,,,
1339,1,4,42,39,3,4,0,5,1,0,32000,2,1036,100,2,1037,24,,,,,,,,,,,,,
1340,1,4,43,40,3,1,0,32000,3,0,40,2,1036,100,2,1037,24,,,,,,,,,,,,,
1341,1,4,44,41,3,3,0,40,2,0,3200,2,1036,100,2,1037,24,,,,,,,,,,,,,
1342,1,4,45,42,3,2,0,3200,5,1,100,2,1036,100,2,1037,24,,,,,,,,,,,,,
1343,1,4,46,43,3,5,1,100,12,1,100,2,1036,100,2,1037,24,,,,,,,,,,,,,
1344,1,4,47,44,3,12,1,100,4,0,5,2,1036,100,2,1037,24,,,,,,,,,,,,,
1345,1,4,48,45,3,4,0,5,1,0,32000,2,1036,105,2,1037,26,,,,,,,,,,,,,
1346,1,4,49,46,3,1,0,32000,3,0,40,2,1036,105,2,1037,26,,,,,,,,,,,,,
1347,1,4,50,47,3,3,0,40,2,0,3200,2,1036,105,2,1037,26,,,,,,,,,,,,,
1348,1,4,51,48,3,2,0,3200,5,1,100,2,1036,105,2,1037,26,,,,,,,,,,,,,
1349,1,4,52,49,3,5,1,100,12,1,100,2,1036,105,2,1037,26,,,,,,,,,,,,,
1350,1,4,53,50,3,12,1,100,4,0,5,2,1036,105,2,1037,26,,,,,,,,,,,,,
1351,1,4,54,51,3,4,0,5,1,0,32000,2,1036,110,2,1037,28,,,,,,,,,,,,,
1352,1,4,55,52,3,1,0,32000,3,0,40,2,1036,110,2,1037,28,,,,,,,,,,,,,
1353,1,4,56,53,3,3,0,40,2,0,3200,2,1036,110,2,1037,28,,,,,,,,,,,,,
1354,1,4,57,54,3,2,0,3200,5,1,100,2,1036,110,2,1037,28,,,,,,,,,,,,,
1355,1,4,58,55,3,5,1,100,12,1,100,2,1036,110,2,1037,28,,,,,,,,,,,,,
1356,1,4,59,56,3,12,1,100,4,0,5,2,1036,110,2,1037,28,,,,,,,,,,,,,
1357,1,4,60,57,3,4,0,5,1,0,32000,2,1036,115,2,1037,30,,,,,,,,,,,,,
1358,1,4,61,58,3,1,0,32000,3,0,40,2,1036,115,2,1037,30,,,,,,,,,,,,,
1359,1,4,62,59,3,3,0,40,2,0,3200,2,1036,115,2,1037,30,,,,,,,,,,,,,
