stage,battleId,reward-type-1,reward-id-1,reward-num-1,reward-type-2,reward-id-2,reward-num-2,reward-type-3,reward-id-3,reward-num-3,reward-type-4,reward-id-4,reward-num-4,reward-type-5,reward-id-5,reward-num-5,fastAtk-type-1,fastAtk-id-1,fastAtk-num-1,fastAtk-type-2,fastAtk-id-2,fastAtk-num-2,fastAtk-type-3,fastAtk-id-3,fastAtk-num-3,fastAtk-type-4,fastAtk-id-4,fastAtk-num-4,fastAtk-type-5,fastAtk-id-5,fastAtk-num-5,
1,90001,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,500000,1,8,250000,2,1001,100,,,,,,,,,,
2,90002,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,550000,1,8,275000,2,1001,100,,,,,,,,,,
3,90003,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,600000,1,8,300000,2,1001,100,,,,,,,,,,
4,90004,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,650000,1,8,325000,2,1001,100,,,,,,,,,,
5,90005,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,700000,1,8,350000,2,1001,100,,,,,,,,,,
6,90006,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,750000,1,8,375000,2,1001,100,,,,,,,,,,
7,90007,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,800000,1,8,400000,2,1001,100,,,,,,,,,,
8,90008,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,850000,1,8,425000,2,1001,100,,,,,,,,,,
9,90009,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,900000,1,8,450000,2,1001,100,,,,,,,,,,
10,90010,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,950000,1,8,475000,2,1001,100,,,,,,,,,,
11,90011,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,1000000,1,8,500000,2,1001,100,,,,,,,,,,
12,90012,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,1050000,1,8,525000,2,1001,150,,,,,,,,,,
13,90013,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,1100000,1,8,550000,2,1001,150,,,,,,,,,,
14,90014,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,1150000,1,8,575000,2,1001,150,,,,,,,,,,
15,90015,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,1200000,1,8,600000,2,1001,150,,,,,,,,,,
16,90016,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,1250000,1,8,625000,2,1001,150,,,,,,,,,,
17,90017,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,1300000,1,8,650000,2,1001,150,,,,,,,,,,
18,90018,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,1350000,1,8,675000,2,1001,150,,,,,,,,,,
19,90019,2,1001,200,2,1075,1,2,2008,2,2,2009,1,1,8,1400000,1,8,700000,2,1001,150,,,,,,,,,,
20,90020,2,1001,200,2,1006,500,2,2008,2,2,2009,1,1,8,1450000,1,8,725000,2,1001,150,,,,,,,,,,
21,90021,2,1001,200,2,1491,1,2,2008,2,2,2009,1,1,8,1500000,1,8,750000,2,1001,150,,,,,,,,,,
