id,heroType,level,camp,consumes-type-1,consumes-id-1,consumes-value-1,consumes-type-2,consumes-id-2,consumes-value-2,PayBack-type-1,PayBack-id-1,PayBack-value-1,PayBack-type-2,PayBack-id-2,PayBack-value-2,
1,1,1,1,2,1279,3,,,,,,,,,,
2,1,2,1,2,1279,3,,,,,,,,,,
3,1,3,1,2,1279,3,,,,,,,,,,
4,1,4,1,2,1279,3,,,,,,,,,,
5,1,5,1,2,1279,3,2,1282,2,,,,, ,,
6,1,6,1,2,1279,3,2,1282,2,,,,,,,
7,1,7,1,2,1279,3,2,1282,2,,,,,,,
8,1,8,1,2,1279,3,2,1282,2,,,,,,,
9,1,9,1,2,1279,4,2,1282,3,,,,,,,
10,1,10,1,2,1279,4,2,1282,3,,,,,,,
11,1,11,1,2,1279,4,2,1282,3,,,,,,,
12,1,12,1,2,1279,4,2,1282,3,,,,,,,
13,1,1,2,2,1279,3,,,,,,,,,,
14,1,2,2,2,1279,3,,,,,,,,,,
15,1,3,2,2,1279,3,,,,,,,,,,
16,1,4,2,2,1279,3,,,,,,,,,,
17,1,5,2,2,1279,3,2,1281,2,,,,,,,
18,1,6,2,2,1279,3,2,1281,2,,,,,,,
19,1,7,2,2,1279,3,2,1281,2,,,,,,,
20,1,8,2,2,1279,3,2,1281,2,,,,,,,
21,1,9,2,2,1279,4,2,1281,3,,,,,,,
22,1,10,2,2,1279,4,2,1281,3,,,,,,,
23,1,11,2,2,1279,4,2,1281,3,,,,,,,
24,1,12,2,2,1279,4,2,1281,3,,,,,,,
25,1,1,3,2,1279,3,,,,,,,,,,
26,1,2,3,2,1279,3,,,,,,,,,,
27,1,3,3,2,1279,3,,,,,,,,,,
28,1,4,3,2,1279,3,,,,,,,,,,
29,1,5,3,2,1279,3,2,1280,2,,,,,,,
30,1,6,3,2,1279,3,2,1280,2,,,,,,,
31,1,7,3,2,1279,3,2,1280,2,,,,,,,
32,1,8,3,2,1279,3,2,1280,2,,,,,,,
33,1,9,3,2,1279,4,2,1280,3,,,,,,,
34,1,10,3,2,1279,4,2,1280,3,,,,,,,
35,1,11,3,2,1279,4,2,1280,3,,,,,,,
36,1,12,3,2,1279,4,2,1280,3,,,,,,,
37,1,1,4,2,1279,3,,,,,,,,,,
38,1,2,4,2,1279,3,,,,,,,,,,
39,1,3,4,2,1279,3,,,,,,,,,,
40,1,4,4,2,1279,3,,,,,,,,,,
41,1,5,4,2,1279,3,2,1283,4,,,,,,,
42,1,6,4,2,1279,3,2,1283,4,,,,,,,
43,1,7,4,2,1279,3,2,1283,4,,,,,,,
44,1,8,4,2,1279,3,2,1283,4,,,,,,,
45,1,9,4,2,1279,4,2,1283,6,,,,,,,
46,1,10,4,2,1279,4,2,1283,6,,,,,,,
47,1,11,4,2,1279,4,2,1283,6,,,,,,,
48,1,12,4,2,1279,4,2,1283,6,,,,,,,
49,1,1,5,2,1279,3,,,,,,,,,,
50,1,2,5,2,1279,3,,,,,,,,,,
51,1,3,5,2,1279,3,,,,,,,,,,
52,1,4,5,2,1279,3,,,,,,,,,,
53,1,5,5,2,1279,3,2,1284,4,,,,,,,
54,1,6,5,2,1279,3,2,1284,4,,,,,,,
55,1,7,5,2,1279,3,2,1284,4,,,,,,,
56,1,8,5,2,1279,3,2,1284,4,,,,,,,
57,1,9,5,2,1279,4,2,1284,6,,,,,,,
58,1,10,5,2,1279,4,2,1284,6,,,,,,,
59,1,11,5,2,1279,4,2,1284,6,,,,,,,
60,1,12,5,2,1279,4,2,1284,6,,,,,,,
61,2,1,1,2,1279,3,,,,2,1279,3,,,,
62,2,2,1,2,1279,3,,,,2,1279,3,,,,
63,2,3,1,2,1279,3,,,,2,1279,3,,,,
64,2,4,1,2,1279,3,,,,2,1279,3,,,,
65,2,5,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
66,2,6,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
67,2,7,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
68,2,8,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
69,2,9,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
70,2,10,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
71,2,11,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
72,2,12,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
73,2,1,2,2,1279,3,,,,2,1279,3,,,,
74,2,2,2,2,1279,3,,,,2,1279,3,,,,
75,2,3,2,2,1279,3,,,,2,1279,3,,,,
76,2,4,2,2,1279,3,,,,2,1279,3,,,,
77,2,5,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
78,2,6,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
79,2,7,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
80,2,8,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
81,2,9,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
82,2,10,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
83,2,11,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
84,2,12,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
85,2,1,3,2,1279,3,,,,2,1279,3,,,,
86,2,2,3,2,1279,3,,,,2,1279,3,,,,
87,2,3,3,2,1279,3,,,,2,1279,3,,,,
88,2,4,3,2,1279,3,,,,2,1279,3,,,,
89,2,5,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
90,2,6,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
91,2,7,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
92,2,8,3,2,1279,3,2,1280,4,2,1279,3,2,1280,4,
93,2,9,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
94,2,10,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
95,2,11,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
96,2,12,3,2,1279,4,2,1280,6,2,1279,4,2,1280,6,
97,2,1,4,2,1279,3,,,,2,1279,3,,,,
98,2,2,4,2,1279,3,,,,2,1279,3,,,,
99,2,3,4,2,1279,3,,,,2,1279,3,,,,
100,2,4,4,2,1279,3,,,,2,1279,3,,,,
101,2,5,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
102,2,6,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
103,2,7,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
104,2,8,4,2,1279,3,2,1283,4,2,1279,3,2,1283,4,
105,2,9,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
106,2,10,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
107,2,11,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
108,2,12,4,2,1279,4,2,1283,6,2,1279,4,2,1283,6,
109,2,1,5,2,1279,3,,,,2,1279,3,,,,
110,2,2,5,2,1279,3,,,,2,1279,3,,,,
111,2,3,5,2,1279,3,,,,2,1279,3,,,,
112,2,4,5,2,1279,3,,,,2,1279,3,,,,
113,2,5,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
114,2,6,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
115,2,7,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
116,2,8,5,2,1279,3,2,1284,4,2,1279,3,2,1284,4,
117,2,9,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
118,2,10,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
119,2,11,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
120,2,12,5,2,1279,4,2,1284,6,2,1279,4,2,1284,6,
121,3,1,1,2,1279,3,,,,2,1279,3,,,,
122,3,2,1,2,1279,3,,,,2,1279,3,,,,
123,3,3,1,2,1279,3,,,,2,1279,3,,,,
124,3,4,1,2,1279,3,,,,2,1279,3,,,,
125,3,5,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
126,3,6,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
127,3,7,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
128,3,8,1,2,1279,3,2,1282,4,2,1279,3,2,1282,4,
129,3,9,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
130,3,10,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
131,3,11,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
132,3,12,1,2,1279,4,2,1282,6,2,1279,4,2,1282,6,
133,3,1,2,2,1279,3,,,,2,1279,3,,,,
134,3,2,2,2,1279,3,,,,2,1279,3,,,,
135,3,3,2,2,1279,3,,,,2,1279,3,,,,
136,3,4,2,2,1279,3,,,,2,1279,3,,,,
137,3,5,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
138,3,6,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
139,3,7,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
140,3,8,2,2,1279,3,2,1281,4,2,1279,3,2,1281,4,
141,3,9,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
142,3,10,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
143,3,11,2,2,1279,4,2,1281,6,2,1279,4,2,1281,6,
