id,minRank,maxRank,floor,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,
1001,1,1,5,1,72,6000,2,1005,5,1,8,500000,
1002,2,2,5,1,72,5000,2,1005,5,1,8,380000,
1003,3,3,5,1,72,4000,2,1005,5,1,8,350000,
1004,4,5,5,1,72,3500,2,1005,5,1,8,260000,
1005,6,10,5,1,72,3000,2,1005,5,1,8,240000,
1006,11,20,5,1,72,2500,2,1005,3,1,8,220000,
1007,21,50,5,1,72,2000,2,1005,3,1,8,200000,
1008,51,100,5,1,72,1800,2,1005,3,1,8,180000,
1009,101,200,5,1,72,1600,2,1005,3,1,8,160000,
1010,201,500,5,1,72,1400,2,1005,3,1,8,140000,
2001,1,1,6,1,72,8000,2,1007,5,1,8,600000,
2002,2,2,6,1,72,7000,2,1007,5,1,8,460000,
2003,3,3,6,1,72,6000,2,1007,5,1,8,370000,
2004,4,5,6,1,72,4500,2,1007,5,1,8,320000,
2005,6,10,6,1,72,4000,2,1007,5,1,8,300000,
2006,11,20,6,1,72,3100,2,1007,3,1,8,280000,
2007,21,50,6,1,72,2600,2,1007,3,1,8,260000,
2008,51,100,6,1,72,2400,2,1007,3,1,8,240000,
2009,101,200,6,1,72,2200,2,1007,3,1,8,220000,
2010,201,500,6,1,72,2000,2,1007,3,1,8,200000,
3001,1,1,7,1,72,10000,2,3008,10,1,8,700000,
3002,2,2,7,1,72,9000,2,3008,10,1,8,540000,
3003,3,3,7,1,72,8000,2,3008,10,1,8,430000,
3004,4,5,7,1,72,5500,2,3008,10,1,8,380000,
3005,6,10,7,1,72,5000,2,3008,10,1,8,350000,
3006,11,20,7,1,72,3700,2,3008,8,1,8,320000,
3007,21,50,7,1,72,3200,2,3008,8,1,8,290000,
3008,51,100,7,1,72,3000,2,3008,8,1,8,260000,
3009,101,200,7,1,72,2800,2,3008,8,1,8,230000,
3010,201,500,7,1,72,2600,2,3008,8,1,8,200000,
4001,1,1,8,1,72,12000,2,1003,2,1,8,800000,
4002,2,2,8,1,72,11000,2,1003,2,1,8,620000,
4003,3,3,8,1,72,10000,2,1003,2,1,8,500000,
4004,4,5,8,1,72,6500,2,1003,2,1,8,440000,
4005,6,10,8,1,72,6000,2,1003,2,1,8,410000,
4006,11,20,8,1,72,4300,2,1003,1,1,8,380000,
4007,21,50,8,1,72,3800,2,1003,1,1,8,350000,
4008,51,100,8,1,72,3600,2,1003,1,1,8,320000,
4009,101,200,8,1,72,3400,2,1003,1,1,8,290000,
4010,201,500,8,1,72,3200,2,1003,1,1,8,260000,
5001,1,1,9,1,72,14000,2,3008,10,1,8,900000,
5002,2,2,9,1,72,13000,2,3008,10,1,8,690000,
5003,3,3,9,1,72,12000,2,3008,10,1,8,550000,
5004,4,5,9,1,72,7500,2,3008,10,1,8,480000,
5005,6,10,9,1,72,7000,2,3008,10,1,8,450000,
5006,11,20,9,1,72,4900,2,3008,8,1,8,420000,
5007,21,50,9,1,72,4400,2,3008,8,1,8,390000,
5008,51,100,9,1,72,4200,2,3008,8,1,8,350000,
5009,101,200,9,1,72,4000,2,3008,8,1,8,320000,
5010,201,500,9,1,72,3800,2,3008,8,1,8,280000,
6001,1,1,10,1,72,16000,2,1003,2,1,8,1000000,
6002,2,2,10,1,72,15000,2,1003,2,1,8,770000,
