id,allPassAwards-type-1,allPassAwards-id-1,allPassAwards-value-1,allPassAwards-type-2,allPassAwards-id-2,allPassAwards-value-2,allPassAwards-type-3,allPassAwards-id-3,allPassAwards-value-3,allPassAwards-type-4,allPassAwards-id-4,allPassAwards-value-4,allPassAwards-type-5,allPassAwards-id-5,allPassAwards-value-5,
5,2,1115,153,2,1155,1,,,,,,,,,,
10,2,1115,156,2,1155,1,,,,,,,,,,
15,2,1115,159,2,1155,1,,,,,,,,,,
20,2,1115,162,2,1155,1,,,,,,,,,,
25,2,1115,165,2,1507,1,,,,,,,,,,
30,2,1115,168,2,1155,1,,,,,,,,,,
35,2,1115,171,2,1155,1,,,,,,,,,,
40,2,1115,174,2,1155,1,,,,,,,,,,
45,2,1115,177,2,1155,1,,,,,,,,,,
50,2,1115,180,2,1507,1,,,,,,,,,,
55,2,1115,183,2,1155,1,,,,,,,,,,
60,2,1115,186,2,1155,1,,,,,,,,,,
65,2,1115,189,2,1155,1,,,,,,,,,,
70,2,1115,192,2,1155,1,,,,,,,,,,
75,2,1115,195,2,1507,1,,,,,,,,,,
80,2,1115,198,2,1155,1,,,,,,,,,,
85,2,1115,201,2,1155,1,,,,,,,,,,
90,2,1115,204,2,1155,1,,,,,,,,,,
95,2,1115,207,2,1155,1,,,,,,,,,,
100,2,1115,210,2,1507,1,,,,,,,,,,
105,2,1115,213,2,1155,1,,,,,,,,,,
110,2,1115,216,2,1155,1,,,,,,,,,,
115,2,1115,219,2,1155,1,,,,,,,,,,
120,2,1115,222,2,1155,1,,,,,,,,,,
125,2,1115,225,2,1508,1,,,,,,,,,,
130,2,1115,228,2,1155,1,,,,,,,,,,
135,2,1115,231,2,1155,1,,,,,,,,,,
140,2,1115,234,2,1155,1,,,,,,,,,,
145,2,1115,237,2,1155,1,,,,,,,,,,
150,2,1115,240,2,1507,1,,,,,,,,,,
155,2,1115,243,2,1155,1,,,,,,,,,,
160,2,1115,246,2,1155,1,,,,,,,,,,
165,2,1115,249,2,1155,1,,,,,,,,,,
170,2,1115,252,2,1155,1,,,,,,,,,,
175,2,1115,255,2,1507,1,,,,,,,,,,
180,2,1115,258,2,1155,1,,,,,,,,,,
185,2,1115,261,2,1155,1,,,,,,,,,,
190,2,1115,264,2,1155,1,,,,,,,,,,
195,2,1115,267,2,1155,1,,,,,,,,,,
200,2,1115,270,2,1507,1,,,,,,,,,,
205,2,1115,273,2,1155,1,,,,,,,,,,
210,2,1115,276,2,1155,1,,,,,,,,,,
215,2,1115,279,2,1155,1,,,,,,,,,,
220,2,1115,282,2,1155,1,,,,,,,,,,
225,2,1115,285,2,1507,1,,,,,,,,,,
230,2,1115,288,2,1155,1,,,,,,,,,,
235,2,1115,291,2,1155,1,,,,,,,,,,
240,2,1115,294,2,1155,1,,,,,,,,,,
245,2,1115,297,2,1155,1,,,,,,,,,,
250,2,1115,300,2,1508,1,,,,,,,,,,
255,2,1115,303,2,1155,1,,,,,,,,,,
260,2,1115,306,2,1155,1,,,,,,,,,,
265,2,1115,309,2,1155,1,,,,,,,,,,
270,2,1115,312,2,1155,1,,,,,,,,,,
275,2,1115,315,2,1507,1,,,,,,,,,,
280,2,1115,318,2,1155,1,,,,,,,,,,
285,2,1115,321,2,1155,1,,,,,,,,,,
290,2,1115,324,2,1155,1,,,,,,,,,,
295,2,1115,327,2,1155,1,,,,,,,,,,
300,2,1115,330,2,1507,1,,,,,,,,,,
305,2,1115,333,2,1155,1,,,,,,,,,,
310,2,1115,336,2,1155,1,,,,,,,,,,
315,2,1115,339,2,1155,1,,,,,,,,,,
320,2,1115,342,2,1155,1,,,,,,,,,,
325,2,1115,345,2,1507,1,,,,,,,,,,
330,2,1115,348,2,1155,1,,,,,,,,,,
335,2,1115,351,2,1155,1,,,,,,,,,,
340,2,1115,354,2,1155,1,,,,,,,,,,
345,2,1115,357,2,1155,1,,,,,,,,,,
350,2,1115,360,2,1507,1,,,,,,,,,,
355,2,1115,363,2,1155,1,,,,,,,,,,
360,2,1115,366,2,1155,1,,,,,,,,,,
365,2,1115,369,2,1155,1,,,,,,,,,,
370,2,1115,372,2,1155,1,,,,,,,,,,
375,2,1115,375,2,1508,1,,,,,,,,,,
380,2,1115,378,2,1155,1,,,,,,,,,,
385,2,1115,381,2,1155,1,,,,,,,,,,
390,2,1115,384,2,1155,1,,,,,,,,,,
395,2,1115,387,2,1155,1,,,,,,,,,,
400,2,1115,390,2,1509,1,,,,,,,,,,
405,2,1115,393,2,1155,1,,,,,,,,,,
410,2,1115,396,2,1155,1,,,,,,,,,,
415,2,1115,399,2,1155,1,,,,,,,,,,
420,2,1115,402,2,1155,1,,,,,,,,,,
425,2,1115,405,2,1155,1,,,,,,,,,,
430,2,1115,408,2,1155,1,,,,,,,,,,
435,2,1115,411,2,1155,1,,,,,,,,,,
440,2,1115,414,2,1155,1,,,,,,,,,,
445,2,1115,417,2,1155,1,,,,,,,,,,
450,2,1115,420,2,1155,1,,,,,,,,,,
455,2,1115,423,2,1155,1,,,,,,,,,,
460,2,1115,426,2,1155,1,,,,,,,,,,
465,2,1115,429,2,1155,1,,,,,,,,,,
470,2,1115,432,2,1155,1,,,,,,,,,,
475,2,1115,435,2,1155,1,,,,,,,,,,
480,2,1115,438,2,1155,1,,,,,,,,,,
485,2,1115,441,2,1155,1,,,,,,,,,,
490,2,1115,444,2,1155,1,,,,,,,,,,
495,2,1115,447,2,1155,1,,,,,,,,,,
500,2,1115,450,2,1508,1,,,,,,,,,,
505,2,1115,453,2,1155,1,,,,,,,,,,
510,2,1115,456,2,1155,1,,,,,,,,,,
515,2,1115,459,2,1155,1,,,,,,,,,,
520,2,1115,462,2,1155,1,,,,,,,,,,
525,2,1115,465,2,1507,1,,,,,,,,,,
530,2,1115,468,2,1155,1,,,,,,,,,,
535,2,1115,471,2,1155,1,,,,,,,,,,
540,2,1115,474,2,1155,1,,,,,,,,,,
545,2,1115,477,2,1155,1,,,,,,,,,,
550,2,1115,480,2,1507,1,,,,,,,,,,
555,2,1115,483,2,1155,1,,,,,,,,,,
560,2,1115,486,2,1155,1,,,,,,,,,,
565,2,1115,489,2,1155,1,,,,,,,,,,
570,2,1115,492,2,1155,1,,,,,,,,,,
575,2,1115,495,2,1507,1,,,,,,,,,,
580,2,1115,498,2,1155,1,,,,,,,,,,
585,2,1115,501,2,1155,1,,,,,,,,,,
590,2,1115,504,2,1155,1,,,,,,,,,,
595,2,1115,507,2,1155,1,,,,,,,,,,
600,2,1115,510,2,1507,1,,,,,,,,,,
605,2,1115,513,2,1155,1,,,,,,,,,,
610,2,1115,516,2,1155,1,,,,,,,,,,
615,2,1115,519,2,1155,1,,,,,,,,,,
620,2,1115,522,2,1155,1,,,,,,,,,,
625,2,1115,525,2,1508,1,,,,,,,,,,
630,2,1115,528,2,1155,1,,,,,,,,,,
635,2,1115,531,2,1155,1,,,,,,,,,,
640,2,1115,534,2,1155,1,,,,,,,,,,
645,2,1115,537,2,1155,1,,,,,,,,,,
650,2,1115,540,2,1507,1,,,,,,,,,,
655,2,1115,543,2,1155,1,,,,,,,,,,
660,2,1115,546,2,1155,1,,,,,,,,,,
665,2,1115,549,2,1155,1,,,,,,,,,,
670,2,1115,552,2,1155,1,,,,,,,,,,
675,2,1115,555,2,1507,1,,,,,,,,,,
