id,heroId,dateStart,dateEnd,order,
1,24516,50,9999,1,
2,22515,50,9999,2,
3,23511,50,9999,3,
4,22512,50,9999,4,
5,21515,50,9999,5,
6,25518,50,9999,6,
7,24518,50,9999,7,
8,25516,50,9999,8,
9,24517,61,9999,9,
10,25517,91,9999,10,
11,21508,1,9999,11,
12,22508,1,9999,12,
13,23510,1,9999,13,
14,24504,1,9999,14,
15,25515,1,9999,15,
16,26501,91,9999,16,
17,21516,50,9999,17,
18,26502,91,9999,18,
19,26503,91,9999,19,
20,26504,91,9999,20,
21,26505,91,9999,21,
22,26506,91,9999,22,
23,26507,91,9999,23,
24,26508,91,9999,24,
25,26509,91,9999,25,
26,26510,91,9999,26,
27,26511,91,9999,27,
