id,name,type,playerLv,armyAdviser,heros-lv-1,heros-id-1,heros-star-1,heros-nation-1,heros-type-1,heros-wearId-1,heros-lv-2,heros-id-2,heros-star-2,heros-nation-2,heros-type-2,heros-wearId-2,heros-lv-3,heros-id-3,heros-star-3,heros-nation-3,heros-type-3,heros-wearId-3,heros-lv-4,heros-id-4,heros-star-4,heros-nation-4,heros-type-4,heros-wearId-4,heros-lv-5,heros-id-5,heros-star-5,heros-nation-5,heros-type-5,heros-wearId-5,heros-lv-6,heros-id-6,heros-star-6,heros-nation-6,heros-type-6,heros-wearId-6,score,
10000,s==3|路人甲,1,20|30,,20,21505,,,,1,20,23503,,,,1,20,23510,,,,1,20,21507,,,,1,20,23403,,,,1,,,,,,,,
10001,s==3|路人乙,1,40|50,,40,21505,,,,2,40,23503,,,,2,40,23510,,,,2,40,21507,,,,2,40,23403,,,,2,,,,,,,,
10002,s==1|3,1,40|51,,41,21505,,,,,41,23503,,,,,41,23510,,,,,41,21507,,,,,41,23403,,,,,,,,,,,,
10003,s==1|4,1,40|52,,42,21505,,,,,42,23503,,,,,42,23510,,,,,42,21507,,,,,42,23403,,,,,,,,,,,,
10004,s==1|5,1,40|53,,43,21505,,,,,43,23503,,,,,43,23510,,,,,43,21507,,,,,43,23403,,,,,,,,,,,,
10005,s==1|6,1,40|54,,44,21505,,,,,44,23503,,,,,44,23510,,,,,44,21507,,,,,44,23403,,,,,,,,,,,,
10006,s==1|7,1,40|55,,45,21505,,,,,45,23503,,,,,45,23510,,,,,45,21507,,,,,45,23403,,,,,,,,,,,,
10007,s==1|8,1,40|56,,46,21505,,,,,46,23503,,,,,46,23510,,,,,46,21507,,,,,46,23403,,,,,,,,,,,,
10008,s==1|9,1,40|57,,47,21505,,,,,47,23503,,,,,47,23510,,,,,47,21507,,,,,47,23403,,,,,,,,,,,,
10009,s==2|10,1,40|58,,48,21505,,,,,48,23503,,,,,48,23510,,,,,48,21507,,,,,48,23403,,,,,,,,,,,,
10010,s==2|11,1,40|59,,49,21505,,,,,49,23503,,,,,49,23510,,,,,49,21507,,,,,49,23403,,,,,,,,,,,,
10011,s==2|12,1,40|60,,50,21505,,,,,50,23503,,,,,50,23510,,,,,50,21507,,,,,50,23403,,,,,,,,,,,,
10012,s==2|13,1,40|61,,51,21505,,,,,51,23503,,,,,51,23510,,,,,51,21507,,,,,51,23403,,,,,,,,,,,,
10013,s==2|14,1,40|62,,52,21505,,,,,52,23503,,,,,52,23510,,,,,52,21507,,,,,52,23403,,,,,,,,,,,,
10014,s==2|15,1,40|63,,53,21505,,,,,53,23503,,,,,53,23510,,,,,53,21507,,,,,53,23403,,,,,,,,,,,,
10015,s==2|16,1,40|64,,54,21505,,,,,54,23503,,,,,54,23510,,,,,54,21507,,,,,54,23403,,,,,,,,,,,,
10016,s==2|17,1,40|65,,55,21505,,,,,55,23503,,,,,55,23510,,,,,55,21507,,,,,55,23403,,,,,,,,,,,,
10017,s==2|18,1,40|66,,56,21505,,,,,56,23503,,,,,56,23510,,,,,56,21507,,,,,56,23403,,,,,,,,,,,,
10018,s==2|19,1,40|67,,57,21505,,,,,57,23503,,,,,57,23510,,,,,57,21507,,,,,57,23403,,,,,,,,,,,,
