id,type,nextLevel,unlockLv,towerId,rewards,
101,0,102,0,10101|10102,s==16|1|8|500,1|10|500,
102,0,103,0,10201|10202,s==16|1|8|600,1|10|800,
103,0,104,0,10301|10302|10303,s==18|1|8|1000,1|10|1000,
104,1,105,0,10401|10402|10403,s==18|1|8|1500,1|10|1500,
105,1,,0,10501|10502|10503,s==18|1|8|2500,1|10|2500,
201,1,202,0,20101|20102|20103,s==18|1|8|3500,1|10|3500,
202,1,203,0,20201|20202|20203,s==18|1|8|4500,1|10|4500,
203,1,204,0,20301|20302|20303,s==18|1|8|5500,1|10|5500,
204,1,205,0,20401|20402|20403,s==20|1|8|10000,1|10|10000,
205,1,,0,20501|20502|20503,s==20|1|8|10000,1|10|10000,
301,1,302,0,30101|30102|30103,s==20|1|8|10000,1|10|10000,
302,1,303,0,30201|30202|30203,s==20|1|8|10000,1|10|10000,
303,1,304,0,30301|30302|30303,s==20|1|8|10000,1|10|10000,
304,1,305,0,30401|30402|30403,s==20|1|8|10000,1|10|10000,
305,1,,0,30501|30502|30503,s==20|1|8|10000,1|10|10000,
