id,quality,randamcage,typeLimit,randomQualityId,randomQualityValueRange,randomQualityWay,bestRange,pefectweight,perfectMark,carryitemType,carryitemId,carryitemNum,weight,
1,2,102,0,2,s==5|25|50,0,51,,,2,1016,1,200,
2,3,102,0,2,s==6|75|145,0,146,,,2,1016,3,200,
3,4,102,0,2,s==7|170|310,0,279,,,2,1016,5,200,
4,5,102,0,2,s==7|335|475,0,427,20,,2,1016,10,200,
5,2,202,1,2,s==6|50|100,0,101,,,2,1016,1,400,
6,3,202,1,2,s==7|150|290,0,291,,,2,1016,3,400,
7,4,202,1,2,s==7|340|620,0,558,,,2,1016,5,400,
8,5,202,1,2,s==7|670|950,0,855,20,,2,1016,10,400,
9,2,302,3,2,s==6|50|100,0,101,,,2,1016,1,200,
10,3,302,3,2,s==7|150|290,0,291,,,2,1016,3,200,
11,4,302,3,2,s==7|340|620,0,558,,,2,1016,5,200,
12,5,302,3,2,s==7|670|950,0,855,20,,2,1016,10,200,
13,2,402,2,2,s==6|50|100,0,101,,,2,1016,1,400,
14,3,402,2,2,s==7|150|290,0,291,,,2,1016,3,400,
15,4,402,2,2,s==7|340|620,0,558,,,2,1016,5,400,
16,5,402,2,2,s==7|670|950,0,855,20,,2,1016,10,400,
17,2,502,4,2,s==6|50|100,0,101,,,2,1016,1,200,
18,3,502,4,2,s==7|150|290,0,291,,,2,1016,3,200,
19,4,502,4,2,s==7|340|620,0,558,,,2,1016,5,200,
20,5,502,4,2,s==7|670|950,0,855,20,,2,1016,10,200,
21,2,103,0,3,s==5|15|30,0,31,,,2,1016,1,200,
22,3,103,0,3,s==5|45|90,0,91,,,2,1016,3,200,
23,4,103,0,3,s==7|100|185,0,166,,,2,1016,5,200,
24,5,103,0,3,s==7|200|280,0,252,20,,2,1016,10,200,
25,2,203,1,3,s==5|30|60,0,61,,,2,1016,1,400,
26,3,203,1,3,s==6|90|180,0,181,,,2,1016,3,400,
27,4,203,1,3,s==7|200|370,0,333,,,2,1016,5,400,
28,5,203,1,3,s==7|400|560,0,504,20,,2,1016,10,400,
29,2,303,3,3,s==5|30|60,0,61,,,2,1016,1,200,
30,3,303,3,3,s==6|90|180,0,181,,,2,1016,3,200,
31,4,303,3,3,s==7|200|370,0,333,,,2,1016,5,200,
32,5,303,3,3,s==7|400|560,0,504,20,,2,1016,10,200,
33,2,403,2,3,s==5|30|60,0,61,,,2,1016,1,400,
34,3,403,2,3,s==6|90|180,0,181,,,2,1016,3,400,
35,4,403,2,3,s==7|200|370,0,333,,,2,1016,5,400,
36,5,403,2,3,s==7|400|560,0,504,20,,2,1016,10,400,
37,2,503,4,3,s==5|30|60,0,61,,,2,1016,1,200,
38,3,503,4,3,s==6|90|180,0,181,,,2,1016,3,200,
39,4,503,4,3,s==7|200|370,0,333,,,2,1016,5,200,
40,5,503,4,3,s==7|400|560,0,504,20,,2,1016,10,200,
41,2,104,0,4,s==5|10|15,0,16,,,2,1016,1,200,
42,3,104,0,4,s==5|20|40,0,41,,,2,1016,3,200,
43,4,104,0,4,s==5|45|80,0,72,,,2,1016,5,200,
44,5,104,0,4,s==6|85|115,0,103,20,,2,1016,10,200,
45,2,204,1,4,s==5|20|30,0,31,,,2,1016,1,400,
46,3,204,1,4,s==5|40|80,0,81,,,2,1016,3,400,
47,4,204,1,4,s==6|90|160,0,144,,,2,1016,5,400,
48,5,204,1,4,s==7|170|230,0,207,20,,2,1016,10,400,
49,2,304,3,4,s==5|20|30,0,31,,,2,1016,1,200,
50,3,304,3,4,s==5|40|80,0,81,,,2,1016,3,200,
51,4,304,3,4,s==6|90|160,0,144,,,2,1016,5,200,
52,5,304,3,4,s==7|170|230,0,207,20,,2,1016,10,200,
53,2,404,2,4,s==5|20|30,0,31,,,2,1016,1,400,
54,3,404,2,4,s==5|40|80,0,81,,,2,1016,3,400,
55,4,404,2,4,s==6|90|160,0,144,,,2,1016,5,400,
56,5,404,2,4,s==7|170|230,0,207,20,,2,1016,10,400,
57,2,504,4,4,s==5|20|30,0,31,,,2,1016,1,200,
58,3,504,4,4,s==5|40|80,0,81,,,2,1016,3,200,
59,4,504,4,4,s==6|90|160,0,144,,,2,1016,5,200,
60,5,504,4,4,s==7|170|230,0,207,20,,2,1016,10,200,
61,2,101,0,1,s==7|150|300,0,301,,,2,1016,1,200,
62,3,101,0,1,s==7|400|800,0,801,,,2,1016,3,200,
63,4,101,0,1,s==8|950|1700,0,1530,,,2,1016,5,200,
64,5,101,0,1,s==9|1850|2550,0,2295,20,,2,1016,10,200,
65,2,201,1,1,s==7|300|600,0,601,,,2,1016,1,400,
66,3,201,1,1,s==8|800|1600,0,1601,,,2,1016,3,400,
67,4,201,1,1,s==9|1900|3400,0,3060,,,2,1016,5,400,
68,5,201,1,1,s==9|3700|5100,0,4590,20,,2,1016,10,400,
69,2,301,3,1,s==7|300|600,0,601,,,2,1016,1,200,
70,3,301,3,1,s==8|800|1600,0,1601,,,2,1016,3,200,
71,4,301,3,1,s==9|1900|3400,0,3060,,,2,1016,5,200,
72,5,301,3,1,s==9|3700|5100,0,4590,20,,2,1016,10,200,
73,2,401,2,1,s==7|300|600,0,601,,,2,1016,1,400,
74,3,401,2,1,s==8|800|1600,0,1601,,,2,1016,3,400,
75,4,401,2,1,s==9|1900|3400,0,3060,,,2,1016,5,400,
76,5,401,2,1,s==9|3700|5100,0,4590,20,,2,1016,10,400,
77,2,501,4,1,s==7|300|600,0,601,,,2,1016,1,200,
78,3,501,4,1,s==8|800|1600,0,1601,,,2,1016,3,200,
79,4,501,4,1,s==9|1900|3400,0,3060,,,2,1016,5,200,
80,5,501,4,1,s==9|3700|5100,0,4590,20,,2,1016,10,200,
81,2,201,1,1,s==7|300|600,0,601,,,2,1016,1,400,
82,3,201,1,1,s==8|800|1600,0,1601,,,2,1016,3,400,
83,4,201,1,1,s==9|1900|3400,0,3060,,,2,1016,5,400,
84,5,201,1,1,s==9|3700|5100,0,4590,20,,2,1016,10,400,
85,6,201,1,1,s==9|6380|6380,0,6380,,1,2,1016,20,,
86,2,301,3,1,s==7|300|600,0,601,,,2,1016,1,200,
87,3,301,3,1,s==8|800|1600,0,1601,,,2,1016,3,200,
88,4,301,3,1,s==9|1900|3400,0,3060,,,2,1016,5,200,
89,5,301,3,1,s==9|3700|5100,0,4590,20,,2,1016,10,200,
90,6,301,3,1,s==9|6380|6380,0,6380,,1,2,1016,20,,
91,2,401,2,1,s==7|300|600,0,601,,,2,1016,1,400,
92,3,401,2,1,s==8|800|1600,0,1601,,,2,1016,3,400,
93,4,401,2,1,s==9|1900|3400,0,3060,,,2,1016,5,400,
94,5,401,2,1,s==9|3700|5100,0,4590,20,,2,1016,10,400,
95,6,401,2,1,s==9|6380|6380,0,6380,,1,2,1016,20,,
96,2,501,4,1,s==7|300|600,0,601,,,2,1016,1,200,
97,3,501,4,1,s==8|800|1600,0,1601,,,2,1016,3,200,
98,4,501,4,1,s==9|1900|3400,0,3060,,,2,1016,5,200,
99,5,501,4,1,s==9|3700|5100,0,4590,20,,2,1016,10,200,
100,6,501,4,1,s==9|6380|6380,0,6380,,1,2,1016,20,,
101,6,102,0,2,s==7|595|595,0,595,,1,2,1016,20,,
102,6,202,1,2,s==9|1190|1190,0,1190,,1,2,1016,20,,
103,6,302,3,2,s==9|1190|1190,0,1190,,1,2,1016,20,,
104,6,402,2,2,s==9|1190|1190,0,1190,,1,2,1016,20,,
105,6,502,4,2,s==9|1190|1190,0,1190,,1,2,1016,20,,
106,6,103,0,3,s==7|350|350,0,350,,1,2,1016,20,,
107,6,203,1,3,s==7|700|700,0,700,,1,2,1016,20,,
108,6,303,3,3,s==7|700|700,0,700,,1,2,1016,20,,
109,6,403,2,3,s==7|700|700,0,700,,1,2,1016,20,,
110,6,503,4,3,s==7|700|700,0,700,,1,2,1016,20,,
111,6,104,0,4,s==7|145|145,0,145,,1,2,1016,20,,
112,6,204,1,4,s==7|290|290,0,290,,1,2,1016,20,,
113,6,304,3,4,s==7|290|290,0,290,,1,2,1016,20,,
114,6,404,2,4,s==7|290|290,0,290,,1,2,1016,20,,
115,6,504,4,4,s==7|290|290,0,290,,1,2,1016,20,,
116,6,101,0,1,s==9|3190|3190,0,3190,,1,2,1016,20,,
