id,name,quality,type,typeName,maxlv,randomPropertyCount,initialProperty-type-1,initialProperty-way-1,initialProperty-value-1,initialProperty-type-2,initialProperty-way-2,initialProperty-value-2,lvupPropertyRise,refreshCost-type-1,refreshCost-id-1,refreshCost-value-1,refreshCost-type-2,refreshCost-id-2,refreshCost-value-2,randomPropertyweight,randomPropertyRise,randomPropertyRiseWeight,randomPropertyMinNum,randomPropertyMaxNum,
6001,s==4|军侯战旗,2,0,,10,0,21,0,10,22,0,10,1,,,,,,,,,,,,
6002,s==4|校尉战旗,3,0,,10,1,21,0,20,22,0,20,2,1,8,50000,2,1050,2,50|50,1|2,7500|2500,20,40,
6003,s==4|朗将战旗,4,0,,20,2,21,0,30,22,0,30,3,1,8,100000,2,1050,4,50|50,1|2,7500|2500,30,60,
6004,s==4|将军战旗,5,0,,30,3,21,0,40,22,0,40,4,1,8,200000,2,1050,6,50|50,1|2,7500|2500,40,80,
6005,s==4|翔龙战旗,6,1,s==4|黄巾之乱,40,4,21,0,50,22,0,50,5,1,8,300000,2,1050,10,50|50,1|2,7500|2500,50,100,
6006,s==4|鼎立战旗,6,2,s==4|诸侯讨董,40,4,21,0,50,22,0,50,5,1,8,300000,2,1050,10,50|50,1|2,7500|2500,50,100,
6007,s==4|定北战旗,6,3,s==4|官渡之战,40,4,21,0,50,22,0,50,5,1,8,300000,2,1050,10,50|50,1|2,7500|2500,50,100,
6008,s==4|飞将战旗,6,4,s==4|赤壁之战,40,4,21,0,50,22,0,50,5,1,8,300000,2,1050,10,50|50,1|2,7500|2500,50,100,
6009,s==4|逐鹿战旗,6,5,s==4|夷陵之战,40,4,21,0,50,22,0,50,5,1,8,300000,2,1050,10,50|50,1|2,7500|2500,50,100,
6010,s==4|苍天战旗,6,6,s==4|三国鼎立,40,4,21,0,50,22,0,50,5,1,8,300000,2,1050,10,50|50,1|2,7500|2500,50,100,
6011,s==6|极·无量战旗,7,0,,50,4,21,0,60,22,0,60,6,1,8,500000,2,1050,15,50|50,1|2,7500|2500,60,120,
