id,desc,date,themeType,bottomPicture,artText,letterAddress,letterBody,letterSignature,giftName,decorate,iconID,
1,s==10|Nguyên Đán,s==10|2023-01-01,1,s==25|GUI/JieRiHongBao/w_wyihd2,s==25|GUI/JieRiHongBao/w_wyihd1,s==18|Kính thưa Chủ Công,s==132|Một nguyên khởi thủy， vạn tượng tân sinh。 niên niên như ý， tuế tuế bình an。 nguyện chủ công tài nguồn quảng tiến， phú quý cát tường。,s==11|Điêu Thuyền,s==19|Quà Tặng Nguyên Đán,,586,
2,s==9|Giao Thừa,s==10|2023-01-21,1,s==25|GUI/JieRiHongBao/w_wyihd2,s==25|GUI/JieRiHongBao/w_wyihd1,s==18|Kính thưa Chủ Công,s==139|Đoàn viên dạ hỉ đoàn viên， đoàn đoàn viên viên quá đại niên。 nguyện chủ công trừ tịch dạ tiếu khai nhan， hoan thiên hỷ địa nghênh trừ tịch。,s==11|Điêu Thuyền,s==18|Quà Tặng Giao Thừa,,586,
3,s==9|Xuân Tiết,s==10|2023-01-22,1,s==25|GUI/JieRiHongBao/w_wyihd2,s==25|GUI/JieRiHongBao/w_wyihd1,s==18|Kính thưa Chủ Công,s==136|Hỏa hồng đèn lồng， chiếu sáng hạnh phúc。 đa sắc yên hoa， trán phóng tinh thuyết。 chúc chủ công nhất phàm phong thuận， cẩm tú tiền trình。,s==11|Điêu Thuyền,s==18|Quà Tặng Xuân Tiết,,586,
4,s==11|Nguyên Tiêu,s==10|2023-02-05,1,s==25|GUI/JieRiHongBao/w_wyihd2,s==25|GUI/JieRiHongBao/w_wyihd1,s==18|Kính thưa Chủ Công,s==122|Thái đèn cao chiếu， nhân nguyệt lưỡng viên。 nguyện chủ công khai khai tâm tâm thưởng hoa đèn， mỹ mỹ mãn mãn toàn gia phúc。,s==11|Điêu Thuyền,s==20|Quà Tặng Nguyên Tiêu,,586,
5,s==14|Tình Nhân Tiết,s==10|2023-02-14,2,s==23|GUI/JieRiHongBao/q_jrhb,s==26|GUI/JieRiHongBao/q_wz_jrhb,s==18|Kính thưa Chủ Công,s==176|Chủ công bình nhật đa ban thao lao， thiếp thân khán tại nhãn lí， thực tại tâm thương。 hà bất trân thử kim chu tiết khánh， để thiếp thân tương bồi， hảo hảo hưởng lạc nhất phiên?,s==9|Tiểu Kiều,s==18|Quà Tặng Tình Nhân,s==25|GUI/JieRiHongBao/q_jrhbgb,585,
6,s==15|Thanh Minh Tiết,s==10|2023-04-05,3,s==25|GUI/JieRiHongBao/c_cjhddi,s==28|GUI/JieRiHongBao/c_cjhdwenzi,s==18|Kính thưa Chủ Công,s==150|Thiên nhất phương， hữu tưởng biệt， tình y cựu， như mãn nguyệt。 nguyện chủ công bình an hạnh phúc quẩn thân phương， hòa thuận điềm mật tùy phong dương。,s==16|Tôn Thượng Hương,s==16|Quà Tặng Hào Hoa,s==32|GUI/JieRiHongBao/c_cjhdzhuangshi,584,
7,s==13|Lao Động Tiết,s==10|2023-05-01,1,s==25|GUI/JieRiHongBao/w_wyihd2,s==25|GUI/JieRiHongBao/w_wyihd1,s==18|Kính thưa Chủ Công,s==149|Tân cần lao động sinh hoạt mỹ， cước tráp thực địa tâm lí thiềm。 nguyện chủ công lưu hạ tân cần đích hàn thủy， canh vân xuất hạnh phúc đích sinh hoạt。,s==11|Điêu Thuyền,s==16|Quà Tặng Hào Hoa,,586,
8,s==13|Đoan Ngọ Tiết,s==10|2023-06-22,3,s==25|GUI/JieRiHongBao/c_cjhddi,s==28|GUI/JieRiHongBao/c_cjhdwenzi,s==18|Kính thưa Chủ Công,s==131|Đãng khởi tường， thối khai lãng， long chu hạ thủy hỉ dương dương。 ái thảo thanh， nễ mễ hương， khoái lạc chúc phúc quan quần phương。,s==16|Tôn Thượng Hương,s==17|Quà Tặng Đoan Ngọ,s==32|GUI/JieRiHongBao/c_cjhdzhuangshi,584,
9,s==14|Thất Tịch Tiết,s==10|2023-08-22,2,s==23|GUI/JieRiHongBao/q_jrhb,s==26|GUI/JieRiHongBao/q_wz_jrhb,s==18|Kính thưa Chủ Công,s==176|Chủ công bình nhật đa ban thao lao， thiếp thân khán tại nhãn lí， thực tại tâm thương。 hà bất trân thử kim chu tiết khánh， để thiếp thân tương bồi， hảo hảo hưởng lạc nhất phiên?,s==9|Tiểu Kiều,s==18|Quà Tặng Thất Tịch,s==25|GUI/JieRiHongBao/q_jrhbgb,585,
10,s==14|Trung Thu Tiết,s==10|2023-09-29,1,s==25|GUI/JieRiHongBao/w_wyihd2,s==25|GUI/JieRiHongBao/w_wyihd1,s==18|Kính thưa Chủ Công,s==127|Nguyệt hữu âm tình viên khuyết， nhân hữu bi hoan li hợp。 nguyện chủ công năng vĩnh viễn vạn sự như ý， hợp gia đoàn viên mỹ mãn。,s==11|Điêu Thuyền,s==18|Quà Tặng Trung Thu,,586,
