activityID,BiglllustrationId,SquareNum,taskID,time,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,exchangeType,exchangeId,exchangeNum,
3006,1,1,28000,1,2,1036,2,2,1900,1,2,1006,500,2,1138,1,
3006,1,2,28001,1,,,,,,,,,,,,,
3006,1,3,28002,1,,,,,,,,,,,,,
3006,1,4,28003,1,,,,,,,,,,,,,
3006,1,5,28004,1,,,,,,,,,,,,,
3006,1,6,28005,1,,,,,,,,,,,,,
3006,1,7,28006,1,,,,,,,,,,,,,
3006,1,8,28007,1,,,,,,,,,,,,,
3006,1,9,28008,1,,,,,,,,,,,,,
3006,2,1,28009,2,2,1037,1,2,1900,1,2,1006,500,2,1138,1,
3006,2,2,28010,2,,,,,,,,,,,,,
3006,2,3,28011,2,,,,,,,,,,,,,
3006,2,4,28012,2,,,,,,,,,,,,,
3006,2,5,28013,2,,,,,,,,,,,,,
3006,2,6,28014,2,,,,,,,,,,,,,
3006,2,7,28015,2,,,,,,,,,,,,,
3006,2,8,28016,2,,,,,,,,,,,,,
3006,2,9,28017,2,,,,,,,,,,,,,
3006,3,1,28018,3,2,1036,5,2,1760,1,2,1006,1200,2,1138,2,
3006,3,2,28019,3,,,,,,,,,,,,,
3006,3,3,28020,3,,,,,,,,,,,,,
3006,3,4,28021,3,,,,,,,,,,,,,
3006,3,5,28022,3,,,,,,,,,,,,,
3006,3,6,28023,3,,,,,,,,,,,,,
3006,3,7,28024,3,,,,,,,,,,,,,
3006,3,8,28025,3,,,,,,,,,,,,,
3006,3,9,28026,3,,,,,,,,,,,,,
3006,4,1,28027,4,2,1037,3,2,1760,1,2,1006,1200,2,1138,2,
3006,4,2,28028,4,,,,,,,,,,,,,
3006,4,3,28029,4,,,,,,,,,,,,,
3006,4,4,28030,4,,,,,,,,,,,,,
3006,4,5,28031,4,,,,,,,,,,,,,
3006,4,6,28032,4,,,,,,,,,,,,,
3006,4,7,28033,4,,,,,,,,,,,,,
3006,4,8,28034,4,,,,,,,,,,,,,
3006,4,9,28035,4,,,,,,,,,,,,,
3006,5,1,28036,5,2,1036,9,2,1760,2,2,1006,2000,2,1138,3,
3006,5,2,28037,5,,,,,,,,,,,,,
3006,5,3,28038,5,,,,,,,,,,,,,
3006,5,4,28039,5,,,,,,,,,,,,,
3006,5,5,28040,5,,,,,,,,,,,,,
3006,5,6,28041,5,,,,,,,,,,,,,
3006,5,7,28042,5,,,,,,,,,,,,,
3006,5,8,28043,5,,,,,,,,,,,,,
3006,5,9,28044,5,,,,,,,,,,,,,
3006,6,1,28045,6,2,1037,5,2,1760,2,2,1006,2000,2,1138,3,
3006,6,2,28046,6,,,,,,,,,,,,,
3006,6,3,28047,6,,,,,,,,,,,,,
3006,6,4,28048,6,,,,,,,,,,,,,
3006,6,5,28049,6,,,,,,,,,,,,,
3006,6,6,28050,6,,,,,,,,,,,,,
3006,6,7,28051,6,,,,,,,,,,,,,
3006,6,8,28052,6,,,,,,,,,,,,,
3006,6,9,28053,6,,,,,,,,,,,,,
3006,7,1,28054,7,2,1036,12,2,1037,7,2,1760,3,2,1138,4,
3006,7,2,28055,7,,,,,,,,,,,,,
3006,7,3,28056,7,,,,,,,,,,,,,
3006,7,4,28057,7,,,,,,,,,,,,,
3006,7,5,28058,7,,,,,,,,,,,,,
3006,7,6,28059,7,,,,,,,,,,,,,
3006,7,7,28060,7,,,,,,,,,,,,,
3006,7,8,28061,7,,,,,,,,,,,,,
3006,7,9,28062,7,,,,,,,,,,,,,
3080,1,1,35000,1,2,1036,2,2,1900,1,2,1006,500,2,1121,1,
3080,1,2,35010,1,,,,,,,,,,,,,
3080,1,3,35020,1,,,,,,,,,,,,,
3080,1,4,35030,1,,,,,,,,,,,,,
3080,1,5,35040,1,,,,,,,,,,,,,
3080,1,6,35050,1,,,,,,,,,,,,,
3080,1,7,35060,1,,,,,,,,,,,,,
3080,1,8,35070,1,,,,,,,,,,,,,
3080,1,9,35080,1,,,,,,,,,,,,,
3080,2,1,35090,2,2,1037,1,2,1900,1,2,1006,500,2,1121,1,
3080,2,2,35100,2,,,,,,,,,,,,,
3080,2,3,35110,2,,,,,,,,,,,,,
3080,2,4,35120,2,,,,,,,,,,,,,
3080,2,5,35130,2,,,,,,,,,,,,,
3080,2,6,35140,2,,,,,,,,,,,,,
3080,2,7,35150,2,,,,,,,,,,,,,
3080,2,8,35160,2,,,,,,,,,,,,,
3080,2,9,35170,2,,,,,,,,,,,,,
3080,3,1,35180,3,2,1036,5,2,1760,1,2,1006,1200,2,1121,2,
3080,3,2,35190,3,,,,,,,,,,,,,
3080,3,3,35200,3,,,,,,,,,,,,,
3080,3,4,35210,3,,,,,,,,,,,,,
3080,3,5,35220,3,,,,,,,,,,,,,
3080,3,6,35230,3,,,,,,,,,,,,,
3080,3,7,35240,3,,,,,,,,,,,,,
3080,3,8,35250,3,,,,,,,,,,,,,
3080,3,9,35260,3,,,,,,,,,,,,,
3080,4,1,35270,4,2,1037,3,2,1760,1,2,1006,1200,2,1121,2,
3080,4,2,35280,4,,,,,,,,,,,,,
3080,4,3,35290,4,,,,,,,,,,,,,
3080,4,4,35300,4,,,,,,,,,,,,,
3080,4,5,35310,4,,,,,,,,,,,,,
3080,4,6,35320,4,,,,,,,,,,,,,
3080,4,7,35330,4,,,,,,,,,,,,,
3080,4,8,35340,4,,,,,,,,,,,,,
3080,4,9,35350,4,,,,,,,,,,,,,
3080,5,1,35360,5,2,1036,9,2,1760,2,2,1006,2000,2,1121,3,
3080,5,2,35370,5,,,,,,,,,,,,,
3080,5,3,35380,5,,,,,,,,,,,,,
3080,5,4,35390,5,,,,,,,,,,,,,
3080,5,5,35400,5,,,,,,,,,,,,,
3080,5,6,35410,5,,,,,,,,,,,,,
3080,5,7,35420,5,,,,,,,,,,,,,
3080,5,8,35430,5,,,,,,,,,,,,,
3080,5,9,35440,5,,,,,,,,,,,,,
3080,6,1,35450,6,2,1037,5,2,1760,2,2,1006,2000,2,1121,3,
3080,6,2,35460,6,,,,,,,,,,,,,
3080,6,3,35470,6,,,,,,,,,,,,,
3080,6,4,35480,6,,,,,,,,,,,,,
3080,6,5,35490,6,,,,,,,,,,,,,
3080,6,6,35500,6,,,,,,,,,,,,,
3080,6,7,35510,6,,,,,,,,,,,,,
3080,6,8,35520,6,,,,,,,,,,,,,
3080,6,9,35530,6,,,,,,,,,,,,,
3080,7,1,35540,7,2,1036,12,2,1037,7,2,1760,3,2,1121,4,
3080,7,2,35550,7,,,,,,,,,,,,,
