id,tecType,tecPlace,icon,properties-type-1,properties-way-1,properties-value-1,
1,1,1,2130131,1,1,30,
2,1,2,2140221,2,1,30,
3,1,3,2150221,5,0,30,
4,1,4,2150721,6,0,60,
5,1,5,2140431,4,0,3,
6,1,6,2150831,10,0,30,
7,2,1,2350851,1,1,30,
8,2,2,2310121,2,1,30,
9,2,3,2340241,11,1,30,
10,2,4,2351331,7,0,30,
11,2,5,2340141,4,0,3,
12,2,6,2350621,17,0,30,
13,3,1,2540141,1,1,30,
14,3,2,2551021,2,1,30,
15,3,3,2551051,5,0,30,
16,3,4,2550721,6,0,60,
17,3,5,2550651,4,0,3,
18,3,6,2540431,10,0,30,
19,4,1,2240141,1,1,30,
20,4,2,2250631,2,1,30,
21,4,3,2250231,17,0,30,
22,4,4,2240231,7,0,30,
23,4,5,2250931,4,0,3,
24,4,6,2250221,11,1,30,
